key,ru
demo.hub.adminOpen,Открыть администрирование
demo.hub.description,"Исследуйте демо входа, аккаунта, администрирования и транзакционных писем."
demo.hub.loginDescription,Оцените процесс аутентификации для ваших пользователей.
demo.hub.loginOpen,Открыть вход
demo.login.description,"Исследуйте детерминированные тестовые данные входа, восстановления и взаимодействия. Существующие процессы остаются интерактивными, а запланированные назначения демонстрируют контракты сценариев без состояния."
demo.login.eyebrow,Размещенная аутентификация
demo.login.group.chooser.description,"Точки входа, определенные на основе обнаруженной политики входа и локально сохраненных аккаунтов."
demo.login.group.chooser.title,Начать вход
demo.login.group.chrome.description,Межпроцессные резервные варианты для каждого размещенного экрана взаимодействия.
demo.login.group.chrome.title,Общие состояния
demo.login.group.interaction.description,Результаты взаимодействия и выход для размещенных запросов OIDC.
demo.login.group.interaction.title,Взаимодействие и выход
demo.login.group.mfa.description,"Проверки второго фактора, подключение аутентификатора и коды восстановления."
demo.login.group.mfa.title,Многофакторная аутентификация
demo.login.group.password_email.description,Аутентификация по паролю и коду из письма с детерминированными локальными данными.
demo.login.group.password_email.title,Пароль и код из письма
demo.login.group.passwordless.description,"Ключи доступа и настроенные внешние поставщики удостоверений."
demo.login.group.passwordless.title,Беспарольный и внешний вход
demo.login.group.recovery.description,Запросите и завершите восстановление пароля без раскрытия данных аккаунта.
demo.login.group.recovery.title,Восстановление
demo.login.group.registration.description,Регистрация и подтверждение по почте от сервера.
demo.login.group.registration.title,Регистрация и подтверждение
demo.login.scenario.chooser.description,Выберите разрешенный основной метод аутентификации.
demo.login.scenario.chooser.title,Выбор способа входа
demo.login.scenario.chooser_recent_accounts.description,"Продолжить с аккаунтом, сохраненным на этом устройстве."
demo.login.scenario.chooser_recent_accounts.title,Недавние аккаунты
demo.login.scenario.email_otp.description,"Запросите одноразовый код, отправленный по электронной почте."
demo.login.scenario.email_otp.title,Запросить код на почту
demo.login.scenario.email_otp_code.description,Введите шестизначный код подтверждения из письма.
demo.login.scenario.email_otp_code.title,Проверить код из письма
demo.login.scenario.idp.description,Продолжить через настроенного внешнего поставщика удостоверений.
demo.login.scenario.idp.title,Внешнее удостоверение
demo.login.scenario.idp_failure.description,Восстановление после ошибки запуска внешнего поставщика.
demo.login.scenario.idp_failure.title,Сбой поставщика
demo.login.scenario.loading.description,Показывать ход выполнения во время обнаружения реалма.
demo.login.scenario.loading.title,Загрузка
demo.login.scenario.logout.description,Подтвердите выход для текущего сеанса браузера.
demo.login.scenario.logout.title,Выход
demo.login.scenario.logout_done.description,Подтвердите завершенный выход и проверенный путь возврата.
demo.login.scenario.logout_done.title,Выход выполнен
demo.login.scenario.mfa.description,Выберите доступный второй фактор.
demo.login.scenario.mfa.title,Выберите фактор
demo.login.scenario.mfa_email_otp.description,Проверьте второй фактор по электронной почте.
demo.login.scenario.mfa_email_otp.title,Код из письма
demo.login.scenario.mfa_passkey.description,Проверьте ключ доступа в качестве второго фактора.
demo.login.scenario.mfa_passkey.title,Фактор ключа доступа
demo.login.scenario.mfa_recovery_code.description,"Используйте один код восстановления, когда другие факторы недоступны."
demo.login.scenario.mfa_recovery_code.title,Код восстановления
demo.login.scenario.mfa_totp.description,Проверьте временный код аутентификатора.
demo.login.scenario.mfa_totp.title,Код аутентификатора
demo.login.scenario.mfa_totp_enroll.description,Подключите и подтвердите новый аутентификатор.
demo.login.scenario.mfa_totp_enroll.title,Подключить аутентификатор
demo.login.scenario.passkey.description,"Аутентифицируйтесь с помощью ключа доступа, привязанного к устройству."
demo.login.scenario.passkey.title,Ключ доступа
demo.login.scenario.passkey_unsupported.description,Объясните несовместимость браузера или устройства.
demo.login.scenario.passkey_unsupported.title,Ключ доступа недоступен
demo.login.scenario.password.description,Войдите с помощью адреса электронной почты или имени пользователя и пароля.
demo.login.scenario.password.title,Пароль
demo.login.scenario.password_change_required.description,Установите новый пароль перед продолжением.
demo.login.scenario.password_change_required.title,Требуется смена пароля
demo.login.scenario.password_error.description,Отобразите безопасный ответ о недействительных учетных данных.
demo.login.scenario.password_error.title,Недействительные учетные данные
demo.login.scenario.password_forgot.description,Запросите инструкции по восстановлению пароля.
demo.login.scenario.password_forgot.title,Запросить восстановление
demo.login.scenario.password_forgot_sent.description,Отобразите подтверждение по почте без раскрытия данных.
demo.login.scenario.password_forgot_sent.title,Восстановление запрошено
demo.login.scenario.password_reset.description,Выберите новый пароль по ссылке для восстановления.
demo.login.scenario.password_reset.title,Сбросить пароль
demo.login.scenario.password_reset_complete.description,Вернитесь к входу после успешного сброса.
demo.login.scenario.password_reset_complete.title,Сброс завершен
demo.login.scenario.register.description,Создайте учетную запись человека в соответствии с активной политикой входа.
demo.login.scenario.register.title,Регистрация
demo.login.scenario.register_done.description,Отобразите уведомление о проверке без раскрытия данных.
demo.login.scenario.register_done.title,Подтверждение отправлено
demo.login.scenario.signed_in.description,Отобразите подтверждение возобновленного взаимодействия.
demo.login.scenario.signed_in.title,Взаимодействие завершено
demo.login.scenario.unsupported.description,Объясните неподдерживаемое или просроченное взаимодействие.
demo.login.scenario.unsupported.title,Недоступный запрос
demo.login.scenario.verify_email.description,Подтвердите адрес по ссылке от сервера.
demo.login.scenario.verify_email.title,Подтверждение почты
demo.login.title,Демо входа
demo.nav.account,Аккаунт
demo.nav.admin,Администрирование
demo.nav.compact,Компактный
demo.nav.emails,Письма
demo.nav.hub,Главная
demo.nav.label,Демо
demo.nav.login,Вход
demo.placeholder.emptyDescription,Это назначение готово для намеренного пустого состояния.
demo.placeholder.emptyTitle,Нет тестовых записей
demo.placeholder.errorDescription,Детерминированная ошибка может быть отображена здесь без сетевого запроса.
demo.placeholder.errorTitle,Ошибка данных
demo.placeholder.loading,Загрузка данных
demo.placeholder.notFoundDescription,Выберите поддерживаемое назначение из каталога.
demo.placeholder.notFoundTitle,Демо-назначение не найдено
demo.placeholder.readyDescription,"Маршрут, поддерживаемые состояния и граница демо-адаптера определены. Страница функции намеренно не реализована в этом обновлении."
demo.placeholder.readyTitle,Контракт данных готов
email.directory.description,Просмотр детерминированного HTML- и текстового вывода для каждого шаблона транзакционных писем.
email.directory.eyebrow,Транзакционные сообщения
email.directory.open,Открыть предпросмотр
email.directory.title,Предпросмотр писем
email.hub.description,Просматривайте изолированные HTML и текстовые данные транзакционных сообщений.
email.hub.open,Открыть предпросмотр писем
email.preview.back,Все предварительные просмотры электронной почты
email.preview.html,Предварительный просмотр HTML
email.preview.impersonationEnded,Имперсонация завершена
email.preview.impersonationStarted,Имперсонация начата
email.preview.invitation,Приглашение в организацию
email.preview.isolated,Отображается в изолированном фрейме; доступ к сети отключён.
email.preview.notFound,Предварительный просмотр письма не найден
email.preview.otp,Одноразовый пароль
email.preview.recipient,Тестовый получатель
email.preview.recovery,Восстановление пароля
email.preview.securityFailed,Проверка входа не удалась
email.preview.securityRequested,Запрошена проверка входа
email.preview.securityVerified,Проверка входа завершена
email.preview.subject,Тема
email.preview.text,Текстовая версия
email.preview.verification,Подтверждение электронной почты
login.chooser.accountOrMethodTitle,Выберите аккаунт или способ
login.chooser.description,"Выберите, как вы хотите войти в {organization}."
login.chooser.emailOtpDetail,Получите одноразовый код на электронную почту
login.chooser.emailOtpLabel,Код электронной почты
login.chooser.lastUsed,Использовалось недавно
login.chooser.methodTitle,Выберите способ
login.chooser.orChooseMethod,Или выберите способ
login.chooser.passkeyDetail,Используйте блокировку экрана вашего устройства или ключ безопасности.
login.chooser.passkeyLabel,Ключ доступа
login.chooser.passwordDetail,Используйте пароль своей учетной записи
login.chooser.passwordLabel,Пароль
login.chooser.providerDetail,Войти с помощью существующей учетной записи {provider}
login.chooser.providerLabel,Продолжить с {provider}
login.chooser.register,Завести аккаунт
login.chooser.title,Войти
login.chooser.useRecent,Использовать недавнюю учетную запись
login.chooser.whatsappOtpDetail,Получить одноразовый код в WhatsApp
login.chooser.whatsappOtpLabel,Код WhatsApp
login.common.back,Вернуться к параметрам входа
login.common.legal,"Продолжая, вы подтверждаете {terms} и {privacy}."
login.common.privacy,политика конфиденциальности
login.common.terms,Условия использования
login.common.working,Работающий…
login.emailOtp.back,Вернуться к способам
login.emailOtp.changeEmail,Изменить электронную почту
login.emailOtp.codeDescription,"Введите шестизначный код, который мы отправили на {email}."
login.emailOtp.codeHelp,Введите 6 цифр.
login.emailOtp.codeTitle,Введите свой адрес электронной почты
login.emailOtp.description,Мы отправим вам по электронной почте одноразовый код вместо запроса пароля.
login.emailOtp.remember,Запомнить этот адрес
login.emailOtp.resend,Отправить новый код
login.emailOtp.resendCountdown,Новый код можно будет отправить через {seconds} секунд.
login.emailOtp.resent,Новый код отправлен.
login.emailOtp.send,Отправить код
login.emailOtp.sending,Отправка...
login.emailOtp.title,Войдите с помощью кода электронной почты
login.emailOtp.verify,Подтвердите код
login.emailOtp.verifying,Проверка...
login.error.codeRequired,Введите шестизначный код подтверждения.
login.error.credentialsInvalid,Неверное имя пользователя или пароль.
login.error.credentialsRequired,Введите свое имя пользователя и пароль.
login.error.emailRecoveryRequired,Введите адрес электронной почты аккаунта.
login.error.emailRequired,Введите действительный адрес электронной почты.
login.error.enrollmentMissing,Запустите настройку аутентификатора перед подтверждением кода.
login.error.identifierRequired,Введите имя пользователя или адрес электронной почты.
login.error.nameRequired,"Введите имя, которое будет отображаться в вашей учетной записи."
login.error.newPasswordRequired,Введите новый пароль.
login.error.passwordMismatch,Пароли не совпадают.
login.error.passwordRequired,Введите пароль.
login.error.passwordTooShort,Пароль должен содержать не менее 8 символов.
login.error.recoveryCodeRequired,Введите один из сохраненных кодов восстановления.
login.error.tokenMissing,"Откройте полную ссылку из письма, чтобы продолжить."
login.logout.description,Вы можете завершить этот сеанс на этом устройстве.
login.logout.doneDescription,Вы вышли из {organization}.
login.logout.doneTitle,Вышел из системы
login.logout.submit,выход
login.logout.title,Выйдите из {organization}
login.mfa.backToChoices,Вернуться к вариантам двухэтапной проверки
login.mfa.backToMethods,Вернуться к способам
login.mfa.continue,Продолжить вход
login.mfa.description,"Выберите, как подтвердить, что это вы."
login.mfa.emailOtp,Код электронной почты
login.mfa.emailOtpCodeTitle,Код подтверждения по электронной почте
login.mfa.emailOtpDescription,"Введите шестизначный код, который мы отправили на ваш адрес электронной почты."
login.mfa.emailOtpDetail,Получить одноразовый код подтверждения по электронной почте.
login.mfa.emailOtpEnroll,Настроить коды электронной почты
login.mfa.emailOtpEnrollDescription,Коды подтверждения будут отправляться на адрес электронной почты аккаунта.
login.mfa.emailOtpEnrollNotice,"Настройте коды электронной почты, чтобы использовать адрес аккаунта как второй фактор."
login.mfa.emailOtpEnrollSent,"Коды электронной почты настроены. Введите код, отправленный на ваш адрес."
login.mfa.emailOtpEnrollTitle,Настройка кодов электронной почты
login.mfa.emailOtpResent,Новый код подтверждения отправлен на ваш адрес электронной почты.
login.mfa.emailOtpSend,Отправить код
login.mfa.emailOtpSendDescription,Отправить шестизначный код подтверждения на адрес электронной почты аккаунта.
login.mfa.emailOtpSent,Код подтверждения отправлен на ваш адрес электронной почты.
login.mfa.emailOtpUnavailableDescription,Проверка по электронной почте как второй фактор недоступна в этом процессе входа.
login.mfa.emailOtpUnavailableNotice,Транспорт MFA по электронной почте не настроен для этого запроса Authworks.
login.mfa.emailOtpUnavailableTitle,Код электронной почты недоступен
login.mfa.enrollDescription,Выберите способ настройки двухэтапной проверки для аккаунта.
login.mfa.enrollTitle,Настроить двухэтапную проверку
login.mfa.enterRecoveryCode,Введите сохранённый код восстановления.
login.mfa.enterSixDigits,Введите 6 цифр.
login.mfa.factorUnavailable,Этот фактор недоступен в текущем контракте входа.
login.mfa.loadingOptions,Загрузка вариантов двухэтапной проверки...
login.mfa.loadingOptionsDescription,Получение доступных вариантов второго фактора.
login.mfa.optionalDescription,Настройте двухэтапную проверку для дополнительной защиты или пропустите её сейчас.
login.mfa.optionalTitle,Необязательная двухэтапная проверка
login.mfa.optionsUnavailableDescription,Не удалось загрузить доступные варианты второго фактора.
login.mfa.optionsUnavailableTitle,Двухэтапная проверка недоступна
login.mfa.passkey,Ключ доступа
login.mfa.passkeyDescription,"Подтвердите с помощью ключа доступа, блокировки экрана устройства или биометрии."
login.mfa.passkeyDetail,Подтвердите с помощью ключа доступа или биометрии устройства.
login.mfa.passkeyEnrollmentUnavailableDescription,Размещённый контракт входа не предоставляет регистрацию ключей доступа.
login.mfa.passkeyEnrollmentUnavailableNotice,"Завершите настройку ключа доступа на аутентифицированной странице безопасности аккаунта, затем вернитесь ко входу."
login.mfa.passkeyEnrollmentUnavailableTitle,Настройка ключа доступа недоступна
login.mfa.passkeyUnavailableDescription,Проверка ключом доступа как вторым фактором недоступна в этом процессе входа.
login.mfa.passkeyUnavailableNotice,Транспорт MFA ключа доступа не настроен для этого запроса Authworks.
login.mfa.passkeyUnavailableTitle,Ключ доступа недоступен
login.mfa.passkeyVerify,Подтвердить ключом доступа
login.mfa.recoveryCode,Код восстановления
login.mfa.recoveryCodeDescription,"Используйте один из одноразовых кодов, которые вы сохранили при настройке проверки."
login.mfa.recoveryCodeDetail,Используйте один из сохранённых одноразовых кодов восстановления.
login.mfa.recoveryCodeLabel,Код восстановления
login.mfa.resend,Отправить код повторно
login.mfa.resendIn,Повторная отправка через {seconds} секунд
login.mfa.retryOptions,Повторить загрузку вариантов
login.mfa.satisfiedDescription,Ваш вход уже соответствует политике двухэтапной проверки.
login.mfa.satisfiedTitle,Двухэтапная проверка выполнена
login.mfa.setupFactor,Настроить {factor}
login.mfa.skip,Пропустить сейчас
login.mfa.skipping,Пропуск...
login.mfa.title,двухэтапная проверка
login.mfa.totp,Приложение для аутентификации
login.mfa.totpChallengeTitle,Код приложения-аутентификатора
login.mfa.totpDescription,Введите шестизначный код из приложения для аутентификации.
login.mfa.totpDetail,Используйте код из приложения-аутентификатора.
login.mfa.unavailable,Недоступно
login.mfa.verificationCode,Проверочный код
login.mfa.verify,Проверять
login.passkey.canceled,Вход с помощью ключа доступа отменён или время ожидания истекло. Повторите попытку.
login.passkey.ceremonyFailure,Не удалось завершить вход с помощью ключа доступа. Повторите попытку.
login.passkey.description,"Подтвердите с помощью блокировки экрана устройства, отпечатка пальца или ключа безопасности."
login.passkey.permissionDenied,Доступ к ключу доступа запрещён. Разрешите доступ к ключам доступа для этого сайта и повторите попытку.
login.passkey.submit,Продолжить с ключом доступа
login.passkey.title,Войти с помощью пароля
login.passkey.unsupported,Этот браузер или устройство не может использовать ключи доступа. Выберите другой способ входа.
login.passkey.unsupportedTitle,Ключ доступа не поддерживается
login.password.back,Вернуться к способам
login.password.changeDescription,"Прежде чем продолжить, выберите новый пароль."
login.password.changeRequiredDescription,Перед продолжением необходимо изменить пароль.
login.password.changeRequiredTitle,Изменить пароль
login.password.changeSubmit,Изменить пароль
login.password.changeTitle,Обновите свой пароль
login.password.confirm,Подтвердите пароль
login.password.current,Текущий пароль
login.password.currentRequired,Введите текущий пароль.
login.password.description,Введите учетные данные для своей учетной записи {organization}.
login.password.expiredDescription,"Срок действия пароля истёк. Задайте новый пароль, чтобы продолжить."
login.password.forgot,Забыли пароль?
login.password.hide,Скрыть пароль
login.password.identifier,Имя пользователя или адрес электронной почты
login.password.label,Пароль
login.password.new,Новый пароль
login.password.passwordRequired,Введите пароль.
login.password.rememberIdentifier,Запомнить идентификатор
login.password.saving,Сохранение...
login.password.show,Показать пароль
login.password.signInTitle,Войти с паролем
login.password.signingIn,Выполняется вход...
login.password.submit,Войти
login.password.title,Введите свой пароль
login.provider.accountNotFoundDescription,"С этим аккаунтом {provider} не связан аккаунт Authworks. Связывание аккаунтов и самостоятельная регистрация пока не включены."
login.provider.accountNotFoundTitle,Связанный аккаунт не найден
login.provider.description,"Вы продолжите работу с {provider} и вернетесь сюда, когда закончите."
login.provider.failureDescription,Вход через {provider} не завершён. Попробуйте ещё раз.
login.provider.linkingFailedDescription,Не удалось завершить связывание аккаунта. Попробуйте другой способ входа.
login.provider.linkingFailedTitle,Не удалось связать аккаунт
login.provider.submit,Продолжить с {provider}
login.provider.title,Продолжить с {provider}
login.recent.description,"Продолжайте использовать учетную запись, которую вы использовали на этом устройстве."
login.recent.heading,Недавние аккаунты
login.recent.other,Использовать другую учетную запись
login.recent.title,Выберите учетную запись
login.recent.useAnother,Использовать другой способ или аккаунт
login.recovery.back,Вернуться ко входу
login.recovery.checkingLink,Проверка ссылки сброса...
login.recovery.choosePasswordTitle,Выберите новый пароль
login.recovery.completeDescription,"Войдите в систему, используя новый пароль."
login.recovery.completeDescriptionReference,"Войдите с новым паролем, чтобы продолжить."
login.recovery.completeTitle,Пароль обновлен
login.recovery.completeTitleReference,Пароль изменён
login.recovery.description,"Введите свой адрес электронной почты, и мы вышлем инструкции по восстановлению, если учетная запись существует."
login.recovery.invalidLinkError,Эта ссылка сброса пароля недействительна или устарела.
login.recovery.invalidLinkTitle,Эта ссылка сброса больше недействительна
login.recovery.loading,Загрузка восстановления пароля...
login.recovery.policyRejected,"Выберите пароль, соответствующий требованиям."
login.recovery.resetDescription,Выберите новый пароль для своей учетной записи.
login.recovery.resetSubmit,Обновить пароль
login.recovery.resetSubmitReference,Задать новый пароль
login.recovery.resetTitle,Установить новый пароль
login.recovery.saving,Сохранение...
login.recovery.sending,Отправка...
login.recovery.sentDescription,"Если учетная запись соответствует этому адресу, инструкции по восстановлению уже в пути. Срок действия ссылки истекает в ближайшее время."
login.recovery.sentTitle,Проверьте свою электронную почту
login.recovery.submit,Отправить инструкции по восстановлению
login.recovery.submitReference,Отправить ссылку сброса
login.recovery.title,Сбросить пароль
login.recovery.unavailableDescription,Восстановление пароля временно недоступно.
login.recovery.unavailableTitle,Восстановление пароля недоступно
login.register.description,Создайте учетную запись для {organization}.
login.register.displayName,Полное имя
login.register.doneDescription,"Подтвердите свой адрес электронной почты, используя ссылку, которую мы отправили на {email}."
login.register.doneTitle,Подтвердите свой адрес электронной почты
login.register.email,Адрес электронной почты
login.register.signIn,У вас уже есть аккаунт?
login.register.submit,Зарегистрироваться
login.register.title,Создайте свою учетную запись
login.register.userName,Имя пользователя
login.signedIn.description,Вы вошли в систему {organization}.
login.signedIn.title,Вошёл в систему
login.status.continuing,Продолжение входа...
login.status.fatalTitle,Начать вход заново
login.status.loading,Подготовка входа в систему
login.status.unavailableDescription,Этот запрос на вход не может быть выполнен. Вернитесь в приложение и повторите попытку.
login.status.unavailableTitle,Вход недоступен
login.totpEnroll.description,"Добавьте этот ключ настройки в приложение аутентификации, затем введите созданный код. Ключ показывается только сейчас."
login.totpEnroll.hideSetupKey,Скрыть ключ настройки
login.totpEnroll.qrLabel,QR-код для настройки приложения-аутентификатора
login.totpEnroll.scanDescription,Отсканируйте QR-код приложением-аутентификатором и введите показанный шестизначный код.
login.totpEnroll.setupKeyLabel,Ключ настройки (если сканирование невозможно)
login.totpEnroll.showSetupKey,Показать ключ настройки
login.totpEnroll.start,Показать ключ настройки
login.totpEnroll.submit,Завершить настройку
login.totpEnroll.title,Настройте приложение для аутентификации
login.totpEnroll.unavailableDescription,Не удалось подготовить настройку аутентификатора. Данные настройки нельзя восстановить после перезагрузки.
login.verify.description,Подтвердите адрес электронной почты для вашей учетной записи.
login.verify.submit,Подтвердите адрес электронной почты
login.verify.title,Подтвердите свой адрес электронной почты
login.verify.verifiedDescription,{email} подтвержден. Вы можете войти в систему сейчас.
login.verify.verifiedTitle,Адрес электронной почты подтвержден
login.whatsappOtp.codeDescription,"Введите код, отправленный на номер {phoneNumber} в WhatsApp."
login.whatsappOtp.codeError,Неверный код WhatsApp.
login.whatsappOtp.codeTitle,Код подтверждения WhatsApp
login.whatsappOtp.description,"Вместо пароля мы отправим вам одноразовый код в WhatsApp."
login.whatsappOtp.differentNumber,Использовать другой номер
login.whatsappOtp.phoneHint,"Используйте международный формат E.164, например +14155552671."
login.whatsappOtp.phoneInvalid,Введите действительный номер телефона в формате E.164.
login.whatsappOtp.phoneNumber,Номер телефона WhatsApp
login.whatsappOtp.phonePlaceholder,+79161234567
login.whatsappOtp.resend,Отправить код повторно
login.whatsappOtp.send,Отправить код WhatsApp
login.whatsappOtp.sendError,Не удалось отправить код WhatsApp.
login.whatsappOtp.sending,Отправка кода…
login.whatsappOtp.title,Войти через WhatsApp
login.whatsappOtp.verifying,Проверка…
shell.guard.accessUnavailable,Доступ недоступен
shell.guard.contextRequired,Требуется контекст
shell.guard.contextRequiredDetail,Выберите необходимый realm или организацию перед продолжением.
shell.guard.destinationUnavailable,Раздел недоступен
shell.guard.destinationUnavailableDetail,Запрошенный раздел не является частью этого приложения.
shell.guard.pageNotFound,Страница не найдена
shell.guard.signInRequired,Требуется вход
shell.guard.signInRequiredDetail,"Войдите, чтобы перейти в этот раздел."
shell.nav.acceptInvitation,Принять приглашение
shell.nav.access,Доступ
shell.nav.account,Аккаунт
shell.nav.administratorSignIn,Вход администратора
shell.nav.applicationConsent,Согласие приложения
shell.nav.applicationConsents,Согласия приложений
shell.nav.applications,Приложения
shell.nav.auditEvents,События аудита
shell.nav.branding,Оформление
shell.nav.chooseDestination,Выберите раздел
shell.nav.credentialsTokens,Учётные данные и токены
shell.nav.deleteAccount,Удалить аккаунт
shell.nav.directory,Каталог
shell.nav.effectiveAccess,Effective access
shell.nav.effectiveAccess,Эффективный доступ
shell.nav.emailAddress,Адрес электронной почты
shell.nav.emailOtpSignIn,Вход по коду из письма
shell.nav.externalIdentitySignIn,Вход через внешний сервис
shell.nav.impersonation,Имперсонация
shell.nav.invitations,Приглашения
shell.nav.linkedIdentities,Связанные учетные записи
shell.nav.loginPolicy,Вход и идентификация
shell.nav.loginPolicyProviders,Вход и поставщики удостоверений
shell.nav.logout,Выйти
shell.nav.machineCredentials,Учетные данные машины
shell.nav.machineUsers,Машинные пользователи
shell.nav.membershipsRoles,Участники и роли
shell.nav.mfa,Многофакторная аутентификация
shell.nav.mfaSignIn,Многофакторный вход
shell.nav.myOrganizations,Мои организации
shell.nav.navigationTitle,Навигация {title}
shell.nav.oidcClients,Клиенты OIDC
shell.nav.openIdConnect,OpenID Connect
shell.nav.operations,Операции
shell.nav.organization,Организация
shell.nav.organizations,Организации
shell.nav.overview,Обзор
shell.nav.passkeySignIn,Вход по ключу доступа
shell.nav.passkeys,Ключи доступа
shell.nav.password,Пароль
shell.nav.passwordRecovery,Восстановление пароля
shell.nav.passwordSignIn,Вход по паролю
shell.nav.personalInformation,Личные данные
shell.nav.profile,Профиль
shell.nav.projects,Проекты
shell.nav.protocolDocuments,Документы протокола
shell.nav.realm,Область
shell.nav.realmSettings,Настройки области
shell.nav.recoveryCodes,Коды восстановления
shell.nav.refreshTokens,Токены обновления
shell.nav.registration,Регистрация
shell.nav.rolesGrants,Роли и разрешения
shell.nav.security,Безопасность
shell.nav.securityHistory,История безопасности
shell.nav.sessions,Сессии
shell.nav.sessionsDevices,Сеансы и устройства
shell.nav.signingKeys,Ключи подписи
shell.nav.users,Пользователи
shell.nav.verifyEmail,Подтверждение почты
shell.state.errorDetail,Не удалось подготовить страницу. Повторите попытку позже.
shell.state.inaccessibleDetail,У вас нет доступа к этому разделу в текущем контексте.
shell.state.loadingDetail,Подготовка этой страницы и контекста безопасности.
shell.state.nothingHere,Здесь пока ничего нет
shell.state.pageUnavailable,Эта страница недоступна
shell.state.readyDetail,Эта страница готова к отображению содержимого.
