key,fr
demo.nav.emails,E-mails
demo.nav.hub,Accueil
demo.nav.label,Démo
demo.nav.login,Connexion
demo.placeholder.emptyDescription,Cette destination est prête pour un état vide intentionnel.
demo.placeholder.emptyTitle,Aucun enregistrement de fixture
demo.placeholder.errorDescription,Une erreur déterministe peut être présentée ici sans requête réseau.
demo.placeholder.errorTitle,Erreur de fixture
demo.placeholder.loading,Chargement de la fixture
demo.placeholder.notFoundDescription,Choisissez une destination prise en charge dans le répertoire.
demo.placeholder.notFoundTitle,Destination de démo introuvable
demo.placeholder.readyDescription,"La route, les états pris en charge et la limite de l'adaptateur de démo sont définis. La page de fonctionnalité n'est intentionnellement pas implémentée dans cette étape."
demo.placeholder.readyTitle,Contrat de fixture prêt
email.directory.description,Examinez les rendus HTML et texte déterministes pour chaque modèle d’e-mail transactionnel.
email.directory.eyebrow,Messages transactionnels
email.directory.open,Ouvrir l’aperçu
email.directory.title,Aperçus des e-mails
email.hub.description,Examiner les fixtures isolées de messages transactionnels en HTML et texte brut.
email.hub.open,Ouvrir les aperçus d'e-mails
email.preview.back,Tous les aperçus d’e-mails
email.preview.html,Aperçu HTML
email.preview.impersonationEnded,Usurpation terminée
email.preview.impersonationStarted,Usurpation démarrée
email.preview.invitation,Invitation à l’organisation
email.preview.isolated,Rendu dans un cadre isolé ; l’accès réseau est désactivé.
email.preview.notFound,Aperçu de l’e-mail introuvable
email.preview.otp,Mot de passe à usage unique
email.preview.recipient,Destinataire de test
email.preview.recovery,Récupération du mot de passe
email.preview.securityFailed,Échec de la vérification de connexion
email.preview.securityRequested,Vérification de connexion demandée
email.preview.securityVerified,Vérification de connexion terminée
email.preview.subject,Objet
email.preview.text,Version texte
email.preview.verification,Vérification de l’e-mail
login.chooser.accountOrMethodTitle,Choisir un compte ou une méthode
login.chooser.description,Choisissez comment vous connecter à {organization}.
login.chooser.lastUsed,Dernière utilisation
login.chooser.methodTitle,Choisir une méthode
login.chooser.orChooseMethod,Ou choisir une méthode
login.chooser.emailOtpDetail,Recevoir un code à usage unique par e-mail
login.chooser.emailOtpLabel,Code e-mail
login.chooser.passkeyDetail,Utiliser le verrouillage de l’écran de votre appareil ou une clé de sécurité
login.chooser.passkeyLabel,Clé d’accès
login.chooser.passwordDetail,Utiliser le mot de passe de votre compte
login.chooser.passwordLabel,Mot de passe
login.chooser.providerDetail,Utiliser votre compte {provider} existant pour vous connecter
login.chooser.providerLabel,Continuer avec {provider}
login.chooser.register,Créer un compte
login.chooser.title,Se connecter
login.chooser.useRecent,Utiliser un compte récent
login.common.back,Retour aux options de connexion
login.common.legal,"En continuant, vous reconnaissez les {terms} et la {privacy}."
login.common.privacy,Politique de confidentialité
login.common.terms,Conditions d’utilisation
login.common.working,Traitement en cours…
login.emailOtp.codeDescription,Saisissez le code à six chiffres envoyé à {email}.
login.emailOtp.codeTitle,Saisissez votre code e-mail
login.emailOtp.description,Nous vous enverrons un code à usage unique par e-mail au lieu de vous demander un mot de passe.
login.emailOtp.resend,Envoyer un nouveau code
login.emailOtp.send,Envoyer le code
login.emailOtp.title,Se connecter avec un code e-mail
login.emailOtp.verify,Vérifier le code
login.error.codeRequired,Saisissez le code de vérification à six chiffres.
login.error.credentialsRequired,Saisissez votre nom d’utilisateur et votre mot de passe.
login.error.emailRequired,Saisissez une adresse e-mail valide.
login.error.enrollmentMissing,Commencez la configuration de l’application d’authentification avant de confirmer un code.
login.error.nameRequired,Saisissez le nom à afficher sur votre compte.
login.error.passwordMismatch,Les mots de passe ne correspondent pas.
login.error.passwordTooShort,Le mot de passe doit comporter au moins 8 caractères.
login.error.recoveryCodeRequired,Saisissez l’un de vos codes de récupération enregistrés.
login.error.tokenMissing,Ouvrez le lien complet reçu par e-mail pour continuer.
login.logout.description,Vous pouvez mettre fin à cette session sur cet appareil.
login.logout.doneDescription,Vous êtes déconnecté de {organization}.
login.logout.doneTitle,Déconnexion effectuée
login.logout.submit,Se déconnecter
login.logout.title,Se déconnecter de {organization}
login.mfa.description,Choisissez comment confirmer votre identité.
login.mfa.emailOtp,Code e-mail
login.mfa.emailOtpDescription,Saisissez le code à six chiffres envoyé à votre adresse e-mail.
login.mfa.passkey,Clé d’accès
login.mfa.recoveryCode,Code de récupération
login.mfa.recoveryCodeDescription,Utilisez l’un des codes à usage unique enregistrés lors de la configuration de la vérification.
login.mfa.recoveryCodeLabel,Code de récupération
login.mfa.title,Validation en deux étapes
login.mfa.totp,Application d’authentification
login.mfa.totpDescription,Saisissez le code à six chiffres de votre application d’authentification.
login.mfa.verificationCode,Code de vérification
login.mfa.verify,Vérifier
login.passkey.description,"Confirmez avec le verrouillage de l’écran, votre empreinte digitale ou une clé de sécurité."
login.passkey.submit,Continuer avec la clé d’accès
login.passkey.title,Se connecter avec une clé d’accès
login.passkey.unsupported,Ce navigateur ou cet appareil ne peut pas utiliser les clés d’accès. Choisissez une autre méthode de connexion.
login.password.changeDescription,Choisissez un nouveau mot de passe avant de continuer.
login.password.changeTitle,Mettre à jour votre mot de passe
login.password.confirm,Confirmer le mot de passe
login.password.current,Mot de passe actuel
login.password.description,Saisissez les identifiants de votre compte {organization}.
login.password.forgot,Mot de passe oublié ?
login.password.hide,Masquer le mot de passe
login.password.identifier,Nom d’utilisateur ou adresse e-mail
login.password.label,Mot de passe
login.password.new,Nouveau mot de passe
login.password.show,Afficher le mot de passe
login.password.submit,Se connecter
login.password.title,Saisissez votre mot de passe
login.provider.description,"Vous allez continuer sur {provider}, puis revenir ici une fois terminé."
login.provider.submit,Continuer avec {provider}
login.provider.title,Continuer avec {provider}
login.recent.description,Continuer avec un compte utilisé sur cet appareil.
login.recent.heading,Comptes récents
login.recent.useAnother,Utiliser une autre méthode ou un autre compte
login.recent.other,Utiliser un autre compte
login.recent.title,Choisir un compte
login.recovery.completeDescription,Se connecter avec votre nouveau mot de passe
login.recovery.completeTitle,Mot de passe mis à jour
login.recovery.description,Saisissez votre adresse e-mail et nous vous enverrons les instructions de récupération si un compte existe.
login.recovery.resetDescription,Choisissez un nouveau mot de passe pour votre compte.
login.recovery.resetSubmit,Mettre à jour le mot de passe
login.recovery.resetTitle,Définir un nouveau mot de passe
login.recovery.sentDescription,"Si un compte correspond à cette adresse, les instructions de récupération vont vous parvenir. Le lien expire bientôt."
login.recovery.sentTitle,Consultez votre messagerie
login.recovery.submit,Envoyer les instructions de récupération
login.recovery.title,Réinitialiser votre mot de passe
login.register.description,Créez un compte pour {organization}.
login.register.displayName,Nom complet
login.register.doneDescription,Confirmez votre adresse e-mail avec le lien envoyé à {email}.
login.register.doneTitle,Confirmer votre adresse e-mail
login.register.email,Adresse e-mail
login.register.signIn,Vous avez déjà un compte ?
login.register.submit,Créer un compte
login.register.title,Créer votre compte
login.register.userName,Nom d’utilisateur
login.signedIn.description,Vous êtes connecté à {organization}.
login.signedIn.title,Connecté
login.status.loading,Préparation de la connexion
login.status.unavailableDescription,Cette demande de connexion ne peut pas aboutir. Revenez à l'application et réessayez.
login.status.unavailableTitle,Connexion indisponible
login.totpEnroll.description,"Ajoutez cette clé de configuration à votre application d'authentification, puis saisissez le code généré. La clé n'est affichée que maintenant."
login.totpEnroll.start,Afficher la clé de configuration
login.totpEnroll.submit,Terminer la configuration
login.totpEnroll.title,Configurer une application d’authentification
login.verify.description,Confirmez l’adresse e-mail de votre compte.
login.verify.submit,Confirmer l’adresse e-mail
login.verify.title,Vérifier votre adresse e-mail
login.verify.verifiedDescription,{email} est confirmée. Vous pouvez maintenant vous connecter.
login.verify.verifiedTitle,Adresse e-mail confirmée
demo.fixture.continuing,continuation
demo.fixture.fatal,erreur critique
demo.fixture.passwordChangeExpired,mot de passe expiré
demo.fixture.recoveryFatal,récupération indisponible
demo.fixture.recoveryLoading,récupération en cours
demo.fixture.resetInvalid,lien de réinitialisation invalide
demo.fixture.resetLoading,lien de réinitialisation en cours
login.emailOtp.codeHelp,Saisissez 6 chiffres.
login.emailOtp.back,Retour aux méthodes
login.emailOtp.changeEmail,Modifier l’e-mail
login.emailOtp.resendCountdown,Un autre code pourra être envoyé dans {seconds} secondes.
login.emailOtp.resent,Un nouveau code a été envoyé.
login.emailOtp.remember,Mémoriser cet e-mail
login.emailOtp.sending,Envoi en cours...
login.emailOtp.verifying,Vérification en cours...
login.error.credentialsInvalid,Nom d’utilisateur ou mot de passe incorrect.
login.error.emailRecoveryRequired,Saisissez l’adresse e-mail de votre compte.
login.error.identifierRequired,Saisissez votre nom d’utilisateur ou votre adresse e-mail.
login.error.newPasswordRequired,Saisissez un nouveau mot de passe.
login.error.passwordRequired,Saisissez votre mot de passe.
login.mfa.backToChoices,Retour aux choix de validation en deux étapes
login.mfa.backToMethods,Retour aux méthodes
login.mfa.continue,Continuer la connexion
login.mfa.emailOtpCodeTitle,Code de validation par e-mail
login.mfa.emailOtpDetail,Recevoir un code de validation à usage unique par e-mail.
login.mfa.emailOtpEnroll,Configurer les codes e-mail
login.mfa.emailOtpEnrollDescription,Les codes de validation seront envoyés à l’adresse e-mail de votre compte.
login.mfa.emailOtpEnrollNotice,Configurez les codes e-mail pour utiliser l’adresse de votre compte comme deuxième facteur.
login.mfa.emailOtpEnrollSent,Les codes e-mail sont configurés. Saisissez le code envoyé à votre adresse.
login.mfa.emailOtpEnrollTitle,Configurer les codes e-mail
login.mfa.emailOtpSend,Envoyer le code
login.mfa.emailOtpSendDescription,Envoyer un code de validation à six chiffres à l’adresse e-mail de votre compte.
login.mfa.emailOtpSent,Un code de validation a été envoyé à votre adresse e-mail.
login.mfa.emailOtpResent,Un nouveau code de validation a été envoyé à votre adresse e-mail.
login.mfa.emailOtpUnavailableDescription,La validation par e-mail comme deuxième facteur n’est pas disponible dans ce parcours de connexion.
login.mfa.emailOtpUnavailableNotice,Le transport MFA par e-mail n’est pas configuré pour cette demande Authworks.
login.mfa.emailOtpUnavailableTitle,Code e-mail indisponible
login.mfa.enterRecoveryCode,Saisissez un code de récupération enregistré.
login.mfa.enterSixDigits,Saisissez 6 chiffres.
login.mfa.enrollDescription,Sélectionnez une méthode pour configurer la validation en deux étapes de votre compte.
login.mfa.enrollTitle,Configurer la validation en deux étapes
login.mfa.factorUnavailable,Ce facteur n’est pas disponible dans le contrat de connexion actuel.
login.mfa.loadingOptions,Chargement des options de validation en deux étapes...
login.mfa.loadingOptionsDescription,Récupération des choix de deuxième facteur disponibles.
login.mfa.optionalDescription,Configurez la validation en deux étapes pour plus de sécurité ou ignorez-la pour le moment.
login.mfa.optionalTitle,Validation en deux étapes facultative
login.mfa.optionsUnavailableDescription,Impossible de charger les choix de deuxième facteur disponibles.
login.mfa.optionsUnavailableTitle,Validation en deux étapes indisponible
login.mfa.passkeyDescription,"Confirmez avec une clé d’accès, le verrouillage de l’appareil ou la biométrie."
login.mfa.passkeyDetail,Vérifier avec une clé d’accès ou la biométrie de l’appareil.
login.mfa.passkeyEnrollmentUnavailableDescription,Le contrat de connexion hébergé n’expose pas l’inscription des clés d’accès.
login.mfa.passkeyEnrollmentUnavailableNotice,"Terminez la configuration de la clé d’accès depuis une page de sécurité authentifiée, puis revenez vous connecter."
login.mfa.passkeyEnrollmentUnavailableTitle,Configuration de clé d’accès indisponible
login.mfa.passkeyUnavailableDescription,La validation par clé d’accès comme deuxième facteur n’est pas disponible dans ce parcours.
login.mfa.passkeyUnavailableNotice,Le transport MFA par clé d’accès n’est pas configuré pour cette demande Authworks.
login.mfa.passkeyUnavailableTitle,Clé d’accès indisponible
login.mfa.passkeyVerify,Vérifier avec la clé d’accès
login.mfa.resend,Renvoyer le code
login.mfa.resendIn,Renvoyer dans {seconds} secondes
login.mfa.recoveryCodeDetail,Utilisez l’un de vos codes de récupération à usage unique enregistrés.
login.mfa.totpChallengeTitle,Code d’authentification
login.mfa.totpDetail,Utilisez un code de votre application d’authentification.
login.mfa.retryOptions,Réessayer de charger les options
login.mfa.setupFactor,Configurer {factor}
login.mfa.skip,Ignorer pour le moment
login.mfa.skipping,Ignoré...
login.mfa.satisfiedDescription,Votre connexion respecte déjà la règle de validation en deux étapes.
login.mfa.satisfiedTitle,Validation en deux étapes satisfaite
login.mfa.unavailable,Indisponible
login.passkey.unsupportedTitle,Clé d’accès non prise en charge
login.password.changeRequiredDescription,"Votre mot de passe doit être modifié avant de continuer."
login.password.changeRequiredTitle,Modifier votre mot de passe
login.password.changeSubmit,Modifier le mot de passe
login.password.expiredDescription,"Votre mot de passe a expiré. Définissez-en un nouveau pour continuer."
login.password.currentRequired,Saisissez votre mot de passe actuel.
login.password.back,Retour aux méthodes
login.password.passwordRequired,Saisissez votre mot de passe.
login.password.rememberIdentifier,Mémoriser cet identifiant
login.password.signInTitle,Se connecter avec un mot de passe
login.password.signingIn,Connexion en cours...
login.password.saving,Enregistrement en cours...
login.provider.accountNotFoundDescription,"Aucun compte Authworks n’est associé à ce compte {provider}. L’association de comptes et l’inscription autonome ne sont pas encore activées."
login.provider.accountNotFoundTitle,Aucun compte associé
login.provider.failureDescription,La connexion avec {provider} n’a pas abouti. Réessayez.
login.provider.linkingFailedDescription,L’association du compte n’a pas pu être terminée. Essayez une autre méthode de connexion.
login.provider.linkingFailedTitle,Impossible d’associer le compte
login.recovery.back,Retour à la connexion
login.recovery.checkingLink,Vérification du lien de réinitialisation...
login.recovery.choosePasswordTitle,Choisir un nouveau mot de passe
login.recovery.completeDescriptionReference,"Connectez-vous avec votre nouveau mot de passe pour continuer."
login.recovery.completeTitleReference,Votre mot de passe a été modifié
login.recovery.invalidLinkTitle,Ce lien de réinitialisation n’est plus valide
login.recovery.invalidLinkError,Ce lien de réinitialisation du mot de passe est invalide ou expiré.
login.recovery.loading,Chargement de la récupération du mot de passe...
login.recovery.resetSubmitReference,Définir le nouveau mot de passe
login.recovery.saving,Enregistrement en cours...
login.recovery.sending,Envoi en cours...
login.recovery.submitReference,Envoyer le lien de réinitialisation
login.recovery.unavailableDescription,La récupération du mot de passe est temporairement indisponible.
login.recovery.unavailableTitle,Récupération du mot de passe indisponible
login.status.continuing,Reprise de la connexion...
login.status.fatalTitle,Recommencer la connexion
login.totpEnroll.hideSetupKey,Masquer la clé de configuration
login.totpEnroll.qrLabel,Code QR pour configurer l’application d’authentification
login.totpEnroll.scanDescription,"Scannez le code QR avec votre application d’authentification, puis saisissez le code à six chiffres affiché."
login.totpEnroll.setupKeyLabel,Clé de configuration (si vous ne pouvez pas scanner)
login.totpEnroll.showSetupKey,Afficher la clé de configuration
login.totpEnroll.unavailableDescription,"La configuration de l’authentificateur n’a pas pu être préparée ici. Les détails de configuration ne peuvent pas être restaurés après un rechargement."
shell.guard.accessUnavailable,Accès indisponible
shell.guard.contextRequired,Contexte requis
shell.guard.contextRequiredDetail,Choisissez le domaine ou l'organisation requis avant de continuer.
shell.guard.destinationUnavailable,Destination non disponible
shell.guard.destinationUnavailableDetail,La destination demandée ne fait pas partie de cette application.
shell.guard.pageNotFound,Page non trouvée
shell.guard.signInRequired,Connexion requise
shell.guard.signInRequiredDetail,Connectez-vous pour continuer vers cette destination.
shell.nav.acceptInvitation,Accepter l'invitation
shell.nav.access,Accès
shell.nav.account,Compte
shell.nav.administratorSignIn,Connexion administrateur
shell.nav.applicationConsent,Consentement de l'application
shell.nav.applicationConsents,Consentements d'applications
shell.nav.applications,Applications clientes
shell.nav.auditEvents,Événements d'audit
shell.nav.branding,Personnalisation
shell.nav.chooseDestination,Choisir une destination
shell.nav.credentialsTokens,Identifiants et jetons
shell.nav.deleteAccount,Supprimer le compte
shell.nav.directory,Annuaire
shell.nav.effectiveAccess,Effective access
shell.nav.effectiveAccess,Accès effectif
shell.nav.emailAddress,Adresse e-mail
shell.nav.emailOtpSignIn,Connexion par code e-mail
shell.nav.externalIdentitySignIn,Connexion par identité externe
shell.nav.impersonation,Usurpation d'identité
shell.nav.invitations,Invitations envoyées
shell.nav.linkedIdentities,Identités associées
shell.nav.loginPolicy,Connexion et identité
shell.nav.loginPolicyProviders,Connexion et fournisseurs d'identité
shell.nav.logout,Déconnexion
shell.nav.machineCredentials,Identifiants machine
shell.nav.machineUsers,Utilisateurs machine
shell.nav.membershipsRoles,Membres et rôles
shell.nav.mfa,Authentification multifacteur
shell.nav.mfaSignIn,Connexion multifacteur
shell.nav.myOrganizations,Mes organisations
shell.nav.navigationTitle,Navigation {title}
shell.nav.oidcClients,Clients OIDC
shell.nav.openIdConnect,OpenID Connect
shell.nav.operations,Opérations
shell.nav.organization,Organisation
shell.nav.organizations,Organisations
shell.nav.overview,Aperçu
shell.nav.passkeySignIn,Connexion par clé d'accès
shell.nav.passkeys,Clés d'accès
shell.nav.password,Mot de passe
shell.nav.passwordRecovery,Récupération du mot de passe
shell.nav.passwordSignIn,Connexion par mot de passe
shell.nav.personalInformation,Informations personnelles
shell.nav.profile,Profil
shell.nav.projects,Projets
shell.nav.protocolDocuments,Documents de protocole
shell.nav.realm,Domaine
shell.nav.realmSettings,Paramètres du domaine de sécurité
shell.nav.recoveryCodes,Codes de récupération
shell.nav.refreshTokens,Jetons d’actualisation
shell.nav.registration,Inscription
shell.nav.rolesGrants,Rôles et autorisations
shell.nav.security,Sécurité
shell.nav.sessions,Sessions actives
shell.nav.sessionsDevices,Sessions et appareils
shell.nav.signingKeys,Clés de signature
shell.nav.users,Utilisateurs
shell.nav.verifyEmail,Vérifier l'e-mail
shell.state.errorDetail,La page n'a pas pu être préparée. Réessayez quand vous serez prêt.
shell.state.inaccessibleDetail,Vous n'avez pas accès à cette destination dans le contexte actuel.
shell.state.loadingDetail,Préparation de cette page et de son contexte de sécurité.
shell.state.nothingHere,Rien ici pour le moment
shell.state.pageUnavailable,Cette page n'est pas disponible
shell.state.readyDetail,Cette page est prête pour son contenu.
login.chooser.whatsappOtpDetail,Recevoir un code à usage unique sur WhatsApp
login.chooser.whatsappOtpLabel,Code WhatsApp
login.whatsappOtp.codeError,Le code WhatsApp est incorrect.
login.whatsappOtp.codeDescription,Saisissez le code envoyé au {phoneNumber} sur WhatsApp.
login.whatsappOtp.codeTitle,Code de vérification WhatsApp
login.whatsappOtp.description,"Nous vous enverrons un code à usage unique sur WhatsApp, au lieu de vous demander un mot de passe."
login.whatsappOtp.differentNumber,Utiliser un autre numéro
login.whatsappOtp.phoneHint,"Utilisez le format international E.164, par exemple +14155552671."
login.whatsappOtp.phoneInvalid,Saisissez un numéro de téléphone valide au format E.164.
login.whatsappOtp.phoneNumber,Numéro de téléphone WhatsApp
login.whatsappOtp.phonePlaceholder,+33612345678
login.whatsappOtp.resend,Renvoyer le code
login.whatsappOtp.send,Envoyer le code WhatsApp
login.whatsappOtp.sendError,Le code WhatsApp n’a pas pu être envoyé.
login.whatsappOtp.sending,Envoi du code…
login.whatsappOtp.title,Se connecter avec WhatsApp
login.whatsappOtp.verifying,Vérification…
account.securityHistory.category.emailChanges,Email changes
account.securityHistory.category.impersonation,Impersonation
account.securityHistory.category.linkedIdentities,Linked identities
account.securityHistory.category.mfa,Multi-factor authentication
account.securityHistory.category.passwords,Passwords
account.securityHistory.category.passkeys,Passkeys
account.securityHistory.category.refreshTokens,Refresh tokens
account.securityHistory.category.sessions,Sessions
account.securityHistory.description,Review recent safe security activity. Sensitive details and identifiers are never shown.
account.securityHistory.empty,No security activity is available
account.securityHistory.event.accessTokenRevoked,An access token was revoked
account.securityHistory.event.emailChangeFailed,An email address change failed
account.securityHistory.event.emailChangeRequested,An email address change was requested
account.securityHistory.event.emailChangeVerified,A new email address was verified
account.securityHistory.event.emailChanged,The account email address changed
account.securityHistory.event.identityLinked,An external identity was linked
account.securityHistory.event.identityUnlinked,An external identity was unlinked
account.securityHistory.event.impersonationEnded,An impersonation session ended
account.securityHistory.event.impersonationStarted,An impersonation session started
account.securityHistory.event.mfaCompleted,A multi-factor challenge was completed
account.securityHistory.event.mfaFailed,A multi-factor challenge failed
account.securityHistory.event.mfaStarted,A multi-factor challenge started
account.securityHistory.event.passkeyAuthenticationCompleted,A passkey authentication completed
account.securityHistory.event.passkeyAuthenticationStarted,A passkey authentication started
account.securityHistory.event.passkeyCredentialRevoked,A passkey was revoked
account.securityHistory.event.passkeyCredentialUsed,A passkey was used
account.securityHistory.event.passkeyRegistrationCompleted,A passkey registration completed
account.securityHistory.event.passkeyRegistrationStarted,A passkey registration started
account.securityHistory.event.passwordChanged,The password changed
account.securityHistory.event.passwordEmailVerified,The password email address was verified
account.securityHistory.event.passwordLocked,The password account was locked
account.securityHistory.event.passwordLoginFailed,A password sign-in failed
account.securityHistory.event.passwordLoginSucceeded,A password sign-in succeeded
account.securityHistory.event.passwordRecovered,The password was recovered
account.securityHistory.event.passwordRecoveryRequested,Password recovery was requested
account.securityHistory.event.passwordUnlocked,The password account was unlocked
account.securityHistory.event.passwordWhatsappVerified,The WhatsApp sign-in number was verified
account.securityHistory.event.recoveryCodeUsed,A recovery code was used
account.securityHistory.event.recoveryCodesGenerated,Recovery codes were generated
account.securityHistory.event.refreshTokenFamilyRevoked,A refresh-token family was revoked
account.securityHistory.event.sessionCreated,A session was created
account.securityHistory.event.sessionRevoked,A session was revoked
account.securityHistory.event.sessionsRevoked,All sessions were revoked
account.securityHistory.event.sessionRotated,A session was renewed
account.securityHistory.event.totpEnrollmentConfirmed,An authenticator was confirmed
account.securityHistory.event.totpEnrollmentStarted,Authenticator setup started
account.securityHistory.event.totpRemoved,An authenticator was removed
account.securityHistory.event.totpVerified,An authenticator challenge succeeded
account.securityHistory.loadMore,Load more security activity
shell.nav.securityHistory,Historique de sécurité
admin.organizations.policy.allowedFactors,Allowed MFA factors
admin.organizations.policy.allowedFactorsDescription,Only these factors may complete MFA. WhatsApp sign-in and recovery codes are not configurable factors.
admin.organizations.policy.assurance.authenticated,Authenticated session
admin.organizations.policy.assurance.multi_factor,Multi-factor session
admin.organizations.policy.assurance.none,No assurance requirement
admin.organizations.policy.down,Down
admin.organizations.policy.effectiveValue,Effective value: {value}
admin.organizations.policy.enforcementAuthenticated,Protected organization operations require an authenticated session.
admin.organizations.policy.enforcementMultiFactor,Protected organization operations require a multi-factor session and prompt for step-up when needed.
admin.organizations.policy.enforcementNone,Protected organization operations do not add an assurance requirement.
admin.organizations.policy.enforcementOptional,Login can complete without an additional MFA factor.
admin.organizations.policy.enforcementRequired,Login cannot complete until a permitted MFA factor succeeds.
admin.organizations.policy.enforcementTitle,Effective enforcement
admin.organizations.policy.factor.emailOtp,Email one-time code
admin.organizations.policy.factor.passkey,Passkey
admin.organizations.policy.factor.totp,Authenticator app (TOTP)
admin.organizations.policy.minimumAssurance,Minimum step-up assurance
admin.organizations.policy.moveDown,Move {factor} down
admin.organizations.policy.moveUp,Move {factor} up
admin.organizations.policy.notRequired,Not required
admin.organizations.policy.organizationOverrides,Organization overrides
admin.organizations.policy.organizationValue,Organization override
admin.organizations.policy.overrideRealm,Override the realm value
admin.organizations.policy.preferredOrder,Preferred factor order
admin.organizations.policy.preferredOrderDescription,Use the Up and Down buttons to set the keyboard-accessible factor preference.
admin.organizations.policy.realmDefaults,Realm defaults
admin.organizations.policy.realmValue,Realm value
admin.organizations.policy.remediation,People without an enrolled permitted factor are sent to enrollment and remediation instead of being locked out.
admin.organizations.policy.required,Required
admin.organizations.policy.requiredMfa,Required MFA
admin.organizations.policy.scopeLabel,Policy scope
admin.organizations.policy.securityDescription,Set login MFA and the assurance required for protected organization operations.
admin.organizations.policy.securityTitle,MFA and assurance
admin.organizations.policy.up,Up
admin.organizations.policy.validation.assuranceWeaker,The organization assurance requirement cannot be weaker than the realm value.
admin.organizations.policy.validation.factorNarrowing,Organization factors must be a subset of the realm factor allowlist.
admin.organizations.policy.validation.order,The preferred order may contain only allowed factors.
admin.organizations.policy.validation.requiredFactors,Required MFA needs at least one allowed factor.
admin.organizations.policy.validation.requiredMfaWeaker,The organization cannot turn off MFA required by the realm.
