key,de
demo.account.scenario.profile.description,"Namen, Benutzernamen und bevorzugte Sprache prüfen und aktualisieren."
demo.account.scenario.profile.title,Profil
demo.account.scenario.recovery_codes.description,Ersatzcodes generieren und einmalig anzeigen.
demo.account.scenario.recovery_codes.title,Wiederherstellungscodes
demo.account.scenario.sessions.description,Aktive Sitzungen prüfen und nicht mehr verwendete Geräte widerrufen.
demo.account.scenario.sessions.title,Sitzungen und Geräte
demo.account.title,Konto-Demo
demo.admin.description,"Navigieren Sie durch den aktuellen Realm mithilfe einer Informationsarchitektur, die sich an Personen, Organisationen, Anwendungen, Anmeldedaten und Audit-Aktivitäten orientiert. Verfügbare Demos und geplante zustandslose Ziele sind klar getrennt."
demo.admin.directoryTitle,Administrationsverzeichnis
demo.admin.eyebrow,Realm-Administration
demo.admin.group.authorization.description,"Anwendungen, Projektrollen, Freigaben und ausgewerteter Zugriff."
demo.admin.group.authorization.title,Projekte und Autorisierung
demo.admin.group.machine_users.description,Nicht-menschliche Identitäten und deren lesegeschützte Anmeldedaten.
demo.admin.group.machine_users.title,Maschinenbenutzer
demo.admin.group.oidc.description,"Clients, genaue Weiterleitungseinstellungen, Einwilligung, Scopes und Signaturschlüssel."
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,Realm-Sitzungen und unveränderliche Sicherheitsaktivitäten.
demo.admin.group.operations.title,Betrieb
demo.admin.group.organizations.description,"Organisationseinstellungen, Personen, Einladungen und verifizierte Domains."
demo.admin.group.organizations.title,Organisationen
demo.admin.group.realm.description,"Realm-weite Identitäts-, Lebenszyklus- und Anmeldekonfiguration."
demo.admin.group.realm.title,Realm
demo.admin.group.users.description,"Menschliche Identitäten, Anmeldedaten, Sitzungen und geschützte Supportaktionen."
demo.admin.group.users.title,Benutzer
demo.admin.realmFixtureName,Northwind Kundenidentität
demo.admin.scenario.admin_sign_in.description,Bootstrap-Anmeldedaten gegen eine kurze Administrator-Browsersitzung eintauschen.
demo.admin.scenario.admin_sign_in.title,Administrator-Anmeldung
demo.admin.scenario.applications.description,Projektanwendungen und deren Lebenszyklus verwalten.
demo.admin.scenario.applications.title,Anwendungen
demo.admin.scenario.audit_events.description,Aktuellen testdatenbasierten Sicherheits-Event-Stream durchsuchen.
demo.admin.scenario.audit_events.title,Audit-Ereignisse
demo.admin.scenario.branding.description,"Organisationsbezogene Farben, Logos und rechtliche Links konfigurieren."
demo.admin.scenario.branding.title,Branding
demo.admin.scenario.domains.description,Domains verifizieren und Organisationserkennung steuern.
demo.admin.scenario.domains.title,Domains und Erkennung
demo.admin.scenario.effective_access.description,"Schreibgeschützte effektive Rollen, Berechtigungen und Zugriffsprüfungen einsehen."
demo.admin.scenario.effective_access.title,Effektiver Zugriff
demo.admin.scenario.impersonation.description,"Begründete, zeitlich begrenzte Support-Sitzung starten, sofern zulässig."
demo.admin.scenario.impersonation.title,Identitätsübernahme
demo.admin.scenario.invitations.description,Personen einladen und ausstehende oder abgelaufene Einladungen verfolgen.
demo.admin.scenario.invitations.title,Einladungen
demo.admin.scenario.login_policy.description,"Anmelderichtlinie festlegen und Google, GitHub oder Microsoft konfigurieren."
demo.admin.scenario.login_policy.title,Anmeldung und Identitätsanbieter
demo.admin.scenario.machine_credentials.description,"Client-Anmeldedaten, PATs und API-Schlüssel ausstellen, rotieren und widerrufen."
demo.admin.scenario.machine_credentials.title,Anmeldedaten und Token
demo.admin.scenario.machine_user_detail.description,"Scopes und Lebenszyklus prüfen, Client-Geheimnis rotieren und Anmeldedaten verwalten."
demo.admin.scenario.machine_user_detail.title,Maschinenbenutzer-Details
demo.admin.scenario.machine_users.description,Dienstidentitäten und deren Lebenszyklus erstellen und verwalten.
demo.admin.scenario.machine_users.title,Maschinenbenutzer-Verzeichnis
demo.admin.scenario.memberships.description,Feste Organisationsrollen an Mitglieder zuweisen.
demo.admin.scenario.memberships.title,Mitgliedschaften und Rollen
demo.admin.scenario.oidc_client_detail.description,Genaue Weiterleitungen und Scopes bearbeiten sowie Client-Geheimnis rotieren oder widerrufen.
demo.admin.scenario.oidc_client_detail.title,OIDC-Client-Einstellungen
demo.admin.scenario.oidc_clients.description,"Clients, Weiterleitungen, Scopes, Vertrauenseinstellungen und Einmal-Geheimnisse verwalten."
demo.admin.scenario.oidc_clients.title,OIDC-Clients
demo.admin.scenario.oidc_consents.description,Von einer Person genehmigte Anwendungen prüfen und widerrufen.
demo.admin.scenario.oidc_consents.title,Anwendungseinwilligungen
demo.admin.scenario.organization_detail.description,"Organisationseinstellungen, Lebenszyklus und aktuelle Mitgliedschaften prüfen."
demo.admin.scenario.organization_detail.title,Organisationsdetails
demo.admin.scenario.organizations.description,"Organisationen im aktuellen Realm durchsuchen, suchen und erstellen."
demo.admin.scenario.organizations.title,Organisationsverzeichnis
demo.admin.scenario.project_detail.description,Projekteinstellungen und Lebenszyklus prüfen und bearbeiten.
demo.admin.scenario.project_detail.title,Projekteinstellungen
demo.admin.scenario.projects.description,"Projekte im aktuellen Realm durchsuchen, suchen und erstellen."
demo.admin.scenario.projects.title,Projektverzeichnis
demo.admin.scenario.protocol_documents.description,Schreibgeschützte Discovery- und JWKS-Endpunkte einsehen.
demo.admin.scenario.protocol_documents.title,Protokolldokumente
demo.admin.scenario.realm_overview.description,"Realm-Identität, Domains, Lebenszyklusstatus und aktuelle Sitzung prüfen."
demo.admin.scenario.realm_overview.title,Realm-Übersicht
demo.admin.scenario.realm_settings.description,"Aktuellen Realm-Namen, Domains, Status und Lebenszyklus verwalten."
demo.admin.scenario.realm_settings.title,Allgemeine Einstellungen
demo.admin.scenario.roles_grants.description,Projektrollen und Organisationszugriffsfreigaben konfigurieren.
demo.admin.scenario.roles_grants.title,Rollen und Freigaben
demo.admin.scenario.sessions.description,Realm-Sitzungen mit Subjekt- und Gerätekontext prüfen.
demo.admin.scenario.sessions.title,Sitzungen
demo.admin.scenario.signing_keys.description,Schlüsselmetadaten prüfen und geschützte Rotation durchführen.
demo.admin.scenario.signing_keys.title,Signaturschlüssel
demo.admin.scenario.user_authentication.description,"Sichere Faktor-, Passkey- und Wiederherstellungs-Metadaten in Benutzerdetails prüfen."
demo.admin.scenario.user_authentication.title,Authentifizierungsmethoden
demo.admin.scenario.user_detail.description,"Profil, Lebenszyklus, Sitzungen und sichere Authentifizierungsmetadaten prüfen."
demo.admin.scenario.user_detail.title,Benutzerdetails
demo.admin.scenario.user_sessions.description,Aktive Browsersitzungen eines Benutzers prüfen und widerrufen.
demo.admin.scenario.user_sessions.title,Benutzersitzungen
demo.admin.scenario.users.description,Menschliche Benutzer im aktuellen Realm durchsuchen und suchen.
demo.admin.scenario.users.title,Benutzerverzeichnis
demo.directory.available,Verfügbar
demo.directory.availableDemos,verfügbare Demos
demo.directory.back,Zurück zum Verzeichnis
demo.directory.fixtureStates,Fixture-Zustände
demo.directory.openDemo,Demo öffnen
demo.directory.planned,Geplant
demo.directory.plannedDestinations,geplante Ziele
demo.directory.previewFoundation,Vorschau-Grundlage
demo.fixture.accepted,akzeptiert
demo.fixture.accountError,Die deterministischen Testdaten des Kontos konnten nicht geladen werden.
demo.fixture.active,aktiv
demo.fixture.assuranceRequired,Bestätigung erforderlich
demo.fixture.continuing,fortfahren
demo.fixture.crossTenant,mandantenübergreifend
demo.fixture.declined,abgelehnt
demo.fixture.empty,leer
demo.fixture.ended,beendet
demo.fixture.error,Fehler
demo.fixture.expired,abgelaufen
demo.fixture.expiring,läuft ab
demo.fixture.fatal,schwerwiegend
demo.fixture.loading,wird geladen
demo.fixture.nestedRejected,verschachtelt abgelehnt
demo.fixture.oneTime,einmalig
demo.fixture.passwordChangeExpired,Passwort abgelaufen
demo.fixture.permissionDenied,Keine Berechtigung
demo.fixture.preview,Zustandslose Fixture-Vorschau
demo.fixture.recoveryFatal,Wiederherstellung nicht verfügbar
demo.fixture.recoveryLoading,Wiederherstellung wird geladen
demo.fixture.redacted,geschwärzt
demo.fixture.replayed,wiederholt
demo.fixture.resetInvalid,Reset-Link ungültig
demo.fixture.resetLoading,Reset-Link wird geladen
demo.fixture.state,Fixture-Status
demo.fixture.success,erfolgreich
demo.hub.accountDescription,"Erkunden Sie Self-Service-Profil-, Organisations- und Sicherheitsziele."
demo.hub.accountOpen,Konto öffnen
demo.hub.adminDescription,Identitätsressourcen und Organisationseinstellungen verwalten.
demo.hub.adminOpen,Administration öffnen
demo.hub.description,"Erkunden Sie die Demos für Anmeldung, Konto, Administration und Transaktions-E-Mails."
demo.hub.loginDescription,Erleben Sie die Authentifizierungserfahrung für Ihre Benutzer.
demo.hub.loginOpen,Anmeldung öffnen
demo.login.description,"Erkunden Sie deterministische Anmelde-, Wiederherstellungs- und Interaktions-Fixtures. Bestehende Abläufe bleiben interaktiv, während geplante Ziele ihre zustandslosen Szenarioverträge darstellen."
demo.login.eyebrow,Gehostete Authentifizierung
demo.login.group.chooser.description,Einstiegspunkte basierend auf der erkannten Anmelderichtlinie und lokal gemerkten Konten.
demo.login.group.chooser.title,Anmeldung starten
demo.login.group.chrome.description,Ablaufübergreifende Fallbacks für jeden gehosteten Interaktionsbildschirm.
demo.login.group.chrome.title,Gemeinsame Zustände
demo.login.group.interaction.description,Interaktionsergebnisse und Abmeldung für gehostete OIDC-Anfragen.
demo.login.group.interaction.title,Interaktion und Abmeldung
demo.login.group.mfa.description,"Zweitfaktor-Herausforderungen, Authenticator-Registrierung und Wiederherstellungscodes."
demo.login.group.mfa.title,Multi-Faktor-Authentifizierung
demo.login.group.password_email.description,Passwort- und E-Mail-Code-Authentifizierung mit deterministischen lokalen Fixtures.
demo.login.group.password_email.title,Passwort und E-Mail-Code
demo.login.group.passwordless.description,"Passkeys und konfigurierte externe Identitätsanbieter."
demo.login.group.passwordless.title,Passwortlos und extern
demo.login.group.recovery.description,Passwortwiederherstellung ohne Offenlegung des Kontos anfordern und abschließen.
demo.login.group.recovery.title,Wiederherstellung
demo.login.group.registration.description,Registrierung und vom Server ausgestellte E-Mail-Bestätigung.
demo.login.group.registration.title,Registrierung und Verifizierung
demo.login.scenario.chooser.description,Erlaubte primäre Authentifizierungsmethode auswählen.
demo.login.scenario.chooser.title,Methodenauswahl
demo.login.scenario.chooser_recent_accounts.description,Mit einem auf diesem Gerät gemerkten Konto fortfahren.
demo.login.scenario.chooser_recent_accounts.title,Zuletzt verwendete Konten
demo.login.scenario.email_otp.description,Einmal-Code per E-Mail anfordern.
demo.login.scenario.email_otp.title,E-Mail-Code anfordern
demo.login.scenario.email_otp_code.description,Sechsstelligen E-Mail-Bestätigungscode eingeben.
demo.login.scenario.email_otp_code.title,E-Mail-Code bestätigen
demo.login.scenario.idp.description,Über einen konfigurierten externen Identitätsanbieter fortfahren.
demo.login.scenario.idp.title,Externe Identität
demo.login.scenario.idp_failure.description,Wiederherstellung nach einem Startfehler des externen Anbieters.
demo.login.scenario.idp_failure.title,Anbieterfehler
demo.login.scenario.loading.description,Fortschritt anzeigen während die Realm-Erkennung aufgelöst wird.
demo.login.scenario.loading.title,Wird geladen
demo.login.scenario.logout.description,Abmeldung für die aktuelle Browsersitzung bestätigen.
demo.login.scenario.logout.title,Abmeldung
demo.login.scenario.logout_done.description,Vollständige Abmeldung und validierten Rückkehrpfad bestätigen.
demo.login.scenario.logout_done.title,Abgemeldet
demo.login.scenario.mfa.description,Verfügbaren zweiten Faktor auswählen.
demo.login.scenario.mfa.title,Faktor wählen
demo.login.scenario.mfa_email_otp.description,E-Mail als zweiten Faktor bestätigen.
demo.login.scenario.mfa_email_otp.title,E-Mail-Code
demo.login.scenario.mfa_passkey.description,Passkey als zweiten Faktor bestätigen.
demo.login.scenario.mfa_passkey.title,Passkey-Faktor
demo.login.scenario.mfa_recovery_code.description,"Einzelnen Wiederherstellungscode verwenden, wenn andere Faktoren nicht verfügbar sind."
demo.login.scenario.mfa_recovery_code.title,Wiederherstellungscode
demo.login.scenario.mfa_totp.description,Zeitbasierten Authenticator-Code bestätigen.
demo.login.scenario.mfa_totp.title,Authenticator-Code
demo.login.scenario.mfa_totp_enroll.description,Neuen Authenticator verbinden und bestätigen.
demo.login.scenario.mfa_totp_enroll.title,Authenticator einrichten
demo.login.scenario.passkey.description,Mit einem gerätegebundenen Passkey authentifizieren.
demo.login.scenario.passkey.title,Passkey
demo.login.scenario.passkey_unsupported.description,Inkompatibilität von Browser oder Gerät erklären.
demo.login.scenario.passkey_unsupported.title,Passkey nicht verfügbar
demo.login.scenario.password.description,Mit E-Mail-Adresse oder Benutzername und Passwort anmelden.
demo.login.scenario.password.title,Passwort
demo.login.scenario.password_change_required.description,Vor dem Fortfahren ein neues Passwort festlegen.
demo.login.scenario.password_change_required.title,Passwortänderung erforderlich
demo.login.scenario.password_error.description,Sichere Antwort für ungültige Anmeldedaten anzeigen.
demo.login.scenario.password_error.title,Ungültige Anmeldedaten
demo.login.scenario.password_forgot.description,Anweisungen zur Passwortwiederherstellung anfordern.
demo.login.scenario.password_forgot.title,Wiederherstellung anfordern
demo.login.scenario.password_forgot_sent.description,Nicht offenlegende E-Mail-Bestätigung anzeigen.
demo.login.scenario.password_forgot_sent.title,Wiederherstellung angefordert
demo.login.scenario.password_reset.description,Neues Passwort über einen Wiederherstellungslink wählen.
demo.login.scenario.password_reset.title,Passwort zurücksetzen
demo.login.scenario.password_reset_complete.description,Nach erfolgreichem Zurücksetzen zur Anmeldung zurückkehren.
demo.login.scenario.password_reset_complete.title,Zurücksetzung abgeschlossen
demo.login.scenario.register.description,Menschliches Konto gemäß aktiver Anmelderichtlinie erstellen.
demo.login.scenario.register.title,Registrierung
demo.login.scenario.register_done.description,Nicht offenlegenden Bestätigungshinweis anzeigen.
demo.login.scenario.register_done.title,Bestätigung gesendet
demo.login.scenario.signed_in.description,Bestätigung der wiederaufgenommenen Interaktion anzeigen.
demo.login.scenario.signed_in.title,Interaktion abgeschlossen
demo.login.scenario.unsupported.description,Nicht unterstützte oder abgelaufene Interaktion erklären.
demo.login.scenario.unsupported.title,Nicht verfügbare Anfrage
demo.login.scenario.verify_email.description,Adresse über einen vom Server ausgestellten Link bestätigen.
demo.login.scenario.verify_email.title,E-Mail-Verifizierung
demo.login.title,Anmelde-Demo
demo.nav.account,Konto
demo.nav.admin,Administration
demo.nav.compact,Kompakt
demo.nav.emails,E-Mails
demo.nav.hub,Übersicht
demo.nav.label,Demo
demo.nav.login,Anmeldung
demo.placeholder.emptyDescription,Dieses Ziel ist für einen beabsichtigten leeren Zustand vorbereitet.
demo.placeholder.emptyTitle,Keine Fixture-Datensätze
demo.placeholder.errorDescription,Ein deterministischer Fehler kann hier ohne Netzwerkanfrage dargestellt werden.
demo.placeholder.errorTitle,Fixture-Fehler
demo.placeholder.loading,Fixture wird geladen
demo.placeholder.notFoundDescription,Wählen Sie ein unterstütztes Ziel aus dem Verzeichnis.
demo.placeholder.notFoundTitle,Demo-Ziel nicht gefunden
demo.placeholder.readyDescription,"Die Route, unterstützte Zustände und die Demo-Adaptergrenze sind definiert. Die Funktionsseite ist in diesem Schritt absichtlich nicht implementiert."
demo.placeholder.readyTitle,Fixture-Vertrag bereit
email.directory.description,Deterministische HTML- und Textausgaben für alle Transaktions-E-Mail-Vorlagen prüfen.
email.directory.eyebrow,Transaktionsnachrichten
email.directory.open,Vorschau öffnen
email.directory.title,E-Mail-Vorschauen
email.hub.description,Isolierte HTML- und Nur-Text-Fixtures für Transaktions-E-Mails prüfen.
email.hub.open,E-Mail-Vorschau öffnen
email.preview.back,Alle E-Mail-Vorschauen
email.preview.html,HTML-Vorschau
email.preview.impersonationEnded,Identitätsübernahme beendet
email.preview.impersonationStarted,Identitätsübernahme gestartet
email.preview.invitation,Einladung zur Organisation
email.preview.isolated,In einem isolierten Frame gerendert; Netzwerkzugriff ist deaktiviert.
email.preview.notFound,E-Mail-Vorschau nicht gefunden
email.preview.otp,Einmalpasswort
email.preview.recipient,Testempfänger
email.preview.recovery,Passwort-Wiederherstellung
email.preview.securityFailed,Anmeldebestätigung fehlgeschlagen
email.preview.securityRequested,Anmeldebestätigung angefordert
email.preview.securityVerified,Anmeldebestätigung abgeschlossen
email.preview.subject,Betreff
email.preview.text,Textalternative
email.preview.verification,E-Mail-Verifizierung
login.chooser.accountOrMethodTitle,Konto oder Methode auswählen
login.chooser.description,"Wählen Sie aus, wie Sie sich bei {organization} anmelden möchten."
login.chooser.emailOtpDetail,Erhalten Sie einen Einmalcode per E-Mail
login.chooser.emailOtpLabel,E-Mail-Code
login.chooser.lastUsed,Zuletzt verwendet
login.chooser.methodTitle,Methode auswählen
login.chooser.orChooseMethod,Oder eine Methode auswählen
login.chooser.passkeyDetail,Verwenden Sie die Bildschirmsperre Ihres Geräts oder einen Sicherheitsschlüssel
login.chooser.passkeyLabel,Passkey
login.chooser.passwordDetail,Verwenden Sie das Passwort Ihres Kontos
login.chooser.passwordLabel,Passwort
login.chooser.providerDetail,Mit Ihrem bestehenden {provider}-Konto anmelden
login.chooser.providerLabel,Mit {provider} fortfahren
login.chooser.register,Konto erstellen
login.chooser.title,Anmelden
login.chooser.useRecent,Zuletzt verwendetes Konto verwenden
login.chooser.whatsappOtpDetail,Einen Einmalcode über WhatsApp erhalten
login.chooser.whatsappOtpLabel,WhatsApp-Code
login.common.back,Zurück zu den Anmeldeoptionen
login.common.legal,"Wenn Sie fortfahren, bestätigen Sie die {terms} und die {privacy}."
login.common.privacy,Datenschutzerklärung
login.common.terms,Nutzungsbedingungen
login.common.working,Wird verarbeitet…
login.emailOtp.back,Zurück zu den Methoden
login.emailOtp.changeEmail,E-Mail ändern
login.emailOtp.codeDescription,"Geben Sie den sechsstelligen Code ein, den wir an {email} gesendet haben."
login.emailOtp.codeHelp,6 Ziffern eingeben.
login.emailOtp.codeTitle,Geben Sie Ihren E-Mail-Code ein
login.emailOtp.description,"Wir senden Ihnen einen Einmalcode per E-Mail, anstatt nach einem Passwort zu fragen."
login.emailOtp.remember,Diese E-Mail-Adresse merken
login.emailOtp.resend,Neuen Code senden
login.emailOtp.resendCountdown,Ein neuer Code kann in {seconds} Sekunden gesendet werden.
login.emailOtp.resent,Ein neuer Code wurde gesendet.
login.emailOtp.send,Code senden
login.emailOtp.sending,Wird gesendet...
login.emailOtp.title,Mit einem E-Mail-Code anmelden
login.emailOtp.verify,Code bestätigen
login.emailOtp.verifying,Wird überprüft...
login.error.codeRequired,Geben Sie den sechsstelligen Bestätigungscode ein.
login.error.credentialsInvalid,Benutzername oder Passwort ist falsch.
login.error.credentialsRequired,Geben Sie Ihren Benutzernamen und Ihr Passwort ein.
login.error.emailRecoveryRequired,Geben Sie die E-Mail-Adresse Ihres Kontos ein.
login.error.emailRequired,Geben Sie eine gültige E-Mail-Adresse ein.
login.error.enrollmentMissing,"Starten Sie die Einrichtung der Authenticator-App, bevor Sie einen Code bestätigen."
login.error.identifierRequired,Geben Sie Ihren Benutzernamen oder Ihre E-Mail-Adresse ein.
login.error.nameRequired,"Geben Sie den Namen ein, der in Ihrem Konto angezeigt werden soll."
login.error.newPasswordRequired,Geben Sie ein neues Passwort ein.
login.error.passwordMismatch,Die Passwörter stimmen nicht überein.
login.error.passwordRequired,Geben Sie Ihr Passwort ein.
login.error.passwordTooShort,Das Passwort muss mindestens 8 Zeichen enthalten.
login.error.recoveryCodeRequired,Geben Sie einen Ihrer gespeicherten Wiederherstellungscodes ein.
login.error.tokenMissing,"Öffnen Sie den vollständigen Link aus Ihrer E-Mail, um fortzufahren."
login.logout.description,Sie können diese Sitzung auf diesem Gerät beenden.
login.logout.doneDescription,Sie wurden von {organization} abgemeldet.
login.logout.doneTitle,Abgemeldet
login.logout.submit,Abmelden
login.logout.title,Von {organization} abmelden
login.mfa.backToChoices,Zurück zu den Optionen für die Bestätigung in zwei Schritten
login.mfa.backToMethods,Zurück zu den Methoden
login.mfa.continue,Anmeldung fortsetzen
login.mfa.description,"Wählen Sie aus, wie Sie bestätigen möchten, dass Sie es sind."
login.mfa.emailOtp,E-Mail-Code
login.mfa.emailOtpCodeTitle,E-Mail-Bestätigungscode
login.mfa.emailOtpDescription,"Geben Sie den sechsstelligen Code ein, den wir an Ihre E-Mail-Adresse gesendet haben."
login.mfa.emailOtpDetail,Erhalten Sie einen einmaligen Bestätigungscode per E-Mail.
login.mfa.emailOtpEnroll,E-Mail-Codes einrichten
login.mfa.emailOtpEnrollDescription,Bestätigungscodes werden an die E-Mail-Adresse Ihres Kontos gesendet.
login.mfa.emailOtpEnrollNotice,"Richten Sie E-Mail-Codes ein, um die E-Mail-Adresse Ihres Kontos als zweiten Faktor zu verwenden."
login.mfa.emailOtpEnrollSent,E-Mail-Codes sind eingerichtet. Geben Sie den an Ihre E-Mail-Adresse gesendeten Code ein.
login.mfa.emailOtpEnrollTitle,E-Mail-Codes einrichten
login.mfa.emailOtpResent,Ein neuer Bestätigungscode wurde an Ihre E-Mail-Adresse gesendet.
login.mfa.emailOtpSend,Code senden
login.mfa.emailOtpSendDescription,Einen sechsstelligen Bestätigungscode an die E-Mail-Adresse Ihres Kontos senden.
login.mfa.emailOtpSent,Ein Bestätigungscode wurde an Ihre E-Mail-Adresse gesendet.
login.mfa.emailOtpUnavailableDescription,Die Bestätigung per E-Mail als zweiter Faktor ist in diesem Anmeldevorgang nicht verfügbar.
login.mfa.emailOtpUnavailableNotice,Der E-Mail-MFA-Transport ist für diese Authworks-Anmeldeanfrage nicht eingerichtet.
login.mfa.emailOtpUnavailableTitle,E-Mail-Code nicht verfügbar
login.mfa.enrollDescription,Wählen Sie eine Methode zur Einrichtung der Bestätigung in zwei Schritten für Ihr Konto.
login.mfa.enrollTitle,Bestätigung in zwei Schritten einrichten
login.mfa.enterRecoveryCode,Geben Sie einen gespeicherten Wiederherstellungscode ein.
login.mfa.enterSixDigits,6 Ziffern eingeben.
login.mfa.factorUnavailable,Dieser Faktor ist im aktuellen Anmeldevertrag nicht verfügbar.
login.mfa.loadingOptions,Optionen für die Bestätigung in zwei Schritten werden geladen...
login.mfa.loadingOptionsDescription,Die verfügbaren Optionen für den zweiten Faktor werden abgerufen.
login.mfa.optionalDescription,Richten Sie zur zusätzlichen Sicherheit die Bestätigung in zwei Schritten ein oder überspringen Sie sie vorerst.
login.mfa.optionalTitle,Optionale Bestätigung in zwei Schritten
login.mfa.optionsUnavailableDescription,Die verfügbaren Optionen für den zweiten Faktor konnten nicht geladen werden.
login.mfa.optionsUnavailableTitle,Bestätigung in zwei Schritten nicht verfügbar
login.mfa.passkey,Passkey
login.mfa.passkeyDescription,"Bestätigen Sie mit einem Passkey, der Bildschirmsperre Ihres Geräts oder biometrischen Daten."
login.mfa.passkeyDetail,Mit einem Passkey oder biometrischen Daten des Geräts bestätigen.
login.mfa.passkeyEnrollmentUnavailableDescription,Die Passkey-Einrichtung wird vom gehosteten Anmeldevertrag nicht bereitgestellt.
login.mfa.passkeyEnrollmentUnavailableNotice,Schließen Sie die Passkey-Einrichtung in einer authentifizierten Kontosicherheitsseite ab und kehren Sie dann zur Anmeldung zurück.
login.mfa.passkeyEnrollmentUnavailableTitle,Passkey-Einrichtung nicht verfügbar
login.mfa.passkeyUnavailableDescription,Die Bestätigung mit einem Passkey als zweitem Faktor ist in diesem Anmeldevorgang nicht verfügbar.
login.mfa.passkeyUnavailableNotice,Der Passkey-MFA-Transport ist für diese Authworks-Anmeldeanfrage nicht eingerichtet.
login.mfa.passkeyUnavailableTitle,Passkey nicht verfügbar
login.mfa.passkeyVerify,Mit Passkey bestätigen
login.mfa.recoveryCode,Wiederherstellungscode
login.mfa.recoveryCodeDescription,"Verwenden Sie einen der Einmalcodes, die Sie bei der Einrichtung der Bestätigung gespeichert haben."
login.mfa.recoveryCodeDetail,Verwenden Sie einen Ihrer gespeicherten einmaligen Wiederherstellungscodes.
login.mfa.recoveryCodeLabel,Wiederherstellungscode
login.mfa.resend,Code erneut senden
login.mfa.resendIn,Erneut senden in {seconds} Sekunden
login.mfa.retryOptions,Laden der Optionen wiederholen
login.mfa.satisfiedDescription,Ihre Anmeldung erfüllt bereits die Richtlinie für die Bestätigung in zwei Schritten.
login.mfa.satisfiedTitle,Bestätigung in zwei Schritten erfüllt
login.mfa.setupFactor,{factor} einrichten
login.mfa.skip,Vorerst überspringen
login.mfa.skipping,Wird übersprungen...
login.mfa.title,Bestätigung in zwei Schritten
login.mfa.totp,Authenticator-App
login.mfa.totpChallengeTitle,Authenticator-Code
login.mfa.totpDescription,Geben Sie den sechsstelligen Code aus Ihrer Authenticator-App ein.
login.mfa.totpDetail,Verwenden Sie einen Code aus Ihrer Authenticator-App.
login.mfa.unavailable,Nicht verfügbar
login.mfa.verificationCode,Bestätigungscode
login.mfa.verify,Bestätigen
login.passkey.canceled,Die Passkey-Anmeldung wurde abgebrochen oder ist wegen einer Zeitüberschreitung beendet worden. Versuchen Sie es erneut.
login.passkey.ceremonyFailure,Die Passkey-Anmeldung konnte nicht abgeschlossen werden. Versuchen Sie es erneut.
login.passkey.description,"Bestätigen Sie dies mit der Bildschirmsperre Ihres Geräts, Ihrem Fingerabdruck oder einem Sicherheitsschlüssel."
login.passkey.permissionDenied,Der Zugriff auf den Passkey wurde verweigert. Erlauben Sie den Passkey-Zugriff für diese Website und versuchen Sie es erneut.
login.passkey.submit,Mit Passkey fortfahren
login.passkey.title,Mit einem Passkey anmelden
login.passkey.unsupported,Dieser Browser oder dieses Gerät kann keine Passkeys verwenden. Wählen Sie eine andere Anmeldemethode.
login.passkey.unsupportedTitle,Passkey nicht unterstützt
login.password.back,Zurück zu den Methoden
login.password.changeDescription,"Wählen Sie ein neues Passwort, bevor Sie fortfahren."
login.password.changeRequiredDescription,"Ihr Passwort muss geändert werden, bevor Sie fortfahren."
login.password.changeRequiredTitle,Passwort ändern
login.password.changeSubmit,Passwort ändern
login.password.changeTitle,Passwort aktualisieren
login.password.confirm,Passwort bestätigen
login.password.current,Aktuelles Passwort
login.password.currentRequired,Geben Sie Ihr aktuelles Passwort ein.
login.password.description,Geben Sie die Zugangsdaten für Ihr {organization}-Konto ein.
login.password.expiredDescription,"Ihr Passwort ist abgelaufen. Legen Sie ein neues Passwort fest, um fortzufahren."
login.password.forgot,Passwort vergessen?
login.password.hide,Passwort ausblenden
login.password.identifier,Benutzername oder E-Mail-Adresse
login.password.label,Passwort
login.password.new,Neues Passwort
login.password.passwordRequired,Geben Sie Ihr Passwort ein.
login.password.rememberIdentifier,Diesen Bezeichner merken
login.password.saving,Wird gespeichert...
login.password.show,Passwort anzeigen
login.password.signInTitle,Mit Passwort anmelden
login.password.signingIn,Anmeldung läuft...
login.password.submit,Anmelden
login.password.title,Geben Sie Ihr Passwort ein
login.provider.accountNotFoundDescription,Mit diesem {provider}-Konto ist kein Authworks-Konto verknüpft. Kontoverknüpfung und selbstständige Registrierung sind noch nicht aktiviert.
login.provider.accountNotFoundTitle,Kein verknüpftes Konto
login.provider.description,Sie werden bei {provider} fortfahren und kehren anschließend hierher zurück.
login.provider.failureDescription,Die Anmeldung mit {provider} wurde nicht abgeschlossen. Bitte versuchen Sie es erneut.
login.provider.linkingFailedDescription,Das Verknüpfen des Kontos konnte nicht abgeschlossen werden. Verwenden Sie eine andere Anmeldemethode.
login.provider.linkingFailedTitle,Konto konnte nicht verknüpft werden
login.provider.submit,Mit {provider} fortfahren
login.provider.title,Mit {provider} fortfahren
login.recent.description,"Mit einem Konto fortfahren, das Sie auf diesem Gerät verwendet haben."
login.recent.heading,Zuletzt verwendete Konten
login.recent.other,Anderes Konto verwenden
login.recent.title,Konto auswählen
login.recent.useAnother,Andere Methode oder anderes Konto verwenden
login.recovery.back,Zurück zur Anmeldung
login.recovery.checkingLink,Reset-Link wird geprüft...
login.recovery.choosePasswordTitle,Neues Passwort wählen
login.recovery.completeDescription,Mit Ihrem neuen Passwort anmelden
