key,it
demo.fixture.error,errore
demo.fixture.expired,scaduto
demo.fixture.expiring,in scadenza
demo.fixture.fatal,errore critico
demo.fixture.loading,caricamento
demo.fixture.nestedRejected,rifiutato annidato
demo.fixture.oneTime,monouso
demo.fixture.passwordChangeExpired,password scaduta
demo.fixture.permissionDenied,permesso negato
demo.fixture.preview,Anteprima fixture senza stato
demo.fixture.recoveryFatal,recupero non disponibile
demo.fixture.recoveryLoading,recupero in corso
demo.fixture.redacted,oscurato
demo.fixture.replayed,riprodotto
demo.fixture.resetInvalid,link di reimpostazione non valido
demo.fixture.resetLoading,caricamento del link di reimpostazione
demo.fixture.state,Stato fixture
demo.fixture.success,riuscito
demo.hub.accountDescription,"Esplora le destinazioni self-service per profilo, organizzazione e sicurezza."
demo.hub.accountOpen,Apri account
demo.hub.adminDescription,Gestisci le risorse di identità e le impostazioni dell'organizzazione.
demo.hub.adminOpen,Apri amministrazione
demo.hub.description,"Esplora le demo di accesso, account, amministrazione ed e-mail transazionali."
demo.hub.loginDescription,Scopri l'esperienza di autenticazione per i tuoi utenti.
demo.hub.loginOpen,Apri accesso
demo.login.description,"Esplora fixture deterministiche di accesso, recupero e interazione. I flussi esistenti rimangono interattivi mentre le destinazioni pianificate espongono i loro contratti di scenario senza stato."
demo.login.eyebrow,Autenticazione ospitata
demo.login.group.chooser.description,Punti di ingresso derivati dai criteri di accesso rilevati e dagli account memorizzati localmente.
demo.login.group.chooser.title,Avvia accesso
demo.login.group.chrome.description,Soluzioni alternative tra flussi utilizzate da ogni schermata di interazione ospitata.
demo.login.group.chrome.title,Stati condivisi
demo.login.group.interaction.description,Risultati di interazione e disconnessione per richieste OIDC ospitate.
demo.login.group.interaction.title,Interazione e disconnessione
demo.login.group.mfa.description,"Sfide di secondo fattore, registrazione autenticatore e codici di recupero."
demo.login.group.mfa.title,Autenticazione a più fattori
demo.login.group.password_email.description,Autenticazione con password e codice e-mail con fixture locali deterministiche.
demo.login.group.password_email.title,Password e codice e-mail
demo.login.group.passwordless.description,"Passkey e provider di identità esterni configurati."
demo.login.group.passwordless.title,Senza password ed esterno
demo.login.group.recovery.description,Richiedi e completa il recupero della password senza divulgare l'account.
demo.login.group.recovery.title,Recupero
demo.login.group.registration.description,Registrazione e conferma e-mail emessa dal server.
demo.login.group.registration.title,Registrazione e verifica
demo.login.scenario.chooser.description,Scegli un metodo di autenticazione primario consentito.
demo.login.scenario.chooser.title,Scelta metodo
demo.login.scenario.chooser_recent_accounts.description,Continua con un account memorizzato su questo dispositivo.
demo.login.scenario.chooser_recent_accounts.title,Account recenti
demo.login.scenario.email_otp.description,Richiedi un codice monouso inviato via e-mail.
demo.login.scenario.email_otp.title,Richiedi codice e-mail
demo.login.scenario.email_otp_code.description,Inserisci il codice di verifica e-mail a sei cifre.
demo.login.scenario.email_otp_code.title,Verifica codice e-mail
demo.login.scenario.idp.description,Continua tramite un provider di identità esterno configurato.
demo.login.scenario.idp.title,Identità esterna
demo.login.scenario.idp_failure.description,Ripristina da un errore di avvio del provider esterno.
demo.login.scenario.idp_failure.title,Errore del provider
demo.login.scenario.loading.description,Mostra lo stato di avanzamento durante la risoluzione del realm.
demo.login.scenario.loading.title,Caricamento
demo.login.scenario.logout.description,Conferma la disconnessione per la sessione browser corrente.
demo.login.scenario.logout.title,Disconnessione
demo.login.scenario.logout_done.description,Conferma una disconnessione completata e un percorso di ritorno convalidato.
demo.login.scenario.logout_done.title,Disconnesso
demo.login.scenario.mfa.description,Scegli un secondo fattore disponibile.
demo.login.scenario.mfa.title,Scegli un fattore
demo.login.scenario.mfa_email_otp.description,Verifica un secondo fattore tramite e-mail.
demo.login.scenario.mfa_email_otp.title,Codice e-mail
demo.login.scenario.mfa_passkey.description,Verifica una passkey come secondo fattore.
demo.login.scenario.mfa_passkey.title,Fattore passkey
demo.login.scenario.mfa_recovery_code.description,Usa un singolo codice di recupero quando gli altri fattori non sono disponibili.
demo.login.scenario.mfa_recovery_code.title,Codice di recupero
demo.login.scenario.mfa_totp.description,Verifica un codice autenticatore basato sul tempo.
demo.login.scenario.mfa_totp.title,Codice autenticatore
demo.login.scenario.mfa_totp_enroll.description,Collega e conferma un nuovo autenticatore.
demo.login.scenario.mfa_totp_enroll.title,Registra autenticatore
demo.login.scenario.passkey.description,Autenticati con una passkey vincolata al dispositivo.
demo.login.scenario.passkey.title,Passkey
demo.login.scenario.passkey_unsupported.description,Spiega l'incompatibilità del browser o del dispositivo.
demo.login.scenario.passkey_unsupported.title,Passkey non disponibile
demo.login.scenario.password.description,Accedi con un indirizzo e-mail o nome utente e password.
demo.login.scenario.password.title,Password
demo.login.scenario.password_change_required.description,Imposta una nuova password prima di continuare.
demo.login.scenario.password_change_required.title,Modifica password richiesta
demo.login.scenario.password_error.description,Mostra una risposta sicura per credenziali non valide.
demo.login.scenario.password_error.title,Credenziali non valide
demo.login.scenario.password_forgot.description,Richiedi istruzioni per il recupero della password.
demo.login.scenario.password_forgot.title,Richiedi recupero
demo.login.scenario.password_forgot_sent.description,Mostra la conferma e-mail non divulgativa.
demo.login.scenario.password_forgot_sent.title,Recupero richiesto
demo.login.scenario.password_reset.description,Scegli una nuova password da un link di recupero.
demo.login.scenario.password_reset.title,Reimposta password
demo.login.scenario.password_reset_complete.description,Torna all'accesso dopo un ripristino riuscito.
demo.login.scenario.password_reset_complete.title,Reimpostazione completata
demo.login.scenario.register.description,Crea un account umano secondo i criteri di accesso attivi.
demo.login.scenario.register.title,Registrazione
demo.login.scenario.register_done.description,Mostra l'avviso di verifica non divulgativo.
demo.login.scenario.register_done.title,Conferma inviata
demo.login.scenario.signed_in.description,Mostra la conferma di interazione ripresa.
demo.login.scenario.signed_in.title,Interazione completata
demo.login.scenario.unsupported.description,Spiega un'interazione non supportata o scaduta.
demo.login.scenario.unsupported.title,Richiesta non disponibile
demo.login.scenario.verify_email.description,Conferma un indirizzo da un link emesso dal server.
demo.login.scenario.verify_email.title,Verifica e-mail
demo.login.title,Demo di accesso
demo.nav.account,Account
demo.nav.admin,Amministrazione
demo.nav.compact,Compatto
demo.nav.emails,E-mail
demo.nav.hub,Home
demo.nav.label,Demo
demo.nav.login,Accedi
demo.placeholder.emptyDescription,Questa destinazione è pronta per uno stato vuoto intenzionale.
demo.placeholder.emptyTitle,Nessun record fixture
demo.placeholder.errorDescription,È possibile presentare qui un errore deterministico senza una richiesta di rete.
demo.placeholder.errorTitle,Errore fixture
demo.placeholder.loading,Caricamento fixture
demo.placeholder.notFoundDescription,Scegli una destinazione supportata dalla directory.
demo.placeholder.notFoundTitle,Destinazione demo non trovata
demo.placeholder.readyDescription,"La route, gli stati supportati e i limiti dell'adattatore demo sono definiti. La pagina della funzionalità non è intenzionalmente implementata in questo incremento."
demo.placeholder.readyTitle,Contratto fixture pronto
email.directory.description,Esamina l’output deterministico HTML e di testo per ogni modello di e-mail transazionale.
email.directory.eyebrow,Messaggi transazionali
email.directory.open,Apri anteprima
email.directory.title,Anteprime e-mail
email.hub.description,Controlla le fixture isolate di messaggi transazionali in HTML e testo normale.
email.hub.open,Apri anteprime e-mail
email.preview.back,Tutte le anteprime delle e-mail
email.preview.html,Anteprima HTML
email.preview.impersonationEnded,Impersonificazione terminata
email.preview.impersonationStarted,Impersonificazione avviata
email.preview.invitation,Invito all’organizzazione
email.preview.isolated,Visualizzato in un frame isolato; l’accesso alla rete è disabilitato.
email.preview.notFound,Anteprima e-mail non trovata
email.preview.otp,Password monouso
email.preview.recipient,Destinatario di prova
email.preview.recovery,Recupero della password
email.preview.securityFailed,Verifica dell’accesso non riuscita
email.preview.securityRequested,Verifica dell’accesso richiesta
email.preview.securityVerified,Verifica dell’accesso completata
email.preview.subject,Oggetto
email.preview.text,Alternativa testuale
email.preview.verification,Verifica dell’e-mail
login.chooser.accountOrMethodTitle,Scegli un account o un metodo
login.chooser.description,Scelga cómo accedere en {organization}.
login.chooser.emailOtpDetail,Reciba un codice de un solo uso por e-mail electrónico
login.chooser.emailOtpLabel,Codice por e-mail
login.chooser.lastUsed,Usato di recente
login.chooser.methodTitle,Scegli un metodo
login.chooser.orChooseMethod,Oppure scegli un metodo
login.chooser.passkeyDetail,Use el bloqueo de pantalla de il suo dispositivo o una llave de seguridad
login.chooser.passkeyLabel,Clave de acceso
login.chooser.passwordDetail,Use la contraseña de il suo account
login.chooser.passwordLabel,Password
login.chooser.providerDetail,Usa il tuo account {provider} esistente per accedere
login.chooser.providerLabel,Continuar con {provider}
login.chooser.register,Crea una account
login.chooser.title,Accedi
login.chooser.useRecent,Usar una account reciente
login.chooser.whatsappOtpDetail,Ricevi un codice monouso su WhatsApp
login.chooser.whatsappOtpLabel,Codice WhatsApp
login.common.back,Volver a las opciones de inicio de sesión
login.common.legal,"Al continuar, reconoce los {terms} y la {privacy}."
login.common.privacy,Política de privacidad
login.common.terms,Términos del servicio
login.common.working,Procesando…
login.emailOtp.back,Torna ai metodi
login.emailOtp.changeEmail,Cambia email
login.emailOtp.codeDescription,Inserisca el codice de seis dígitos que enviamos a {email}.
login.emailOtp.codeHelp,Inserisci 6 cifre.
login.emailOtp.codeTitle,Inserisca il suo codice de e-mail
login.emailOtp.description,Le enviaremos un codice de un solo uso por e-mail en lugar de pedirle una contraseña.
login.emailOtp.remember,Ricorda questa email
login.emailOtp.resend,Enviar un codice nuevo
login.emailOtp.resendCountdown,Puoi inviare un altro codice tra {seconds} secondi.
login.emailOtp.resent,È stato inviato un nuovo codice.
login.emailOtp.send,Enviar codice
login.emailOtp.sending,Invio in corso...
login.emailOtp.title,Accedi con un codice de e-mail
login.emailOtp.verify,Verificar codice
login.emailOtp.verifying,Verifica in corso...
login.error.codeRequired,Inserisca el codice de verifica de seis dígitos.
login.error.credentialsInvalid,Nome utente o password non corretti.
login.error.credentialsRequired,Inserisca il suo nombre de usuario y contraseña.
login.error.emailRecoveryRequired,Inserisci l'indirizzo email del tuo account.
login.error.emailRequired,Inserisca una indirizzo de e-mail válida.
login.error.enrollmentMissing,Inicie la configuración de la aplicación de autenticación antes de confirmar un codice.
login.error.identifierRequired,Inserisci il nome utente o l'indirizzo email.
login.error.nameRequired,Inserisca el nombre que se mostrará en il suo account.
login.error.newPasswordRequired,Inserisci una nuova password.
login.error.passwordMismatch,Las contraseñas no coinciden.
login.error.passwordRequired,Inserisci la password.
login.error.passwordTooShort,La contraseña debe contener al menos 8 caracteres.
login.error.recoveryCodeRequired,Inserisca uno de sus codices de recuperación guardados.
login.error.tokenMissing,Abra el enlace completo de il suo e-mail para continuar.
login.logout.description,Puede finalizar esta sesión en este dispositivo.
login.logout.doneDescription,Ha cerrado sesión en {organization}.
login.logout.doneTitle,Sesión cerrada
login.logout.submit,Disconnetti
login.logout.title,Disconnetti en {organization}
login.mfa.backToChoices,Torna alle opzioni di verifica in due passaggi
login.mfa.backToMethods,Torna ai metodi
login.mfa.continue,Continua l'accesso
login.mfa.description,Scelga cómo confirmar que es usted.
login.mfa.emailOtp,Codice por e-mail
login.mfa.emailOtpCodeTitle,Codice di verifica via email
login.mfa.emailOtpDescription,Inserisca el codice de seis dígitos que enviamos a il suo indirizzo de e-mail.
login.mfa.emailOtpDetail,Ricevi un codice di verifica monouso via email.
login.mfa.emailOtpEnroll,Configura i codici email
login.mfa.emailOtpEnrollDescription,I codici di verifica verranno inviati all'indirizzo email del tuo account.
login.mfa.emailOtpEnrollNotice,Configura i codici email per usare l'indirizzo del tuo account come secondo fattore.
login.mfa.emailOtpEnrollSent,I codici email sono configurati. Inserisci il codice inviato al tuo indirizzo.
login.mfa.emailOtpEnrollTitle,Configura i codici email
login.mfa.emailOtpResent,È stato inviato un nuovo codice di verifica al tuo indirizzo email.
login.mfa.emailOtpSend,Invia codice
login.mfa.emailOtpSendDescription,Invia un codice di verifica di sei cifre all'indirizzo email del tuo account.
login.mfa.emailOtpSent,È stato inviato un codice di verifica al tuo indirizzo email.
login.mfa.emailOtpUnavailableDescription,La verifica email come secondo fattore non è disponibile in questo flusso di accesso.
login.mfa.emailOtpUnavailableNotice,Il trasporto MFA via email non è configurato per questa richiesta Authworks.
login.mfa.emailOtpUnavailableTitle,Codice email non disponibile
login.mfa.enrollDescription,Seleziona un metodo per configurare la verifica in due passaggi del tuo account.
login.mfa.enrollTitle,Configura la verifica in due passaggi
login.mfa.enterRecoveryCode,Inserisci un codice di recupero salvato.
login.mfa.enterSixDigits,Inserisci 6 cifre.
login.mfa.factorUnavailable,Questo fattore non è disponibile nel contratto di accesso corrente.
login.mfa.loadingOptions,Caricamento delle opzioni di verifica in due passaggi...
login.mfa.loadingOptionsDescription,Recupero delle opzioni disponibili per il secondo fattore.
login.mfa.optionalDescription,Configura la verifica in due passaggi per maggiore sicurezza o saltala per ora.
login.mfa.optionalTitle,Verifica in due passaggi facoltativa
login.mfa.optionsUnavailableDescription,Non è stato possibile caricare le opzioni disponibili per il secondo fattore.
login.mfa.optionsUnavailableTitle,Verifica in due passaggi non disponibile
login.mfa.passkey,Clave de acceso
login.mfa.passkeyDescription,"Conferma con una passkey, il blocco schermo del dispositivo o la biometria."
login.mfa.passkeyDetail,Verifica con una passkey o la biometria del dispositivo.
login.mfa.passkeyEnrollmentUnavailableDescription,Il contratto di accesso ospitato non espone la registrazione delle passkey.
login.mfa.passkeyEnrollmentUnavailableNotice,"Completa la configurazione della passkey da una pagina di sicurezza autenticata, poi torna all'accesso."
login.mfa.passkeyEnrollmentUnavailableTitle,Configurazione passkey non disponibile
login.mfa.passkeyUnavailableDescription,La verifica passkey come secondo fattore non è disponibile in questo flusso di accesso.
login.mfa.passkeyUnavailableNotice,Il trasporto MFA passkey non è configurato per questa richiesta Authworks.
login.mfa.passkeyUnavailableTitle,Passkey non disponibile
login.mfa.passkeyVerify,Verifica con passkey
login.mfa.recoveryCode,Codice de recuperación
login.mfa.recoveryCodeDescription,Use uno de los codices de un solo uso que guardó al configurar la verifica.
login.mfa.recoveryCodeDetail,Usa uno dei codici di recupero monouso salvati.
login.mfa.recoveryCodeLabel,Codice de recuperación
login.mfa.resend,Invia di nuovo il codice
login.mfa.resendIn,Invia di nuovo tra {seconds} secondi
login.mfa.retryOptions,Riprova a caricare le opzioni
login.mfa.satisfiedDescription,Il tuo accesso soddisfa già i requisiti della verifica in due passaggi.
login.mfa.satisfiedTitle,Verifica in due passaggi soddisfatta
login.mfa.setupFactor,Configura {factor}
login.mfa.skip,Salta per ora
login.mfa.skipping,Operazione ignorata...
login.mfa.title,Verifica en dos pasos
login.mfa.totp,Aplicación de autenticación
login.mfa.totpChallengeTitle,Codice dell'app di autenticazione
login.mfa.totpDescription,Inserisca el codice de seis dígitos de il suo aplicación de autenticación.
login.mfa.totpDetail,Usa un codice dell'app di autenticazione.
login.mfa.unavailable,Non disponibile
login.mfa.verificationCode,Codice de verifica
login.mfa.verify,Verificar
login.passkey.canceled,L’accesso con chiave di accesso è stato annullato o è scaduto. Riprovi.
login.passkey.ceremonyFailure,Non è stato possibile completare l’accesso con chiave di accesso. Riprovi.
login.passkey.description,"Confirme con el bloqueo de pantalla, il suo huella digital o una llave de seguridad."
login.passkey.permissionDenied,L’accesso alla chiave di accesso è stato negato. Consenta l’accesso alle chiavi di accesso per questo sito e riprovi.
login.passkey.submit,Continuar con la clave de acceso
login.passkey.title,Accedi con una clave de acceso
login.passkey.unsupported,Este navegador o dispositivo no puede usar claves de acceso. Scelga otro método de inicio de sesión.
login.passkey.unsupportedTitle,Passkey non supportata
login.password.back,Torna ai metodi
login.password.changeDescription,Scelga una contraseña nueva antes de continuar.
login.password.changeRequiredDescription,"Devi cambiare la password prima di continuare."
login.password.changeRequiredTitle,Cambia la password
login.password.changeSubmit,Cambia password
login.password.changeTitle,Actualizar il suo contraseña
login.password.confirm,Confirmar contraseña
login.password.current,Password actual
login.password.currentRequired,Inserisci la password attuale.
login.password.description,Inserisca las credenciales de il suo account de {organization}.
login.password.expiredDescription,"La password è scaduta. Impostane una nuova per continuare."
login.password.forgot,¿Olvidó il suo contraseña?
login.password.hide,Ocultar contraseña
login.password.identifier,Nombre de usuario o e-mail electrónico
login.password.label,Password
login.password.new,Password nueva
login.password.passwordRequired,Inserisci la password.
login.password.rememberIdentifier,Ricorda questo identificativo
login.password.saving,Salvataggio in corso...
login.password.show,Mostrar contraseña
login.password.signInTitle,Accedi con la password
login.password.signingIn,Accesso in corso...
login.password.submit,Accedi
login.password.title,Inserisca il suo contraseña
login.provider.accountNotFoundDescription,"Nessun account Authworks è collegato a questo account {provider}. Il collegamento degli account e la registrazione autonoma non sono ancora abilitati."
login.provider.accountNotFoundTitle,Nessun account collegato
login.provider.description,Continuará en {provider} y volverá aquí cuando termine.
login.provider.failureDescription,L'accesso con {provider} non è stato completato. Riprova.
login.provider.linkingFailedDescription,Non è stato possibile completare il collegamento dell'account. Prova un altro metodo di accesso.
login.provider.linkingFailedTitle,Impossibile collegare l'account
login.provider.submit,Continuar con {provider}
login.provider.title,Continuar con {provider}
login.recent.description,Continuar con una account que usó en este dispositivo.
login.recent.heading,Account recenti
login.recent.other,Usar otra account
login.recent.title,Elegir una account
login.recent.useAnother,Usa un altro metodo o account
login.recovery.back,Torna all'accesso
login.recovery.checkingLink,Verifica del link di reimpostazione...
login.recovery.choosePasswordTitle,Scegli una nuova password
login.recovery.completeDescription,Accedi con il suo nueva contraseña
login.recovery.completeDescriptionReference,"Accedi con la nuova password per continuare."
login.recovery.completeTitle,Password actualizada
login.recovery.completeTitleReference,La password è stata cambiata
login.recovery.description,Inserisca il suo e-mail electrónico y le enviaremos instrucciones de recuperación si existe una account.
login.recovery.invalidLinkError,Questo link per reimpostare la password non è valido o è scaduto.
login.recovery.invalidLinkTitle,Questo link di reimpostazione non è più valido
login.recovery.loading,Caricamento del recupero password...
login.recovery.policyRejected,Scegli una password che soddisfi i requisiti.
login.recovery.resetDescription,Scelga una contraseña nueva para il suo account.
login.recovery.resetSubmit,Actualizar contraseña
login.recovery.resetSubmitReference,Imposta nuova password
login.recovery.resetTitle,Establecer una contraseña nueva
login.recovery.saving,Salvataggio in corso...
login.recovery.sending,Invio in corso...
login.recovery.sentDescription,"Si existe una account asociada a esa indirizzo, recibirá las instrucciones de recuperación. El enlace caduca pronto."
login.recovery.sentTitle,Revise il suo e-mail
login.recovery.submit,Enviar instrucciones de recuperación
login.recovery.submitReference,Invia link di reimpostazione
login.recovery.title,Restablecer il suo contraseña
login.recovery.unavailableDescription,Il recupero della password non è temporaneamente disponibile.
login.recovery.unavailableTitle,Recupero password non disponibile
login.register.description,Crei una account para {organization}.
login.register.displayName,Nombre completo
login.register.doneDescription,Confirme il suo indirizzo de e-mail mediante el enlace enviado a {email}.
login.register.doneTitle,Confirmar il suo indirizzo de e-mail
login.register.email,Indirizzo de e-mail
login.register.signIn,¿Ya tiene una account?
login.register.submit,Crea account
login.register.title,Crea il suo account
login.register.userName,Nombre de usuario
login.signedIn.description,Ha iniciado sesión en {organization}.
login.signedIn.title,Sesión iniciada
login.status.continuing,Continuazione dell'accesso...
login.status.fatalTitle,Ricomincia l'accesso
login.status.loading,Preparando el inicio de sesión
login.status.unavailableDescription,Impossibile completare questa richiesta di accesso. Torna all'applicazione e riprova.
login.status.unavailableTitle,Accesso non disponibile
login.totpEnroll.description,"Aggiungi questa chiave di configurazione all'app di autenticazione, quindi inserisci il codice generato. La chiave viene mostrata solo adesso."
login.totpEnroll.hideSetupKey,Nascondi chiave di configurazione
login.totpEnroll.qrLabel,Codice QR per configurare l'app di autenticazione
login.totpEnroll.scanDescription,"Scansiona il codice QR con l'app di autenticazione, poi inserisci il codice di sei cifre mostrato."
login.totpEnroll.setupKeyLabel,Chiave di configurazione (se non puoi scansionare)
login.totpEnroll.showSetupKey,Mostra chiave di configurazione
login.totpEnroll.start,Mostrar clave de configuración
login.totpEnroll.submit,Finalizar configuración
login.totpEnroll.title,Configurar una aplicación de autenticación
login.totpEnroll.unavailableDescription,La configurazione dell'autenticatore non può essere preparata qui. I dettagli non possono essere ripristinati dopo un ricaricamento.
login.verify.description,Confirme la indirizzo de e-mail de il suo account.
login.verify.submit,Confirmar indirizzo de e-mail
login.verify.title,Verificar il suo indirizzo de e-mail
login.verify.verifiedDescription,{email} está confirmada. Ya puede accedere.
login.verify.verifiedTitle,Indirizzo de e-mail confirmada
login.whatsappOtp.codeDescription,Inserisci il codice inviato a {phoneNumber} su WhatsApp.
login.whatsappOtp.codeError,Il codice WhatsApp non è corretto.
login.whatsappOtp.codeTitle,Codice di verifica WhatsApp
login.whatsappOtp.description,"Ti invieremo un codice monouso su WhatsApp, invece di chiederti una password."
login.whatsappOtp.differentNumber,Usa un altro numero
login.whatsappOtp.phoneHint,"Usa il formato internazionale E.164, ad esempio +14155552671."
login.whatsappOtp.phoneInvalid,Inserisci un numero di telefono valido in formato E.164.
login.whatsappOtp.phoneNumber,Numero di telefono WhatsApp
login.whatsappOtp.phonePlaceholder,+393331234567
login.whatsappOtp.resend,Invia di nuovo il codice
login.whatsappOtp.send,Invia codice WhatsApp
login.whatsappOtp.sendError,Impossibile inviare il codice WhatsApp.
login.whatsappOtp.sending,Invio del codice…
login.whatsappOtp.title,Accedi con WhatsApp
login.whatsappOtp.verifying,Verifica…
shell.guard.accessUnavailable,Accesso non disponibile
shell.guard.contextRequired,Contesto richiesto
shell.guard.contextRequiredDetail,Scegli il realm o l'organizzazione richiesta prima di continuare.
shell.guard.destinationUnavailable,Destinazione non disponibile
shell.guard.destinationUnavailableDetail,La destinazione richiesta non fa parte di questa applicazione.
shell.guard.pageNotFound,Pagina non trovata
shell.guard.signInRequired,Accesso richiesto
shell.guard.signInRequiredDetail,Accedi per continuare verso questa destinazione.
shell.nav.acceptInvitation,Accetta invito
shell.nav.access,Accesso
shell.nav.account,Account utente
shell.nav.administratorSignIn,Accesso amministratore
shell.nav.applicationConsent,Consenso applicazione
shell.nav.applicationConsents,Consensi delle applicazioni
shell.nav.applications,Applicazioni
shell.nav.auditEvents,Eventi di audit
shell.nav.branding,Personalizzazione
shell.nav.chooseDestination,Scegli una destinazione
shell.nav.credentialsTokens,Credenziali e token
shell.nav.deleteAccount,Elimina account
shell.nav.directory,Elenco
shell.nav.effectiveAccess,Effective access
shell.nav.effectiveAccess,Accesso effettivo
shell.nav.emailAddress,Indirizzo de e-mail
shell.nav.emailOtpSignIn,Accesso con codice e-mail
shell.nav.externalIdentitySignIn,Accesso con identità esterna
shell.nav.impersonation,Impersonificazione
shell.nav.invitations,Inviti
shell.nav.linkedIdentities,Identità collegate
shell.nav.loginPolicy,Accesso e identità
shell.nav.loginPolicyProviders,Accesso e provider di identità
shell.nav.logout,Disconnetti
shell.nav.machineCredentials,Credenziali macchina
shell.nav.machineUsers,Utenti macchina
shell.nav.membershipsRoles,Membri e ruoli
shell.nav.mfa,Autenticazione a più fattori
shell.nav.mfaSignIn,Accesso a più fattori
shell.nav.myOrganizations,Le mie organizzazioni
shell.nav.navigationTitle,Navigazione {title}
shell.nav.oidcClients,Client OIDC
shell.nav.openIdConnect,OpenID Connect
shell.nav.operations,Operazioni
shell.nav.organization,Organizzazione
shell.nav.organizations,Organizzazioni
shell.nav.overview,Panoramica
shell.nav.passkeySignIn,Accesso con passkey
shell.nav.passkeys,Chiavi di accesso
shell.nav.password,Password di accesso
shell.nav.passwordRecovery,Recupero della password
shell.nav.passwordSignIn,Accesso con password
shell.nav.personalInformation,Informazioni personali
shell.nav.profile,Profilo
shell.nav.projects,Progetti
shell.nav.protocolDocuments,Documenti di protocollo
shell.nav.realm,Ambito
shell.nav.realmSettings,Impostazioni del reame
shell.nav.recoveryCodes,Codici di ripristino
shell.nav.refreshTokens,Token di aggiornamento
shell.nav.registration,Registrazione
shell.nav.rolesGrants,Ruoli e concessioni
shell.nav.security,Sicurezza
shell.nav.securityHistory,Cronologia della sicurezza
shell.nav.sessions,Sessioni
shell.nav.sessionsDevices,Sessioni e dispositivi
shell.nav.signingKeys,Chiavi di firma
shell.nav.users,Utenti
shell.nav.verifyEmail,Verifica e-mail
shell.state.errorDetail,Impossibile preparare la pagina. Riprova quando sei pronto.
shell.state.inaccessibleDetail,Non hai accesso a questa destinazione nel contesto corrente.
shell.state.loadingDetail,Preparazione di questa pagina e del suo contesto di sicurezza.
shell.state.nothingHere,Ancora nulla qui
shell.state.pageUnavailable,Questa pagina non è disponibile
shell.state.readyDetail,Questa pagina è pronta per il suo contenuto.
