key,nl
email.preview.isolated,Weergegeven in een geïsoleerd frame; netwerktoegang is uitgeschakeld.
email.preview.notFound,E-mailvoorbeeld niet gevonden
email.preview.otp,Eenmalig wachtwoord
email.preview.recipient,Testontvanger
email.preview.recovery,Wachtwoordherstel
email.preview.securityFailed,Verificatie van aanmelding mislukt
email.preview.securityRequested,Verificatie van aanmelding aangevraagd
email.preview.securityVerified,Verificatie van aanmelding voltooid
email.preview.subject,Onderwerp
email.preview.text,Tekstalternatief
email.preview.verification,E-mailverificatie
login.chooser.accountOrMethodTitle,Kies een account of methode
login.chooser.description,Kies cómo inloggen en {organization}.
login.chooser.lastUsed,Laatst gebruikt
login.chooser.methodTitle,Kies een methode
login.chooser.orChooseMethod,Of kies een methode
login.chooser.emailOtpDetail,Reciba un code de un solo uso por e-mail electrónico
login.chooser.emailOtpLabel,Code por e-mail
login.chooser.passkeyDetail,Use el bloqueo de pantalla de uw dispositivo o una llave de seguridad
login.chooser.passkeyLabel,Clave de acceso
login.chooser.passwordDetail,Use la contraseña de uw account
login.chooser.passwordLabel,Wachtwoord
login.chooser.providerDetail,Gebruik je bestaande {provider}-account om in te loggen
login.chooser.providerLabel,Continuar con {provider}
login.chooser.register,Account maken una account
login.chooser.title,Inloggen
login.chooser.useRecent,Usar una account reciente
login.common.back,Volver a las opciones de inicio de sesión
login.common.legal,"Al continuar, reconoce los {terms} y la {privacy}."
login.common.privacy,Política de privacidad
login.common.terms,Términos del servicio
login.common.working,Procesando…
login.emailOtp.codeDescription,Voer in el code de seis dígitos que enviamos a {email}.
login.emailOtp.codeTitle,Voer in uw code de e-mail
login.emailOtp.description,Le enviaremos un code de un solo uso por e-mail en lugar de pedirle una contraseña.
login.emailOtp.resend,Enviar un code nuevo
login.emailOtp.send,Enviar code
login.emailOtp.title,Inloggen con un code de e-mail
login.emailOtp.verify,Verificar code
login.error.codeRequired,Voer in el code de verificatie de seis dígitos.
login.error.credentialsRequired,Voer in uw nombre de usuario y contraseña.
login.error.emailRequired,Voer in una adres de e-mail válida.
login.error.enrollmentMissing,Inicie la configuración de la aplicación de autenticación antes de confirmar un code.
login.error.nameRequired,Voer in el nombre que se mostrará en uw account.
login.error.passwordMismatch,Las contraseñas no coinciden.
login.error.passwordTooShort,La contraseña debe contener al menos 8 caracteres.
login.error.recoveryCodeRequired,Voer in uno de sus codes de recuperación guardados.
login.error.tokenMissing,Abra el enlace completo de uw e-mail para continuar.
login.logout.description,Puede finalizar esta sesión en este dispositivo.
login.logout.doneDescription,Ha cerrado sesión en {organization}.
login.logout.doneTitle,Sesión cerrada
login.logout.submit,Uitloggen
login.logout.title,Uitloggen en {organization}
login.mfa.description,Kies cómo confirmar que es usted.
login.mfa.emailOtp,Code por e-mail
login.mfa.emailOtpDescription,Voer in el code de seis dígitos que enviamos a uw adres de e-mail.
login.mfa.passkey,Clave de acceso
login.mfa.recoveryCode,Code de recuperación
login.mfa.recoveryCodeDescription,Use uno de los codes de un solo uso que guardó al configurar la verificatie.
login.mfa.recoveryCodeLabel,Code de recuperación
login.mfa.title,Verificatie en dos pasos
login.mfa.totp,Aplicación de autenticación
login.mfa.totpDescription,Voer in el code de seis dígitos de uw aplicación de autenticación.
login.mfa.verificationCode,Code de verificatie
login.mfa.verify,Verificar
login.passkey.description,"Confirme con el bloqueo de pantalla, uw huella digital o una llave de seguridad."
login.passkey.submit,Continuar con la clave de acceso
login.passkey.title,Inloggen con una clave de acceso
login.passkey.unsupported,Este navegador o dispositivo no puede usar claves de acceso. Kies otro método de inicio de sesión.
login.password.changeDescription,Kies una contraseña nueva antes de continuar.
login.password.changeTitle,Actualizar uw contraseña
login.password.confirm,Confirmar contraseña
login.password.current,Wachtwoord actual
login.password.description,Voer in las credenciales de uw account de {organization}.
login.password.forgot,¿Olvidó uw contraseña?
login.password.hide,Ocultar contraseña
login.password.identifier,Nombre de usuario o e-mail electrónico
login.password.label,Wachtwoord
login.password.new,Wachtwoord nueva
login.password.show,Mostrar contraseña
login.password.submit,Inloggen
login.password.title,Voer in uw contraseña
login.provider.description,Continuará en {provider} y volverá aquí cuando termine.
login.provider.submit,Continuar con {provider}
login.provider.title,Continuar con {provider}
login.recent.description,Continuar con una account que usó en este dispositivo.
login.recent.heading,Recente accounts
login.recent.useAnother,Andere methode of account gebruiken
login.recent.other,Usar otra account
login.recent.title,Elegir una account
login.recovery.completeDescription,Inloggen con uw nueva contraseña
login.recovery.completeTitle,Wachtwoord actualizada
login.recovery.description,Voer in uw e-mail electrónico y le enviaremos instrucciones de recuperación si existe una account.
login.recovery.resetDescription,Kies una contraseña nueva para uw account.
login.recovery.resetSubmit,Actualizar contraseña
login.recovery.resetTitle,Establecer una contraseña nueva
login.recovery.sentDescription,"Si existe una account asociada a esa adres, recibirá las instrucciones de recuperación. El enlace caduca pronto."
login.recovery.sentTitle,Revise uw e-mail
login.recovery.submit,Enviar instrucciones de recuperación
login.recovery.title,Restablecer uw contraseña
login.register.description,Maak una account para {organization}.
login.register.displayName,Nombre completo
login.register.doneDescription,Confirme uw adres de e-mail mediante el enlace enviado a {email}.
login.register.doneTitle,Confirmar uw adres de e-mail
login.register.email,Adres de e-mail
login.register.signIn,¿Ya tiene una account?
login.register.submit,Account maken account
login.register.title,Account maken uw account
login.register.userName,Nombre de usuario
login.signedIn.description,Ha iniciado sesión en {organization}.
login.signedIn.title,Sesión iniciada
login.status.loading,Preparando el inicio de sesión
login.status.unavailableDescription,Dit inlogverzoek kan niet worden voltooid. Ga terug naar de applicatie en probeer het opnieuw.
login.status.unavailableTitle,Inloggen niet beschikbaar
login.totpEnroll.description,Voeg deze configuratiesleutel toe aan uw authenticator-app en voer vervolgens de gegenereerde code in. De sleutel wordt alleen nu getoond.
login.totpEnroll.start,Mostrar clave de configuración
login.totpEnroll.submit,Finalizar configuración
login.totpEnroll.title,Configurar una aplicación de autenticación
login.verify.description,Confirme la adres de e-mail de uw account.
login.verify.submit,Confirmar adres de e-mail
login.verify.title,Verificar uw adres de e-mail
login.verify.verifiedDescription,{email} está confirmada. Ya puede inloggen.
login.verify.verifiedTitle,Adres de e-mail confirmada
demo.fixture.continuing,doorgaan
demo.fixture.fatal,ernstige fout
demo.fixture.passwordChangeExpired,wachtwoord verlopen
demo.fixture.recoveryFatal,herstel niet beschikbaar
demo.fixture.recoveryLoading,herstel wordt geladen
demo.fixture.resetInvalid,ongeldige resetlink
demo.fixture.resetLoading,resetlink wordt geladen
login.emailOtp.codeHelp,Voer 6 cijfers in.
login.emailOtp.back,Terug naar methoden
login.emailOtp.changeEmail,E-mailadres wijzigen
login.emailOtp.resendCountdown,Een nieuwe code kan over {seconds} seconden worden verzonden.
login.emailOtp.resent,Er is een nieuwe code verzonden.
login.emailOtp.remember,Dit e-mailadres onthouden
login.emailOtp.sending,Bezig met verzenden...
login.emailOtp.verifying,Bezig met verifiëren...
login.error.credentialsInvalid,Onjuiste gebruikersnaam of wachtwoord.
login.error.emailRecoveryRequired,Voer het e-mailadres van uw account in.
login.error.identifierRequired,Voer uw gebruikersnaam of e-mailadres in.
login.error.newPasswordRequired,Voer een nieuw wachtwoord in.
login.error.passwordRequired,Voer uw wachtwoord in.
login.mfa.backToChoices,Terug naar opties voor verificatie in twee stappen
login.mfa.backToMethods,Terug naar methoden
login.mfa.continue,Doorgaan met aanmelden
login.mfa.emailOtpCodeTitle,Verificatiecode per e-mail
login.mfa.emailOtpDetail,Ontvang een eenmalige verificatiecode per e-mail.
login.mfa.emailOtpEnroll,E-mailcodes instellen
login.mfa.emailOtpEnrollDescription,Verificatiecodes worden naar het e-mailadres van uw account verzonden.
login.mfa.emailOtpEnrollNotice,Stel e-mailcodes in om het e-mailadres van uw account als tweede factor te gebruiken.
login.mfa.emailOtpEnrollSent,E-mailcodes zijn ingesteld. Voer de code in die naar uw e-mailadres is verzonden.
login.mfa.emailOtpEnrollTitle,E-mailcodes instellen
login.mfa.emailOtpSend,Code verzenden
login.mfa.emailOtpSendDescription,Verzend een zescijferige verificatiecode naar het e-mailadres van uw account.
login.mfa.emailOtpSent,Er is een verificatiecode naar uw e-mailadres verzonden.
login.mfa.emailOtpResent,Er is een nieuwe verificatiecode naar uw e-mailadres verzonden.
login.mfa.emailOtpUnavailableDescription,Verificatie via e-mail als tweede factor is niet beschikbaar in deze aanmeldflow.
login.mfa.emailOtpUnavailableNotice,E-mail-MFA-transport is niet geconfigureerd voor dit Authworks-aanmeldverzoek.
login.mfa.emailOtpUnavailableTitle,E-mailcode niet beschikbaar
login.mfa.enterRecoveryCode,Voer een opgeslagen herstelcode in.
login.mfa.enterSixDigits,Voer 6 cijfers in.
login.mfa.enrollDescription,Kies een methode om verificatie in twee stappen voor uw account in te stellen.
login.mfa.enrollTitle,Verificatie in twee stappen instellen
login.mfa.factorUnavailable,Deze factor is niet beschikbaar in het huidige aanmeldcontract.
login.mfa.loadingOptions,Opties voor verificatie in twee stappen laden...
login.mfa.loadingOptionsDescription,De beschikbare tweede factoren ophalen.
login.mfa.optionalDescription,Stel verificatie in twee stappen in voor extra beveiliging of sla dit voorlopig over.
login.mfa.optionalTitle,Optionele verificatie in twee stappen
login.mfa.optionsUnavailableDescription,De beschikbare tweede factoren konden niet worden geladen.
login.mfa.optionsUnavailableTitle,Verificatie in twee stappen niet beschikbaar
login.mfa.passkeyDescription,"Bevestig met een passkey, schermvergrendeling of biometrie van uw apparaat."
login.mfa.passkeyDetail,Verifieer met een passkey of biometrie van uw apparaat.
login.mfa.passkeyEnrollmentUnavailableDescription,Het gehoste aanmeldcontract biedt geen registratie van passkeys.
login.mfa.passkeyEnrollmentUnavailableNotice,Voltooi de passkey-instelling op een geauthenticeerde accountbeveiligingspagina en keer daarna terug naar aanmelden.
login.mfa.passkeyEnrollmentUnavailableTitle,Passkey-instelling niet beschikbaar
login.mfa.passkeyUnavailableDescription,Verificatie met een passkey als tweede factor is niet beschikbaar in deze aanmeldflow.
login.mfa.passkeyUnavailableNotice,Passkey-MFA-transport is niet geconfigureerd voor dit Authworks-verzoek.
login.mfa.passkeyUnavailableTitle,Passkey niet beschikbaar
login.mfa.passkeyVerify,Verifiëren met passkey
login.mfa.resend,Code opnieuw verzenden
login.mfa.resendIn,Opnieuw verzenden over {seconds} seconden
login.mfa.recoveryCodeDetail,Gebruik een van uw opgeslagen eenmalige herstelcodes.
login.mfa.totpChallengeTitle,Authenticatorcode
login.mfa.totpDetail,Gebruik een code uit uw authenticator-app.
login.mfa.retryOptions,Opties opnieuw laden
login.mfa.setupFactor,{factor} instellen
login.mfa.skip,Voorlopig overslaan
login.mfa.skipping,Bezig met overslaan...
login.mfa.satisfiedDescription,Uw aanmelding voldoet al aan het beleid voor verificatie in twee stappen.
login.mfa.satisfiedTitle,Verificatie in twee stappen voldaan
login.mfa.unavailable,Niet beschikbaar
login.passkey.unsupportedTitle,Passkey wordt niet ondersteund
login.password.changeRequiredDescription,"Uw wachtwoord moet worden gewijzigd voordat u doorgaat."
login.password.changeRequiredTitle,Wachtwoord wijzigen
login.password.changeSubmit,Wachtwoord wijzigen
login.password.expiredDescription,"Uw wachtwoord is verlopen. Stel een nieuw wachtwoord in om door te gaan."
login.password.currentRequired,Voer uw huidige wachtwoord in.
login.password.back,Terug naar methoden
login.password.passwordRequired,Voer uw wachtwoord in.
login.password.rememberIdentifier,Deze identifier onthouden
login.password.signInTitle,Aanmelden met wachtwoord
login.password.signingIn,Bezig met aanmelden...
login.password.saving,Bezig met opslaan...
login.provider.accountNotFoundDescription,"Er is geen Authworks-account gekoppeld aan dit {provider}-account. Accountkoppeling en zelfregistratie zijn nog niet ingeschakeld."
login.provider.accountNotFoundTitle,Geen gekoppeld account
login.provider.failureDescription,Aanmelden met {provider} is niet voltooid. Probeer het opnieuw.
login.provider.linkingFailedDescription,Het koppelen van het account is niet voltooid. Probeer een andere aanmeldmethode.
login.provider.linkingFailedTitle,Account kan niet worden gekoppeld
login.recovery.back,Terug naar aanmelden
login.recovery.checkingLink,Resetlink controleren...
login.recovery.choosePasswordTitle,Kies een nieuw wachtwoord
login.recovery.completeDescriptionReference,"Meld u aan met uw nieuwe wachtwoord om door te gaan."
login.recovery.completeTitleReference,Uw wachtwoord is gewijzigd
login.recovery.invalidLinkTitle,Deze resetlink is niet meer geldig
login.recovery.invalidLinkError,Deze link voor het resetten van uw wachtwoord is ongeldig of verlopen.
login.recovery.loading,Wachtwoordherstel laden...
login.recovery.resetSubmitReference,Nieuw wachtwoord instellen
login.recovery.saving,Bezig met opslaan...
login.recovery.sending,Bezig met verzenden...
login.recovery.submitReference,Resetlink verzenden
login.recovery.unavailableDescription,Wachtwoordherstel is tijdelijk niet beschikbaar.
login.recovery.unavailableTitle,Wachtwoordherstel niet beschikbaar
login.status.continuing,Aanmelding wordt voortgezet...
login.status.fatalTitle,Opnieuw aanmelden
login.totpEnroll.hideSetupKey,Instelsleutel verbergen
login.totpEnroll.qrLabel,QR-code voor het instellen van de authenticator-app
login.totpEnroll.scanDescription,Scan de QR-code met uw authenticator-app en voer daarna de getoonde zescijferige code in.
login.totpEnroll.setupKeyLabel,Instelsleutel (als u niet kunt scannen)
login.totpEnroll.showSetupKey,Instelsleutel tonen
login.totpEnroll.unavailableDescription,De authenticator kon hier niet worden ingesteld. De instelgegevens kunnen na opnieuw laden niet worden hersteld.
shell.guard.accessUnavailable,Toegang niet beschikbaar
shell.guard.contextRequired,Context vereist
shell.guard.contextRequiredDetail,Kies de vereiste realm of organisatie voordat u doorgaat.
shell.guard.destinationUnavailable,Bestemming niet beschikbaar
shell.guard.destinationUnavailableDetail,De opgevraagde bestemming maakt geen deel uit van deze applicatie.
shell.guard.pageNotFound,Pagina niet gevonden
shell.guard.signInRequired,Inloggen vereist
shell.guard.signInRequiredDetail,Log in om door te gaan naar deze bestemming.
shell.nav.acceptInvitation,Uitnodiging accepteren
shell.nav.access,Toegang
shell.nav.account,Gebruikersaccount
shell.nav.administratorSignIn,Beheerdersaanmelding
shell.nav.applicationConsent,Toestemming voor toepassing
shell.nav.applicationConsents,Toepassingstoestemmingen
shell.nav.applications,Applicaties
shell.nav.auditEvents,Auditgebeurtenissen
shell.nav.branding,Huisstijl
shell.nav.chooseDestination,Kies een bestemming
shell.nav.credentialsTokens,Referenties en tokens
shell.nav.deleteAccount,Account verwijderen
shell.nav.directory,Gebruikersoverzicht
shell.nav.emailAddress,Adres de e-mail
shell.nav.emailOtpSignIn,Inloggen met e-mailcode
shell.nav.externalIdentitySignIn,Inloggen met externe identiteit
shell.nav.impersonation,Imitatie
shell.nav.invitations,Uitnodigingen
shell.nav.linkedIdentities,Gekoppelde identiteiten
shell.nav.loginPolicy,Inloggen en identiteit
shell.nav.loginPolicyProviders,Inloggen en identiteitsproviders
shell.nav.logout,Uitloggen
shell.nav.machineCredentials,Machine-inloggegevens
shell.nav.machineUsers,Machinegebruikers
shell.nav.membershipsRoles,Leden en rollen
shell.nav.mfa,Multi-factor authenticatie
shell.nav.mfaSignIn,Multi-factor inloggen
shell.nav.myOrganizations,Mijn organisaties
shell.nav.navigationTitle,{title}-navigatie
shell.nav.oidcClients,OIDC-clients
shell.nav.openIdConnect,OpenID Connect
shell.nav.operations,Bewerkingen
shell.nav.organization,Organisatie
shell.nav.organizations,Organisaties
shell.nav.overview,Overzicht
shell.nav.passkeySignIn,Inloggen met passkey
shell.nav.passkeys,Toegangssleutels
shell.nav.password,Wachtwoord
shell.nav.passwordRecovery,Wachtwoordherstel
shell.nav.passwordSignIn,Inloggen met wachtwoord
shell.nav.personalInformation,Persoonlijke gegevens
shell.nav.profile,Profiel
shell.nav.projects,Projecten
shell.nav.protocolDocuments,Protocoldocumenten
shell.nav.realm,Domein
shell.nav.realmSettings,Realm-instellingen
shell.nav.recoveryCodes,Herstelcodes
shell.nav.registration,Registratie
shell.nav.rolesGrants,Rollen en toewijzingen
shell.nav.security,Beveiliging
shell.nav.sessions,Sessies
shell.nav.sessionsDevices,Sessies en apparaten
shell.nav.signingKeys,Ondertekeningssleutels
shell.nav.users,Gebruikers
shell.nav.verifyEmail,E-mail verifiëren
shell.state.errorDetail,De pagina kon niet worden voorbereid. Probeer het opnieuw als u klaar bent.
shell.state.inaccessibleDetail,U hebt in de huidige context geen toegang tot deze bestemming.
shell.state.loadingDetail,Deze pagina en de beveiligingscontext worden voorbereid.
shell.state.nothingHere,Hier is nog niets
shell.state.pageUnavailable,Deze pagina is niet beschikbaar
shell.state.readyDetail,Deze pagina is klaar voor inhoud.
login.chooser.whatsappOtpDetail,Een eenmalige code via WhatsApp ontvangen
login.chooser.whatsappOtpLabel,WhatsApp-code
login.whatsappOtp.codeError,De WhatsApp-code is onjuist.
login.whatsappOtp.codeDescription,Voer de code in die via WhatsApp naar {phoneNumber} is verzonden.
login.whatsappOtp.codeTitle,WhatsApp-verificatiecode
login.whatsappOtp.description,"We sturen u een eenmalige code via WhatsApp, in plaats van om een wachtwoord te vragen."
login.whatsappOtp.differentNumber,Een ander nummer gebruiken
login.whatsappOtp.phoneHint,"Gebruik de internationale E.164-notatie, bijvoorbeeld +14155552671."
login.whatsappOtp.phoneNumber,WhatsApp-telefoonnummer
login.whatsappOtp.phonePlaceholder,+31612345678
login.whatsappOtp.resend,Code opnieuw verzenden
login.whatsappOtp.send,WhatsApp-code verzenden
login.whatsappOtp.sendError,De WhatsApp-code kon niet worden verzonden.
login.whatsappOtp.sending,Code verzenden…
login.whatsappOtp.title,Inloggen met WhatsApp
login.whatsappOtp.verifying,Verifiëren…
