key,ar
demo.admin.eyebrow,إدارة النطاق
demo.admin.group.authorization.description,التطبيقات وأدوار المشروع والمنح والوصول المقيم.
demo.admin.group.authorization.title,المشاريع والتفويض
demo.admin.group.machine_users.description,الهويات غير البشرية وبيانات اعتمادها للكتابة فقط.
demo.admin.group.machine_users.title,المستخدمون الآليون
demo.admin.group.oidc.description,العملاء وإعدادات إعادة التوجيه الدقيقة والموافقة والنطاقات ومفاتيح التوقيع.
demo.admin.group.oidc.title,OpenID Connect
demo.admin.group.operations.description,جلسات النطاق ونشاط الأمان غير القابل للتعديل.
demo.admin.group.operations.title,العمليات
demo.admin.group.organizations.description,إعدادات المنظمة والأشخاص والدعوات والنطاقات المؤكدة.
demo.admin.group.organizations.title,المنظمات
demo.admin.group.realm.description,إعدادات الهوية ودورة الحياة وتسجيل الدخول على مستوى النطاق.
demo.admin.group.realm.title,النطاق
demo.admin.group.users.description,الهويات البشرية وبيانات الاعتماد والجلسات وإجراءات الدعم المحمية.
demo.admin.group.users.title,المستخدمون
demo.admin.realmFixtureName,هوية عميل Northwind
demo.admin.scenario.admin_sign_in.description,تبادل بيانات اعتماد التشغيل الأولي بجلسة متصفح قصيرة للمسؤول.
demo.admin.scenario.admin_sign_in.title,تسجيل دخول المسؤول
demo.admin.scenario.applications.description,إدارة تطبيقات المشروع ودورة حياتها.
demo.admin.scenario.applications.title,التطبيقات
demo.admin.scenario.audit_events.description,استعراض تدفق أحداث الأمان التجريبية الحالي.
demo.admin.scenario.audit_events.title,أحداث التدقيق
demo.admin.scenario.branding.description,تكوين الألوان والشعارات والروابط القانونية الخاصة بالمنظمة.
demo.admin.scenario.branding.title,العلامة التجارية
demo.admin.scenario.domains.description,التحقق من النطاقات والتحكم في اكتشاف المنظمة.
demo.admin.scenario.domains.title,النطاقات واكتشاف المنظمة
demo.admin.scenario.effective_access.description,فحص الأدوار والأذونات الفعلية وفحوصات الوصول للقراءة فقط.
demo.admin.scenario.effective_access.title,الوصول الفعلي
demo.admin.scenario.impersonation.description,بدء جلسة دعم مبررة ومحددة بوقت عند السماح بذلك.
demo.admin.scenario.impersonation.title,انتحال الهوية
demo.admin.scenario.invitations.description,دعوة الأشخاص وتتبع الدعوات المعلقة أو منتهية الصلاحية.
demo.admin.scenario.invitations.title,الدعوات
demo.admin.scenario.login_policy.description,تعيين سياسة تسجيل الدخول وتكوين Google أو GitHub أو Microsoft.
demo.admin.scenario.login_policy.title,تسجيل الدخول وموفرو الهوية
demo.admin.scenario.machine_credentials.description,إصدار وتدوير وإلغاء بيانات اعتماد العميل ورموز الوصول الشخصية ومفاتيح واجهة برمجة التطبيقات.
demo.admin.scenario.machine_credentials.title,بيانات الاعتماد والرموز المميزة
demo.admin.scenario.machine_user_detail.description,مراجعة النطاقات ودورة الحياة، وتدوير سر العميل، وإدارة بيانات الاعتماد.
demo.admin.scenario.machine_user_detail.title,تفاصيل المستخدم الآلي
demo.admin.scenario.machine_users.description,إنشاء وإدارة هويات الخدمة ودورة حياتها.
demo.admin.scenario.machine_users.title,دليل المستخدمين الآليين
demo.admin.scenario.memberships.description,تعيين أدوار المنظمة الثابتة للأعضاء.
demo.admin.scenario.memberships.title,العضويات والأدوار
demo.admin.scenario.oidc_client_detail.description,تعديل عمليات إعادة التوجيه الدقيقة والنطاقات، وتدوير سر العميل أو إلغاؤه.
demo.admin.scenario.oidc_client_detail.title,إعدادات عميل OIDC
demo.admin.scenario.oidc_clients.description,إدارة العملاء وعمليات إعادة التوجيه والنطاقات والثقة والأسرار لمرة واحدة.
demo.admin.scenario.oidc_clients.title,عملاء OIDC
demo.admin.scenario.oidc_consents.description,مراجعة وإلغاء التطبيقات التي وافق عليها الشخص.
demo.admin.scenario.oidc_consents.title,موافقات التطبيقات
demo.admin.scenario.organization_detail.description,مراجعة إعدادات المنظمة ودورة الحياة والعضويات الحالية.
demo.admin.scenario.organization_detail.title,تفاصيل المنظمة
demo.admin.scenario.organizations.description,استعراض والبحث وإنشاء منظمات في النطاق الحالي.
demo.admin.scenario.organizations.title,دليل المنظمات
demo.admin.scenario.project_detail.description,مراجعة وتعديل إعدادات المشروع ودورة حياته.
demo.admin.scenario.project_detail.title,إعدادات المشروع
demo.admin.scenario.projects.description,استعراض والبحث وإنشاء مشاريع في النطاق الحالي.
demo.admin.scenario.projects.title,دليل المشاريع
demo.admin.scenario.protocol_documents.description,فحص نقاط نهاية الاكتشاف وJWKS للقراءة فقط.
demo.admin.scenario.protocol_documents.title,وثائق البروتوكول
demo.admin.scenario.realm_overview.description,مراجعة هوية النطاق والنطاقات الفرعية وحالة دورة الحياة والجلسة الحالية.
demo.admin.scenario.realm_overview.title,نظرة عامة على النطاق
demo.admin.scenario.realm_settings.description,إدارة اسم النطاق الحالي والنطاقات الفرعية والحالة ودورة الحياة.
demo.admin.scenario.realm_settings.title,الإعدادات العامة
demo.admin.scenario.roles_grants.description,تكوين أدوار المشروع ومنح وصول المنظمة.
demo.admin.scenario.roles_grants.title,الأدوار والمنح
demo.admin.scenario.sessions.description,مراجعة جلسات النطاق مع سياق الفاعل والجهاز.
demo.admin.scenario.sessions.title,الجلسات
demo.admin.scenario.signing_keys.description,مراجعة بيانات المفتاح الوصفية وإجراء التدوير المحمي.
demo.admin.scenario.signing_keys.title,مفاتيح التوقيع
demo.admin.scenario.user_authentication.description,مراجعة بيانات العوامل الآمنة ومفاتيح المرور والاسترداد الوصفية في تفاصيل المستخدم.
demo.admin.scenario.user_authentication.title,طرق المصادقة
demo.admin.scenario.user_detail.description,مراجعة الملف الشخصي ودورة الحياة والجلسات وبيانات المصادقة الوصفية الآمنة.
demo.admin.scenario.user_detail.title,تفاصيل المستخدم
demo.admin.scenario.user_sessions.description,فحص وإلغاء جلسات المتصفح النشطة للمستخدم.
demo.admin.scenario.user_sessions.title,جلسات المستخدم
demo.admin.scenario.users.description,استعراض والبحث عن المستخدمين البشريين في النطاق الحالي.
demo.admin.scenario.users.title,دليل المستخدمين
demo.directory.available,متاح
demo.directory.availableDemos,عروض تجريبية متاحة
demo.directory.back,العودة إلى الدليل
demo.directory.fixtureStates,حالات البيانات التجريبية
demo.directory.openDemo,فتح العرض التجريبي
demo.directory.planned,مخطط
demo.directory.plannedDestinations,وجهات مخططة
demo.directory.previewFoundation,معاينة الأساس
demo.fixture.accepted,مقبول
demo.fixture.accountError,تعذّر تحميل بيانات الاختبار الحتمية للحساب.
demo.fixture.active,نشط
demo.fixture.assuranceRequired,الضمان مطلوب
demo.fixture.continuing,جارٍ المتابعة
demo.fixture.crossTenant,عبر المستأجرين
demo.fixture.declined,مرفوض
demo.fixture.empty,فارغ
demo.fixture.ended,منتهٍ
demo.fixture.error,خطأ
demo.fixture.expired,منتهية
demo.fixture.expiring,تنتهي صلاحيته قريباً
demo.fixture.fatal,خطأ جسيم
demo.fixture.loading,جارٍ التحميل
demo.fixture.nestedRejected,رفض متداخل
demo.fixture.oneTime,لمرة واحدة
demo.fixture.passwordChangeExpired,انتهت صلاحية كلمة المرور
demo.fixture.permissionDenied,تم رفض الإذن
demo.fixture.preview,معاينة بيانات تجريبية مستقلة
demo.fixture.recoveryFatal,الاسترداد غير متاح
demo.fixture.recoveryLoading,جارٍ تحميل الاسترداد
demo.fixture.redacted,منقح
demo.fixture.replayed,معاد تشغيله
demo.fixture.resetInvalid,رابط إعادة التعيين غير صالح
demo.fixture.resetLoading,جارٍ تحميل رابط إعادة التعيين
demo.fixture.state,حالة البيانات التجريبية
demo.fixture.success,نجاح
demo.hub.accountDescription,استكشف وجهات الملف الشخصي والمنظمة والأمان بالخدمة الذاتية.
demo.hub.accountOpen,فتح الحساب
demo.hub.adminDescription,إدارة موارد الهوية وإعدادات المنظمة.
demo.hub.adminOpen,فتح الإدارة
demo.hub.description,استكشف العروض التجريبية لتسجيل الدخول والحساب والإدارة ورسائل البريد الإلكتروني للمعاملات.
demo.hub.loginDescription,استكشف تجربة المصادقة للمستخدمين لديك.
demo.hub.loginOpen,فتح تسجيل الدخول
demo.login.description,استكشف بيانات تجريبية محددة لتسجيل الدخول والاسترداد والتفاعل. تظل التدفقات الحالية تفاعلية بينما تعرض الوجهات المخططة عقود السيناريوهات المستقلة.
demo.login.eyebrow,المصادقة المستضافة
demo.login.group.chooser.description,نقاط الدخول المشتقة من سياسة تسجيل الدخول المكتشفة والحسابات المحفوظة محلياً.
demo.login.group.chooser.title,بدء تسجيل الدخول
demo.login.group.chrome.description,الخيارات البديلة عبر التدفقات المستخدمة في كل شاشة تفاعل مستضافة.
demo.login.group.chrome.title,الحالات المشتركة
demo.login.group.interaction.description,نتائج التفاعل وتسجيل الخروج لطلبات OIDC المستضافة.
demo.login.group.interaction.title,التفاعل وتسجيل الخروج
demo.login.group.mfa.description,تحديات العامل الثاني وتسجيل تطبيق المصادقة ورموز الاسترداد.
demo.login.group.mfa.title,المصادقة متعددة العوامل
demo.login.group.password_email.description,المصادقة بكلمة المرور ورمز البريد الإلكتروني ببيانات تجريبية محلية محددة.
demo.login.group.password_email.title,كلمة المرور ورمز البريد الإلكتروني
demo.login.group.passwordless.description,مفاتيح المرور وموفرو الهوية الخارجيون المكونون.
demo.login.group.passwordless.title,بدون كلمة مرور والمصادقة الخارجية
demo.login.group.recovery.description,طلب واستكمال استرداد كلمة المرور دون الكشف عن الحساب.
demo.login.group.recovery.title,الاسترداد
demo.login.group.registration.description,التسجيل وتأكيد البريد الإلكتروني الصادر عن الخادم.
demo.login.group.registration.title,التسجيل والتحقق
demo.login.scenario.chooser.description,اختر طريقة مصادقة أساسية مسموح بها.
demo.login.scenario.chooser.title,اختيار طريقة الدخول
demo.login.scenario.chooser_recent_accounts.description,المتابعة بحساب محفوظ على هذا الجهاز.
demo.login.scenario.chooser_recent_accounts.title,الحسابات الأخيرة
demo.login.scenario.email_otp.description,طلب رمز لمرة واحدة يتم تسليمه عبر البريد الإلكتروني.
demo.login.scenario.email_otp.title,طلب رمز البريد الإلكتروني
demo.login.scenario.email_otp_code.description,أدخل رمز التحقق المكون من ستة أرقام للبريد الإلكتروني.
demo.login.scenario.email_otp_code.title,التحقق من رمز البريد الإلكتروني
demo.login.scenario.idp.description,المتابعة من خلال موفر هوية خارجي مهيأ.
demo.login.scenario.idp.title,الهوية الخارجية
demo.login.scenario.idp_failure.description,التعافي من فشل بدء موفر الهوية الخارجي.
demo.login.scenario.idp_failure.title,فشل موفر الهوية
demo.login.scenario.loading.description,إظهار التقدم أثناء معالجة اكتشاف النطاق.
demo.login.scenario.loading.title,جارٍ التحميل
demo.login.scenario.logout.description,تأكيد تسجيل الخروج لجلسة المتصفح الحالية.
demo.login.scenario.logout.title,تسجيل الخروج
demo.login.scenario.logout_done.description,تأكيد اكتمال تسجيل الخروج ومسار العودة الذي تم التحقق منه.
demo.login.scenario.logout_done.title,تم تسجيل الخروج
demo.login.scenario.mfa.description,اختر عاملاً ثانياً متاحاً.
demo.login.scenario.mfa.title,اختر عاملاً
demo.login.scenario.mfa_email_otp.description,التحقق من العامل الثاني عبر البريد الإلكتروني.
demo.login.scenario.mfa_email_otp.title,رمز البريد الإلكتروني
demo.login.scenario.mfa_passkey.description,التحقق من مفتاح المرور كعامل ثانٍ.
demo.login.scenario.mfa_passkey.title,عامل مفتاح المرور
demo.login.scenario.mfa_recovery_code.description,استخدام رمز استرداد فردي عندما تكون العوامل الأخرى غير متاحة.
demo.login.scenario.mfa_recovery_code.title,رمز الاسترداد
demo.login.scenario.mfa_totp.description,التحقق من رمز تطبيق المصادقة المستند إلى الوقت.
demo.login.scenario.mfa_totp.title,رمز تطبيق المصادقة
demo.login.scenario.mfa_totp_enroll.description,ربط وتأكيد تطبيق مصادقة جديد.
demo.login.scenario.mfa_totp_enroll.title,تسجيل تطبيق المصادقة
demo.login.scenario.passkey.description,المصادقة باستخدام مفتاح مرور مرتبط بالجهاز.
demo.login.scenario.passkey.title,مفتاح المرور
demo.login.scenario.passkey_unsupported.description,شرح عدم توافق المتصفح أو الجهاز.
demo.login.scenario.passkey_unsupported.title,مفتاح المرور غير متاح
demo.login.scenario.password.description,تسجيل الدخول باستخدام عنوان بريد إلكتروني أو اسم مستخدم وكلمة مرور.
demo.login.scenario.password.title,كلمة المرور
demo.login.scenario.password_change_required.description,تعيين كلمة مرور جديدة قبل المتابعة.
demo.login.scenario.password_change_required.title,تغيير كلمة المرور مطلوب
demo.login.scenario.password_error.description,عرض استجابة آمنة لبيانات الاعتماد غير الصالحة.
demo.login.scenario.password_error.title,بيانات الاعتماد غير صالحة
demo.login.scenario.password_forgot.description,طلب تعليمات استرداد كلمة المرور.
demo.login.scenario.password_forgot.title,طلب الاسترداد
demo.login.scenario.password_forgot_sent.description,عرض تأكيد البريد الإلكتروني غير الكاشف للمعلومات.
demo.login.scenario.password_forgot_sent.title,تم طلب الاسترداد
demo.login.scenario.password_reset.description,اختيار كلمة مرور جديدة من خلال رابط الاسترداد.
demo.login.scenario.password_reset.title,إعادة تعيين كلمة المرور
demo.login.scenario.password_reset_complete.description,العودة إلى تسجيل الدخول بعد إعادة التعيين بنجاح.
demo.login.scenario.password_reset_complete.title,اكتملت إعادة التعيين
demo.login.scenario.register.description,إنشاء حساب بشري وفقاً لسياسة تسجيل الدخول النشطة.
demo.login.scenario.register.title,التسجيل
demo.login.scenario.register_done.description,عرض إشعار التحقق غير الكاشف للمعلومات.
demo.login.scenario.register_done.title,تم إرسال التأكيد
demo.login.scenario.signed_in.description,عرض تأكيد استئناف التفاعل.
demo.login.scenario.signed_in.title,اكتمل التفاعل
demo.login.scenario.unsupported.description,شرح التفاعل غير المدعوم أو منتهي الصلاحية.
demo.login.scenario.unsupported.title,الطلب غير متاح
demo.login.scenario.verify_email.description,تأكيد العنوان من خلال رابط صادر عن الخادم.
demo.login.scenario.verify_email.title,التحقق من البريد الإلكتروني
demo.login.title,عرض تجريبي لتسجيل الدخول
demo.nav.account,الحساب
demo.nav.admin,الإدارة
demo.nav.compact,مضغوط
demo.nav.emails,رسائل البريد الإلكتروني
demo.nav.hub,الرئيسية
demo.nav.label,عرض تجريبي
demo.nav.login,تسجيل الدخول
demo.placeholder.emptyDescription,هذه الوجهة جاهزة لحالة فارغة مقصودة.
demo.placeholder.emptyTitle,لا توجد سجلات تجريبية
demo.placeholder.errorDescription,يمكن عرض خطأ محدد هنا دون طلب شبكة.
demo.placeholder.errorTitle,خطأ في البيانات التجريبية
demo.placeholder.loading,جارٍ تحميل البيانات التجريبية
demo.placeholder.notFoundDescription,اختر وجهة مدعومة من الدليل.
demo.placeholder.notFoundTitle,لم يتم العثور على وجهة العرض التجريبي
demo.placeholder.readyDescription,تم تحديد المسار والحالات المدعومة وحدود محول العرض التجريبي. لم يتم تنفيذ صفحة الميزة عن قصد في هذه المرحلة.
demo.placeholder.readyTitle,عقد البيانات التجريبية جاهز
email.directory.description,راجع مخرجات HTML والنصوص الحتمية لكل عقد من عقود رسائل البريد الإلكتروني المعاملاتية.
email.directory.eyebrow,رسائل المعاملات
email.directory.open,فتح المعاينة
email.directory.title,معاينات البريد الإلكتروني
email.hub.description,مراجعة البيانات التجريبية لرسائل المعاملات بتنسيق HTML والنص العادي المنعزل.
email.hub.open,فتح معاينات البريد الإلكتروني
email.preview.back,جميع معاينات البريد الإلكتروني
email.preview.html,معاينة HTML
email.preview.impersonationEnded,انتهى انتحال الهوية
email.preview.impersonationStarted,بدأ انتحال الهوية
email.preview.invitation,دعوة إلى المؤسسة
email.preview.isolated,يُعرض في إطار معزول مع تعطيل الوصول إلى الشبكة.
email.preview.notFound,تعذّر العثور على معاينة البريد الإلكتروني
email.preview.otp,كلمة مرور لمرة واحدة
email.preview.recipient,مستلم تجريبي
email.preview.recovery,استعادة كلمة المرور
email.preview.securityFailed,فشل التحقق من تسجيل الدخول
email.preview.securityRequested,طُلب التحقق من تسجيل الدخول
email.preview.securityVerified,اكتمل التحقق من تسجيل الدخول
email.preview.subject,الموضوع
email.preview.text,البديل النصي
email.preview.verification,التحقق من البريد الإلكتروني
login.chooser.accountOrMethodTitle,اختر حسابًا أو طريقة
login.chooser.description,اختر طريقة تسجيل الدخول إلى {organization}
login.chooser.emailOtpDetail,استلام رمز لمرة واحدة عبر البريد الإلكتروني
login.chooser.emailOtpLabel,رمز البريد الإلكتروني
login.chooser.lastUsed,آخر استخدام
login.chooser.methodTitle,اختر طريقة
login.chooser.orChooseMethod,أو اختر طريقة
login.chooser.passkeyDetail,استخدام قفل شاشة جهازك أو مفتاح أمان
login.chooser.passkeyLabel,مفتاح مرور
login.chooser.passwordDetail,استخدام كلمة مرور حسابك
login.chooser.passwordLabel,كلمة المرور
login.chooser.providerDetail,استخدم حساب {provider} الحالي لتسجيل الدخول
login.chooser.providerLabel,المتابعة باستخدام {provider}
login.chooser.register,إنشاء حساب
login.chooser.title,تسجيل الدخول
login.chooser.useRecent,استخدام حساب حديث
login.chooser.whatsappOtpDetail,استلام رمز لمرة واحدة عبر واتساب
login.chooser.whatsappOtpLabel,رمز واتساب
login.common.back,العودة إلى خيارات تسجيل الدخول
login.common.legal,بمتابعة الاستخدام، فإنك تقرّ بـ {terms} و{privacy}.
login.common.privacy,سياسة الخصوصية
login.common.terms,شروط الخدمة
login.common.working,جارٍ التنفيذ…
login.emailOtp.back,العودة إلى الطرق
login.emailOtp.changeEmail,تغيير البريد الإلكتروني
login.emailOtp.codeDescription,أدخل الرمز المكوّن من ستة أرقام الذي أرسلناه إلى {email}.
login.emailOtp.codeHelp,أدخل 6 أرقام.
login.emailOtp.codeTitle,أدخل رمز البريد الإلكتروني
login.emailOtp.description,سنرسل إليك رمزًا للاستخدام مرة واحدة عبر البريد الإلكتروني بدلًا من طلب كلمة مرور.
login.emailOtp.remember,تذكر هذا البريد الإلكتروني
login.emailOtp.resend,إرسال رمز جديد
login.emailOtp.resendCountdown,يمكن إرسال رمز آخر خلال {seconds} ثانية.
login.emailOtp.resent,تم إرسال رمز جديد.
login.emailOtp.send,إرسال الرمز
login.emailOtp.sending,جارٍ الإرسال...
login.emailOtp.title,تسجيل الدخول باستخدام رمز البريد الإلكتروني
login.emailOtp.verify,التحقق من الرمز
login.emailOtp.verifying,جارٍ التحقق...
login.error.codeRequired,أدخل رمز التحقق المكوّن من ستة أرقام.
login.error.credentialsInvalid,اسم المستخدم أو كلمة المرور غير صحيحة.
login.error.credentialsRequired,أدخل اسم المستخدم وكلمة المرور.
login.error.emailRecoveryRequired,أدخل عنوان البريد الإلكتروني لحسابك.
login.error.emailRequired,أدخل عنوان بريد إلكتروني صالحًا.
login.error.enrollmentMissing,ابدأ إعداد تطبيق المصادقة قبل تأكيد الرمز.
login.error.identifierRequired,أدخل اسم المستخدم أو عنوان بريدك الإلكتروني.
login.error.nameRequired,أدخل الاسم الذي سيظهر في حسابك.
login.error.newPasswordRequired,أدخل كلمة مرور جديدة.
login.error.passwordMismatch,كلمتا المرور غير متطابقتين.
login.error.passwordRequired,أدخل كلمة المرور.
login.error.passwordTooShort,يجب أن تتكون كلمة المرور من 8 أحرف على الأقل.
login.error.recoveryCodeRequired,أدخل أحد رموز الاسترداد المحفوظة.
login.error.tokenMissing,افتح الرابط الكامل من بريدك الإلكتروني للمتابعة.
login.logout.description,يمكنك إنهاء هذه الجلسة على هذا الجهاز.
login.logout.doneDescription,تم تسجيل خروجك من {organization}.
login.logout.doneTitle,تم تسجيل الخروج
login.logout.submit,تسجيل الخروج
login.logout.title,تسجيل الخروج من {organization}
login.mfa.backToChoices,العودة إلى خيارات التحقق بخطوتين
login.mfa.backToMethods,العودة إلى الطرق
login.mfa.continue,متابعة تسجيل الدخول
login.mfa.description,اختر طريقة لتأكيد هويتك.
login.mfa.emailOtp,رمز البريد الإلكتروني
login.mfa.emailOtpCodeTitle,رمز التحقق عبر البريد الإلكتروني
login.mfa.emailOtpDescription,أدخل الرمز المكوّن من ستة أرقام الذي أرسلناه إلى عنوان بريدك الإلكتروني.
login.mfa.emailOtpDetail,استلام رمز تحقق لمرة واحدة عبر البريد الإلكتروني.
login.mfa.emailOtpEnroll,إعداد رموز البريد الإلكتروني
login.mfa.emailOtpEnrollDescription,ستُرسل رموز التحقق إلى عنوان البريد الإلكتروني لحسابك.
login.mfa.emailOtpEnrollNotice,أعد رموز البريد الإلكتروني لاستخدام بريد حسابك كعامل ثانٍ.
login.mfa.emailOtpEnrollSent,تم إعداد رموز البريد. أدخل الرمز المرسل إلى عنوان بريدك.
login.mfa.emailOtpEnrollTitle,إعداد رموز البريد الإلكتروني
login.mfa.emailOtpResent,تم إرسال رمز تحقق جديد إلى عنوان بريدك الإلكتروني.
login.mfa.emailOtpSend,إرسال الرمز
login.mfa.emailOtpSendDescription,إرسال رمز تحقق من ستة أرقام إلى بريد حسابك.
login.mfa.emailOtpSent,تم إرسال رمز تحقق إلى عنوان بريدك الإلكتروني.
login.mfa.emailOtpUnavailableDescription,التحقق بالبريد الإلكتروني كعامل ثانٍ غير متاح في تسجيل الدخول هذا.
login.mfa.emailOtpUnavailableNotice,نقل MFA عبر البريد الإلكتروني غير مهيأ لطلب تسجيل الدخول هذا في Authworks.
login.mfa.emailOtpUnavailableTitle,رمز البريد الإلكتروني غير متاح
login.mfa.enrollDescription,اختر طريقة لإعداد التحقق بخطوتين لحسابك.
login.mfa.enrollTitle,إعداد التحقق بخطوتين
login.mfa.enterRecoveryCode,أدخل رمز استرداد محفوظًا.
login.mfa.enterSixDigits,أدخل 6 أرقام.
login.mfa.factorUnavailable,هذا العامل غير متاح في عقد تسجيل الدخول الحالي.
login.mfa.loadingOptions,جارٍ تحميل خيارات التحقق بخطوتين...
login.mfa.loadingOptionsDescription,جارٍ جلب خيارات العامل الثاني المتاحة.
login.mfa.optionalDescription,يمكنك إعداد التحقق بخطوتين لمزيد من الأمان أو تخطيه الآن.
login.mfa.optionalTitle,التحقق بخطوتين اختياري
login.mfa.optionsUnavailableDescription,تعذر تحميل خيارات العامل الثاني المتاحة.
login.mfa.optionsUnavailableTitle,التحقق بخطوتين غير متاح
login.mfa.passkey,مفتاح مرور
login.mfa.passkeyDescription,أكد هويتك بمفتاح مرور أو قفل شاشة الجهاز أو القياسات الحيوية.
login.mfa.passkeyDetail,تحقق باستخدام مفتاح مرور أو القياسات الحيوية للجهاز.
login.mfa.passkeyEnrollmentUnavailableDescription,لا يوفّر عقد تسجيل الدخول المستضاف تسجيل مفاتيح المرور.
login.mfa.passkeyEnrollmentUnavailableNotice,أكمل إعداد مفتاح المرور من صفحة أمان الحساب بعد المصادقة، ثم عد لتسجيل الدخول.
login.mfa.passkeyEnrollmentUnavailableTitle,إعداد مفتاح المرور غير متاح
login.mfa.passkeyUnavailableDescription,التحقق بمفتاح المرور كعامل ثانٍ غير متاح في تسجيل الدخول هذا.
login.mfa.passkeyUnavailableNotice,نقل MFA بمفتاح المرور غير مهيأ لطلب Authworks هذا.
login.mfa.passkeyUnavailableTitle,مفتاح المرور غير متاح
login.mfa.passkeyVerify,التحقق باستخدام مفتاح المرور
login.mfa.recoveryCode,رمز استرداد
login.mfa.recoveryCodeDescription,استخدم أحد الرموز أحادية الاستخدام التي حفظتها عند إعداد التحقق.
login.mfa.recoveryCodeDetail,استخدم أحد رموز الاسترداد المحفوظة لمرة واحدة.
login.mfa.recoveryCodeLabel,رمز الاسترداد
login.mfa.resend,إعادة إرسال الرمز
login.mfa.resendIn,إعادة الإرسال خلال {seconds} ثانية
login.mfa.retryOptions,إعادة محاولة تحميل الخيارات
login.mfa.satisfiedDescription,يلبي تسجيل دخولك بالفعل سياسة التحقق بخطوتين.
login.mfa.satisfiedTitle,تم استيفاء التحقق بخطوتين
login.mfa.setupFactor,إعداد {factor}
login.mfa.skip,تخطي الآن
login.mfa.skipping,جارٍ التخطي...
login.mfa.title,التحقق بخطوتين
login.mfa.totp,تطبيق المصادقة
login.mfa.totpChallengeTitle,رمز تطبيق المصادقة
login.mfa.totpDescription,أدخل الرمز المكوّن من ستة أرقام من تطبيق المصادقة.
login.mfa.totpDetail,استخدم رمزًا من تطبيق المصادقة.
login.mfa.unavailable,غير متاح
login.mfa.verificationCode,رمز التحقق
login.mfa.verify,تحقق
login.passkey.canceled,تم إلغاء تسجيل الدخول بمفتاح المرور أو انتهت مهلة العملية. حاول مرة أخرى.
login.passkey.ceremonyFailure,تعذر إكمال تسجيل الدخول بمفتاح المرور. يرجى المحاولة مرة أخرى.
login.passkey.description,أكد هويتك باستخدام قفل شاشة جهازك أو بصمة إصبعك أو مفتاح أمان.
login.passkey.permissionDenied,تم رفض الوصول إلى مفتاح المرور. اسمح بالوصول إلى مفاتيح المرور لهذا الموقع ثم حاول مرة أخرى.
login.passkey.submit,المتابعة باستخدام مفتاح المرور
login.passkey.title,تسجيل الدخول باستخدام مفتاح المرور
login.passkey.unsupported,لا يمكن لهذا المتصفح أو الجهاز استخدام مفاتيح المرور. اختر طريقة تسجيل دخول أخرى.
login.passkey.unsupportedTitle,مفتاح المرور غير مدعوم
login.password.back,العودة إلى الطرق
login.password.changeDescription,اختر كلمة مرور جديدة قبل المتابعة.
login.password.changeRequiredDescription,يجب تغيير كلمة المرور قبل المتابعة.
login.password.changeRequiredTitle,غيّر كلمة المرور
login.password.changeSubmit,تغيير كلمة المرور
login.password.changeTitle,تحديث كلمة المرور
login.password.confirm,تأكيد كلمة المرور
login.password.current,كلمة المرور الحالية
login.password.currentRequired,أدخل كلمة المرور الحالية.
login.password.description,أدخل بيانات اعتماد حساب {organization}.
login.password.expiredDescription,انتهت صلاحية كلمة المرور. عيّن كلمة مرور جديدة للمتابعة.
login.password.forgot,هل نسيت كلمة المرور؟
login.password.hide,إخفاء كلمة المرور
login.password.identifier,اسم المستخدم أو البريد الإلكتروني
login.password.label,كلمة المرور
login.password.new,كلمة المرور الجديدة
login.password.passwordRequired,أدخل كلمة المرور.
login.password.rememberIdentifier,تذكر هذا المعرّف
login.password.saving,جارٍ الحفظ...
login.password.show,إظهار كلمة المرور
login.password.signInTitle,تسجيل الدخول بكلمة المرور
login.password.signingIn,جارٍ تسجيل الدخول...
login.password.submit,تسجيل الدخول
login.password.title,أدخل كلمة المرور
login.provider.accountNotFoundDescription,لا يوجد حساب Authworks مرتبط بحساب {provider} هذا. لم يتم تفعيل ربط الحسابات والتسجيل الذاتي بعد.
login.provider.accountNotFoundTitle,لا يوجد حساب مرتبط
login.provider.description,ستتابع على {provider} وتعود إلى هنا عند الانتهاء.
login.provider.failureDescription,لم يكتمل تسجيل الدخول باستخدام {provider}. حاول مرة أخرى.
login.provider.linkingFailedDescription,تعذر إكمال ربط الحساب. جرّب طريقة تسجيل دخول أخرى.
login.provider.linkingFailedTitle,تعذر ربط الحساب
login.provider.submit,المتابعة باستخدام {provider}
login.provider.title,المتابعة باستخدام {provider}
login.recent.description,المتابعة باستخدام حساب استخدمته على هذا الجهاز.
login.recent.heading,الحسابات الأخيرة
login.recent.other,استخدام حساب آخر
login.recent.title,اختر حسابًا
login.recent.useAnother,استخدام طريقة أو حساب آخر
login.recovery.back,العودة إلى تسجيل الدخول
login.recovery.checkingLink,جارٍ التحقق من رابط إعادة التعيين...
login.recovery.choosePasswordTitle,اختر كلمة مرور جديدة
login.recovery.completeDescription,سجّل الدخول باستخدام كلمة المرور الجديدة.
login.recovery.completeDescriptionReference,سجّل الدخول بكلمة مرورك الجديدة للمتابعة.
login.recovery.completeTitle,تم تحديث كلمة المرور
login.recovery.completeTitleReference,تم تغيير كلمة مرورك
login.recovery.description,أدخل عنوان بريدك الإلكتروني وسنرسل تعليمات الاسترداد إذا كان هناك حساب.
login.recovery.invalidLinkError,رابط إعادة تعيين كلمة المرور غير صالح أو انتهت صلاحيته.
login.recovery.invalidLinkTitle,لم يعد رابط إعادة التعيين صالحًا
