key,uk
demo.fixture.replayed,відтворено повторно
demo.fixture.resetInvalid,недійсне посилання для скидання
demo.fixture.resetLoading,завантаження посилання для скидання
demo.fixture.state,Стан даних
demo.fixture.success,успішно
demo.hub.accountDescription,"Досліджуйте призначення самообслуговування для профілю, організації та безпеки."
demo.hub.accountOpen,Відкрити обліковий запис
demo.hub.adminDescription,Керуйте ресурсами ідентифікації та налаштуваннями організації.
demo.hub.adminOpen,Відкрити адміністрування
demo.hub.description,"Досліджуйте демо входу, облікового запису, адміністрування та транзакційних листів."
demo.hub.loginDescription,Оцініть процес автентифікації для ваших користувачів.
demo.hub.loginOpen,Відкрити вхід
demo.login.description,"Досліджуйте детерміновані тестові дані входу, відновлення та взаємодії. Існуючі процеси залишаються інтерактивними, тоді як заплановані призначення демонструють контракти сценаріїв без стану."
demo.login.eyebrow,Розміщена автентифікація
demo.login.group.chooser.description,"Точки входу, визначені на основі виявленої політики входу та локально збережених облікових записів."
demo.login.group.chooser.title,Почати вхід
demo.login.group.chrome.description,Міжпроцесні резервні варіанти для кожного розміщеного екрана взаємодії.
demo.login.group.chrome.title,Спільні стани
demo.login.group.interaction.description,Результати взаємодії та вихід для розміщених запитів OIDC.
demo.login.group.interaction.title,Взаємодія та вихід
demo.login.group.mfa.description,"Перевірки другого фактора, підключення автентифікатора та коди відновлення."
demo.login.group.mfa.title,Багатофакторна автентифікація
demo.login.group.password_email.description,Автентифікація за паролем та кодом з листа з детермінованими локальними даними.
demo.login.group.password_email.title,Пароль та код з листа
demo.login.group.passwordless.description,"Ключі доступу та налаштовані зовнішні постачальники ідентичності."
demo.login.group.passwordless.title,Безпарольний та зовнішній вхід
demo.login.group.recovery.description,Запросіть та завершіть відновлення пароля без розкриття даних облікового запису.
demo.login.group.recovery.title,Відновлення
demo.login.group.registration.description,Реєстрація та підтвердження поштою від сервера.
demo.login.group.registration.title,Реєстрація та перевірка
demo.login.scenario.chooser.description,Виберіть дозволений основний метод автентифікації.
demo.login.scenario.chooser.title,Вибір способу входу
demo.login.scenario.chooser_recent_accounts.description,"Продовжити з обліковим записом, збереженим на цьому пристрої."
demo.login.scenario.chooser_recent_accounts.title,Нещодавні облікові записи
demo.login.scenario.email_otp.description,"Запросіть одноразовий код, надісланий електронною поштою."
demo.login.scenario.email_otp.title,Запросити код на пошту
demo.login.scenario.email_otp_code.description,Введіть шестизначний код підтвердження з листа.
demo.login.scenario.email_otp_code.title,Перевірити код з листа
demo.login.scenario.idp.description,Продовжити через налаштованого зовнішнього провайдера ідентичності.
demo.login.scenario.idp.title,Зовнішня ідентичність
demo.login.scenario.idp_failure.description,Відновлення після помилки запуску зовнішнього провайдера.
demo.login.scenario.idp_failure.title,Збій провайдера
demo.login.scenario.loading.description,Показувати хід виконання під час виявлення реалму.
demo.login.scenario.loading.title,Завантаження
demo.login.scenario.logout.description,Підтвердьте вихід для поточного сеансу браузера.
demo.login.scenario.logout.title,Вихід
demo.login.scenario.logout_done.description,Підтвердьте завершений вихід та перевірений шлях повернення.
demo.login.scenario.logout_done.title,Вихід виконано
demo.login.scenario.mfa.description,Виберіть доступний другий фактор.
demo.login.scenario.mfa.title,Виберіть фактор
demo.login.scenario.mfa_email_otp.description,Перевірте другий фактор електронною поштою.
demo.login.scenario.mfa_email_otp.title,Код з листа
demo.login.scenario.mfa_passkey.description,Перевірте ключ доступу як другий фактор.
demo.login.scenario.mfa_passkey.title,Фактор ключа доступу
demo.login.scenario.mfa_recovery_code.description,"Використовуйте один код відновлення, коли інші фактори недоступні."
demo.login.scenario.mfa_recovery_code.title,Код відновлення
demo.login.scenario.mfa_totp.description,Перевірте тимчасовий код автентифікатора.
demo.login.scenario.mfa_totp.title,Код автентифікатора
demo.login.scenario.mfa_totp_enroll.description,Підключіть та підтвердьте новий автентифікатор.
demo.login.scenario.mfa_totp_enroll.title,Підключити автентифікатор
demo.login.scenario.passkey.description,"Автентифікуйтеся за допомогою ключа доступу, прив'язаного до пристрою."
demo.login.scenario.passkey.title,Ключ доступу
demo.login.scenario.passkey_unsupported.description,Поясніть несумісність браузера або пристрою.
demo.login.scenario.passkey_unsupported.title,Ключ доступу недоступний
demo.login.scenario.password.description,Увійдіть за допомогою адреси електронної пошти або імені користувача та пароля.
demo.login.scenario.password.title,Пароль
demo.login.scenario.password_change_required.description,Встановіть новий пароль перед продовженням.
demo.login.scenario.password_change_required.title,Потрібна зміна пароля
demo.login.scenario.password_error.description,Відобразіть безпечну відповідь про недійсні облікові дані.
demo.login.scenario.password_error.title,Недійсні облікові дані
demo.login.scenario.password_forgot.description,Запросіть інструкції щодо відновлення пароля.
demo.login.scenario.password_forgot.title,Запросити відновлення
demo.login.scenario.password_forgot_sent.description,Відобразіть підтвердження поштою без розкриття даних.
demo.login.scenario.password_forgot_sent.title,Відновлення запрошено
demo.login.scenario.password_reset.description,Виберіть новий пароль за посиланням для відновлення.
demo.login.scenario.password_reset.title,Скинути пароль
demo.login.scenario.password_reset_complete.description,Поверніться до входу після успішного скидання.
demo.login.scenario.password_reset_complete.title,Скидання завершено
demo.login.scenario.register.description,Створіть обліковий запис людини відповідно до активної політики входу.
demo.login.scenario.register.title,Реєстрація
demo.login.scenario.register_done.description,Відобразіть сповіщення про перевірку без розкриття даних.
demo.login.scenario.register_done.title,Підтвердження надіслано
demo.login.scenario.signed_in.description,Відобразіть підтвердження відновленої взаємодії.
demo.login.scenario.signed_in.title,Взаємодія завершена
demo.login.scenario.unsupported.description,Поясніть непідтримувану або прострочену взаємодію.
demo.login.scenario.unsupported.title,Недоступний запит
demo.login.scenario.verify_email.description,Підтвердьте адресу за посиланням від сервера.
demo.login.scenario.verify_email.title,Підтвердження пошти
demo.login.title,Демо входу
demo.nav.account,Обліковий запис
demo.nav.admin,Адміністрування
demo.nav.compact,Компактний
demo.nav.emails,Листи
demo.nav.hub,Головна
demo.nav.label,Демо
demo.nav.login,Вхід
demo.placeholder.emptyDescription,Це призначення готове до навмисного порожнього стану.
demo.placeholder.emptyTitle,Немає записів тестових даних
demo.placeholder.errorDescription,Детерміновану помилку можна відобразити тут без мережевого запиту.
demo.placeholder.errorTitle,Помилка тестових даних
demo.placeholder.loading,Завантаження тестових даних
demo.placeholder.notFoundDescription,Виберіть підтримуване призначення з каталогу.
demo.placeholder.notFoundTitle,Демо-призначення не знайдено
demo.placeholder.readyDescription,"Маршрут, підтримувані стани та межі демо-адаптера визначено. Сторінку функції навмисно не реалізовано на цьому етапі."
demo.placeholder.readyTitle,Контракт тестових даних готовий
email.directory.description,Перегляд детермінованого HTML- та текстового виводу для кожного контракту транзакційних листів.
email.directory.eyebrow,Транзакційні повідомлення
email.directory.open,Відкрити перегляд
email.directory.title,Попередній перегляд листів
email.hub.description,Переглядайте ізольовані HTML та текстові дані транзакційних повідомлень.
email.hub.open,Відкрити попередній перегляд листів
email.preview.back,Усі попередні перегляди електронних листів
email.preview.html,Попередній перегляд HTML
email.preview.impersonationEnded,Імперсонацію завершено
email.preview.impersonationStarted,Імперсонацію розпочато
email.preview.invitation,Запрошення до організації
email.preview.isolated,Відображено в ізольованому фреймі; доступ до мережі вимкнено.
email.preview.notFound,Попередній перегляд електронного листа не знайдено
email.preview.otp,Одноразовий пароль
email.preview.recipient,Тестовий одержувач
email.preview.recovery,Відновлення пароля
email.preview.securityFailed,Не вдалося перевірити вхід
email.preview.securityRequested,Запит на перевірку входу надіслано
email.preview.securityVerified,Перевірку входу завершено
email.preview.subject,Тема
email.preview.text,Текстова версія
email.preview.verification,Підтвердження електронної пошти
login.chooser.accountOrMethodTitle,Виберіть обліковий запис або спосіб
login.chooser.description,Виберіть спосіб входу в {organization}
login.chooser.emailOtpDetail,Отримати одноразовий код електронною поштою
login.chooser.emailOtpLabel,Код із електронної пошти
login.chooser.lastUsed,Використано востаннє
login.chooser.methodTitle,Виберіть спосіб
login.chooser.orChooseMethod,Або виберіть спосіб
login.chooser.passkeyDetail,Використати блокування екрана пристрою або ключ безпеки
login.chooser.passkeyLabel,Ключ доступу
login.chooser.passwordDetail,Використати пароль облікового запису
login.chooser.passwordLabel,Пароль
login.chooser.providerDetail,Увійдіть за допомогою наявного облікового запису {provider}
login.chooser.providerLabel,Продовжити з {provider}
login.chooser.register,Створити обліковий запис
login.chooser.title,Вхід
login.chooser.useRecent,Використати нещодавній обліковий запис
login.chooser.whatsappOtpDetail,Отримати одноразовий код у WhatsApp
login.chooser.whatsappOtpLabel,Код WhatsApp
login.common.back,Назад до варіантів входу
login.common.legal,"Продовжуючи, ви погоджуєтеся з {terms} і {privacy}."
login.common.privacy,Політика конфіденційності
login.common.terms,Умови використання
login.common.working,Виконується…
login.emailOtp.back,Назад до способів
login.emailOtp.changeEmail,Змінити електронну адресу
login.emailOtp.codeDescription,"Введіть шестицифровий код, надісланий на адресу {email}."
login.emailOtp.codeHelp,Введіть 6 цифр.
login.emailOtp.codeTitle,Введіть код із електронної пошти
login.emailOtp.description,Ми надішлемо вам одноразовий код електронною поштою замість запиту пароля.
login.emailOtp.remember,Запам’ятати цю адресу
login.emailOtp.resend,Надіслати новий код
login.emailOtp.resendCountdown,Новий код можна буде надіслати через {seconds} секунд.
login.emailOtp.resent,Новий код надіслано.
login.emailOtp.send,Надіслати код
login.emailOtp.sending,Надсилання...
login.emailOtp.title,Увійти за допомогою коду з електронної пошти
login.emailOtp.verify,Підтвердити код
login.emailOtp.verifying,Перевірка...
login.error.codeRequired,Введіть шестицифровий код підтвердження.
login.error.credentialsInvalid,Неправильне ім’я користувача або пароль.
login.error.credentialsRequired,Введіть ім’я користувача та пароль.
login.error.emailRecoveryRequired,Введіть адресу електронної пошти облікового запису.
login.error.emailRequired,Введіть дійсну адресу електронної пошти.
login.error.enrollmentMissing,Почніть налаштування автентифікатора перед підтвердженням коду.
login.error.identifierRequired,Введіть ім’я користувача або адресу електронної пошти.
login.error.nameRequired,"Введіть ім’я, яке буде показано у вашому обліковому записі."
login.error.newPasswordRequired,Введіть новий пароль.
login.error.passwordMismatch,Паролі не збігаються.
login.error.passwordRequired,Введіть пароль.
login.error.passwordTooShort,Пароль має містити щонайменше 8 символів.
login.error.recoveryCodeRequired,Введіть один зі збережених кодів відновлення.
login.error.tokenMissing,"Відкрийте повне посилання з електронного листа, щоб продовжити."
login.logout.description,Ви можете завершити цей сеанс на цьому пристрої.
login.logout.doneDescription,Ви вийшли з облікового запису {organization}.
login.logout.doneTitle,Вихід виконано
login.logout.submit,Вийти
login.logout.title,Вийти з облікового запису {organization}
login.mfa.backToChoices,Назад до варіантів двоетапної перевірки
login.mfa.backToMethods,Назад до способів
login.mfa.continue,Продовжити вхід
login.mfa.description,"Виберіть спосіб підтвердити, що це ви."
login.mfa.emailOtp,Код із електронної пошти
login.mfa.emailOtpCodeTitle,Код підтвердження електронною поштою
login.mfa.emailOtpDescription,"Введіть шестицифровий код, надісланий на вашу адресу електронної пошти."
login.mfa.emailOtpDetail,Отримати одноразовий код підтвердження електронною поштою.
login.mfa.emailOtpEnroll,Налаштувати коди електронної пошти
login.mfa.emailOtpEnrollDescription,Коди підтвердження надсилатимуться на адресу електронної пошти облікового запису.
login.mfa.emailOtpEnrollNotice,"Налаштуйте коди електронної пошти, щоб використовувати адресу облікового запису як другий фактор."
login.mfa.emailOtpEnrollSent,"Коди електронної пошти налаштовано. Введіть код, надісланий на вашу адресу."
login.mfa.emailOtpEnrollTitle,Налаштувати коди електронної пошти
login.mfa.emailOtpResent,Новий код підтвердження надіслано на вашу адресу електронної пошти.
login.mfa.emailOtpSend,Надіслати код
login.mfa.emailOtpSendDescription,Надіслати шестизначний код підтвердження на адресу електронної пошти облікового запису.
login.mfa.emailOtpSent,Код підтвердження надіслано на вашу адресу електронної пошти.
login.mfa.emailOtpUnavailableDescription,Перевірка електронною поштою як другого фактора недоступна в цьому процесі входу.
login.mfa.emailOtpUnavailableNotice,Транспорт MFA електронною поштою не налаштовано для цього запиту входу Authworks.
login.mfa.emailOtpUnavailableTitle,Код електронної пошти недоступний
login.mfa.enrollDescription,Виберіть спосіб налаштування двоетапної перевірки для облікового запису.
login.mfa.enrollTitle,Налаштувати двоетапну перевірку
login.mfa.enterRecoveryCode,Введіть збережений код відновлення.
login.mfa.enterSixDigits,Введіть 6 цифр.
login.mfa.factorUnavailable,Цей фактор недоступний у поточному контракті входу.
login.mfa.loadingOptions,Завантаження варіантів двоетапної перевірки...
login.mfa.loadingOptionsDescription,Отримання доступних варіантів другого фактора.
login.mfa.optionalDescription,Налаштуйте двоетапну перевірку для додаткової безпеки або пропустіть її зараз.
login.mfa.optionalTitle,Необов’язкова двоетапна перевірка
login.mfa.optionsUnavailableDescription,Не вдалося завантажити доступні варіанти другого фактора.
login.mfa.optionsUnavailableTitle,Двоетапна перевірка недоступна
login.mfa.passkey,Ключ доступу
login.mfa.passkeyDescription,"Підтвердьте за допомогою ключа доступу, блокування екрана пристрою або біометрії."
login.mfa.passkeyDetail,Підтвердьте за допомогою ключа доступу або біометрії пристрою.
login.mfa.passkeyEnrollmentUnavailableDescription,Розміщений контракт входу не підтримує реєстрацію ключів доступу.
login.mfa.passkeyEnrollmentUnavailableNotice,"Завершіть налаштування ключа доступу на автентифікованій сторінці безпеки облікового запису, а потім поверніться до входу."
login.mfa.passkeyEnrollmentUnavailableTitle,Налаштування ключа доступу недоступне
login.mfa.passkeyUnavailableDescription,Перевірка ключем доступу як другим фактором недоступна в цьому процесі входу.
login.mfa.passkeyUnavailableNotice,Транспорт MFA ключа доступу не налаштовано для цього запиту Authworks.
login.mfa.passkeyUnavailableTitle,Ключ доступу недоступний
login.mfa.passkeyVerify,Підтвердити ключем доступу
login.mfa.recoveryCode,Код відновлення
login.mfa.recoveryCodeDescription,"Використайте один із одноразових кодів, збережених під час налаштування підтвердження."
login.mfa.recoveryCodeDetail,Використайте один зі збережених одноразових кодів відновлення.
login.mfa.recoveryCodeLabel,Код відновлення
login.mfa.resend,Надіслати код повторно
login.mfa.resendIn,Повторно надіслати через {seconds} секунд
login.mfa.retryOptions,Повторити завантаження варіантів
login.mfa.satisfiedDescription,Ваш вхід уже відповідає політиці двоетапної перевірки.
login.mfa.satisfiedTitle,Двоетапну перевірку виконано
login.mfa.setupFactor,Налаштувати {factor}
login.mfa.skip,Пропустити зараз
login.mfa.skipping,Пропуск...
login.mfa.title,Двоетапна перевірка
login.mfa.totp,Застосунок-автентифікатор
login.mfa.totpChallengeTitle,Код автентифікатора
login.mfa.totpDescription,Введіть шестицифровий код із застосунку-автентифікатора.
login.mfa.totpDetail,Використайте код із програми автентифікатора.
login.mfa.unavailable,Недоступно
login.mfa.verificationCode,Код підтвердження
login.mfa.verify,Підтвердити
login.passkey.canceled,Вхід за допомогою ключа доступу скасовано або час очікування минув. Спробуйте ще раз.
login.passkey.ceremonyFailure,Не вдалося завершити вхід за допомогою ключа доступу. Спробуйте ще раз.
login.passkey.description,"Підтвердьте за допомогою блокування екрана пристрою, відбитка пальця або ключа безпеки."
login.passkey.permissionDenied,Доступ до ключа доступу заборонено. Дозвольте доступ до ключів доступу для цього сайту та спробуйте ще раз.
login.passkey.submit,Продовжити з ключем доступу
login.passkey.title,Увійти за допомогою ключа доступу
login.passkey.unsupported,Цей браузер або пристрій не підтримує ключі доступу. Виберіть інший спосіб входу.
login.passkey.unsupportedTitle,Ключ доступу не підтримується
login.password.back,Назад до способів
login.password.changeDescription,Виберіть новий пароль перед продовженням.
login.password.changeRequiredDescription,"Перш ніж продовжити, потрібно змінити пароль."
login.password.changeRequiredTitle,Змініть пароль
login.password.changeSubmit,Змінити пароль
login.password.changeTitle,Оновити пароль
login.password.confirm,Підтвердьте пароль
login.password.current,Поточний пароль
login.password.currentRequired,Введіть поточний пароль.
login.password.description,Введіть дані облікового запису {organization}.
login.password.expiredDescription,"Термін дії пароля минув. Установіть новий пароль, щоб продовжити."
login.password.forgot,Забули пароль?
login.password.hide,Приховати пароль
login.password.identifier,Ім’я користувача або електронна пошта
login.password.label,Пароль
login.password.new,Новий пароль
login.password.passwordRequired,Введіть пароль.
login.password.rememberIdentifier,Запам’ятати цей ідентифікатор
login.password.saving,Збереження...
login.password.show,Показати пароль
login.password.signInTitle,Увійти за допомогою пароля
login.password.signingIn,Вхід...
login.password.submit,Увійти
login.password.title,Введіть пароль
login.provider.accountNotFoundDescription,"Для цього облікового запису {provider} немає пов’язаного облікового запису Authworks. Пов’язування облікових записів і самостійна реєстрація ще не ввімкнені."
login.provider.accountNotFoundTitle,Пов’язаного облікового запису немає
login.provider.description,"Ви продовжите на сайті {provider}, а після завершення повернетеся сюди."
login.provider.failureDescription,Вхід через {provider} не завершено. Спробуйте ще раз.
login.provider.linkingFailedDescription,Не вдалося завершити пов’язування облікового запису. Спробуйте інший спосіб входу.
login.provider.linkingFailedTitle,Не вдалося пов’язати обліковий запис
login.provider.submit,Продовжити з {provider}
login.provider.title,Продовжити з {provider}
login.recent.description,"Продовжити з обліковим записом, який ви використовували на цьому пристрої."
login.recent.heading,Нещодавні облікові записи
login.recent.other,Використати інший обліковий запис
login.recent.title,Виберіть обліковий запис
login.recent.useAnother,Використати інший спосіб або обліковий запис
login.recovery.back,Назад до входу
login.recovery.checkingLink,Перевірка посилання для скидання...
login.recovery.choosePasswordTitle,Виберіть новий пароль
login.recovery.completeDescription,Увійдіть із новим паролем.
login.recovery.completeDescriptionReference,"Увійдіть із новим паролем, щоб продовжити."
login.recovery.completeTitle,Пароль оновлено
login.recovery.completeTitleReference,Пароль змінено
login.recovery.description,"Введіть адресу електронної пошти, і ми надішлемо інструкції з відновлення, якщо обліковий запис існує."
login.recovery.invalidLinkError,Це посилання для скидання пароля недійсне або застаріле.
login.recovery.invalidLinkTitle,Це посилання для скидання більше недійсне
login.recovery.loading,Завантаження відновлення пароля...
login.recovery.policyRejected,"Виберіть пароль, що відповідає вимогам."
login.recovery.resetDescription,Виберіть новий пароль для свого облікового запису.
login.recovery.resetSubmit,Оновити пароль
login.recovery.resetSubmitReference,Установити новий пароль
login.recovery.resetTitle,Установити новий пароль
login.recovery.saving,Збереження...
login.recovery.sending,Надсилання...
login.recovery.sentDescription,"Якщо ця адреса відповідає обліковому запису, інструкції з відновлення вже надсилаються. Посилання невдовзі стане недійсним."
login.recovery.sentTitle,Перевірте електронну пошту
login.recovery.submit,Надіслати інструкції з відновлення
login.recovery.submitReference,Надіслати посилання для скидання
login.recovery.title,Скинути пароль
login.recovery.unavailableDescription,Відновлення пароля тимчасово недоступне.
login.recovery.unavailableTitle,Відновлення пароля недоступне
login.register.description,Створіть обліковий запис для {organization}.
login.register.displayName,Повне ім’я
login.register.doneDescription,"Підтвердьте адресу електронної пошти за допомогою посилання, надісланого на {email}."
login.register.doneTitle,Підтвердьте адресу електронної пошти
login.register.email,Адреса електронної пошти
login.register.signIn,Уже маєте обліковий запис?
login.register.submit,Створити обліковий запис
login.register.title,Створіть свій обліковий запис
login.register.userName,Ім’я користувача
login.signedIn.description,Ви ввійшли в обліковий запис {organization}.
login.signedIn.title,Вхід виконано
login.status.continuing,Продовження входу...
login.status.fatalTitle,Почати вхід знову
login.status.loading,Підготовка до входу
login.status.unavailableDescription,Цей запит на вхід неможливо виконати. Поверніться до програми та спробуйте ще раз.
login.status.unavailableTitle,Вхід недоступний
login.totpEnroll.description,"Додайте цей ключ налаштування до програми автентифікації, а потім введіть створений код. Ключ відображається лише зараз."
login.totpEnroll.hideSetupKey,Сховати ключ налаштування
login.totpEnroll.qrLabel,QR-код для налаштування програми автентифікатора
login.totpEnroll.scanDescription,"Відскануйте QR-код програмою автентифікатора, а потім введіть показаний шестизначний код."
login.totpEnroll.setupKeyLabel,Ключ налаштування (якщо сканування неможливе)
login.totpEnroll.showSetupKey,Показати ключ налаштування
login.totpEnroll.start,Показати ключ налаштування
login.totpEnroll.submit,Завершити налаштування
login.totpEnroll.title,Налаштувати застосунок-автентифікатор
login.totpEnroll.unavailableDescription,Не вдалося підготувати налаштування автентифікатора. Деталі налаштування не можна відновити після перезавантаження.
login.verify.description,Підтвердьте адресу електронної пошти свого облікового запису.
login.verify.submit,Підтвердити адресу електронної пошти
login.verify.title,Підтвердьте адресу електронної пошти
login.verify.verifiedDescription,{email} підтверджено. Тепер можна ввійти.
login.verify.verifiedTitle,Адресу електронної пошти підтверджено
login.whatsappOtp.codeDescription,"Введіть код, надісланий на номер {phoneNumber} у WhatsApp."
login.whatsappOtp.codeError,Код WhatsApp неправильний.
login.whatsappOtp.codeTitle,Код підтвердження WhatsApp
login.whatsappOtp.description,"Замість пароля ми надішлемо вам одноразовий код у WhatsApp."
login.whatsappOtp.differentNumber,Використати інший номер
login.whatsappOtp.phoneHint,"Використовуйте міжнародний формат E.164, наприклад +14155552671."
login.whatsappOtp.phoneInvalid,Введіть дійсний номер телефону у форматі E.164.
login.whatsappOtp.phoneNumber,Номер телефону WhatsApp
login.whatsappOtp.phonePlaceholder,+380501234567
login.whatsappOtp.resend,Надіслати код повторно
login.whatsappOtp.send,Надіслати код WhatsApp
login.whatsappOtp.sendError,Не вдалося надіслати код WhatsApp.
login.whatsappOtp.sending,Надсилання коду…
login.whatsappOtp.title,Увійти через WhatsApp
login.whatsappOtp.verifying,Перевірка…
shell.guard.accessUnavailable,Доступ недоступний
shell.guard.contextRequired,Потрібен контекст
shell.guard.contextRequiredDetail,Виберіть потрібний realm або організацію перед продовженням.
shell.guard.destinationUnavailable,Призначення недоступне
shell.guard.destinationUnavailableDetail,Запитуване призначення не є частиною цієї програми.
shell.guard.pageNotFound,Сторінку не знайдено
shell.guard.signInRequired,Потрібен вхід
shell.guard.signInRequiredDetail,"Увійдіть, щоб продовжити до цього призначення."
shell.nav.acceptInvitation,Прийняти запрошення
shell.nav.access,Доступ
shell.nav.account,Обліковий запис
shell.nav.administratorSignIn,Вхід адміністратора
shell.nav.applicationConsent,Згода для програми
shell.nav.applicationConsents,Згоди застосунків
shell.nav.applications,Застосунки
shell.nav.auditEvents,Події аудиту
shell.nav.branding,Оформлення
shell.nav.chooseDestination,Виберіть призначення
shell.nav.credentialsTokens,Облікові дані та токени
shell.nav.deleteAccount,Видалити обліковий запис
shell.nav.directory,Каталог
shell.nav.effectiveAccess,Effective access
shell.nav.effectiveAccess,Ефективний доступ
shell.nav.emailAddress,Адреса електронної пошти
shell.nav.emailOtpSignIn,Вхід за кодом з листа
shell.nav.externalIdentitySignIn,Вхід за зовнішньою ідентифікацією
shell.nav.impersonation,Імперсонація
shell.nav.invitations,Запрошення
shell.nav.linkedIdentities,Пов'язані облікові записи
shell.nav.loginPolicy,Вхід та ідентифікація
shell.nav.loginPolicyProviders,Вхід та постачальники ідентифікації
shell.nav.logout,Вийти
shell.nav.machineCredentials,Облікові дані машини
shell.nav.machineUsers,Машинні користувачі
shell.nav.membershipsRoles,Учасники та ролі
shell.nav.mfa,Багатофакторна автентифікація
shell.nav.mfaSignIn,Багатофакторний вхід
shell.nav.myOrganizations,Мої організації
shell.nav.navigationTitle,Навігація {title}
shell.nav.oidcClients,Клієнти OIDC
shell.nav.openIdConnect,OpenID Connect
shell.nav.operations,Операції
shell.nav.organization,Організація
shell.nav.organizations,Організації
shell.nav.overview,Огляд
shell.nav.passkeySignIn,Вхід за ключем доступу
shell.nav.passkeys,Ключі доступу
shell.nav.password,Пароль
shell.nav.passwordRecovery,Відновлення пароля
shell.nav.passwordSignIn,Вхід за паролем
shell.nav.personalInformation,Особисті дані
shell.nav.profile,Профіль
shell.nav.projects,Проєкти
shell.nav.protocolDocuments,Документи протоколу
shell.nav.realm,Область
shell.nav.realmSettings,Налаштування області
shell.nav.recoveryCodes,Коди відновлення
shell.nav.refreshTokens,Токени оновлення
shell.nav.registration,Реєстрація
shell.nav.rolesGrants,Ролі та дозволи
shell.nav.security,Безпека
shell.nav.securityHistory,Історія безпеки
shell.nav.sessions,Сесії
shell.nav.sessionsDevices,Сеанси та пристрої
shell.nav.signingKeys,Ключі підпису
shell.nav.users,Користувачі
shell.nav.verifyEmail,Підтвердити ел. пошту
shell.state.errorDetail,"Не вдалося підготувати сторінку. Спробуйте ще раз, коли будете готові."
shell.state.inaccessibleDetail,У вас немає доступу до цього призначення в поточному контексті.
shell.state.loadingDetail,Підготовка цієї сторінки та її контексту безпеки.
shell.state.nothingHere,Тут ще нічого немає
shell.state.pageUnavailable,Ця сторінка недоступна
shell.state.readyDetail,Ця сторінка готова до показу вмісту.
